"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",5225,280,113,2,165,NA,NA,NA,NA
"2","2020-08-01",5312,294,113,3,178,14,87,1,0.160919540229885
