"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-22,"Adair",12180,968,806,32,22,10,3651,848,10,2021-04-22
"Adams",2021-04-22,"Adams",5458,342,315,4,4,0,1601,331,12,2021-04-22
"Allamakee",2021-04-22,"Allamakee",20817,1545,1436,51,41,10,6252,1493,6,2021-04-22
"Appanoose",2021-04-22,"Appanoose",17463,1437,1200,47,43,4,6081,1266,19,2021-04-22
"Audubon",2021-04-22,"Audubon",12020,513,470,9,8,1,2681,496,17,2021-04-22
"Benton",2021-04-22,"Benton",36693,2667,2408,55,44,11,12957,2511,48,2021-04-22
"Black Hawk",2021-04-22,"Black Hawk",210378,17047,14929,306,283,23,71105,15606,371,2021-04-22
"Boone",2021-04-22,"Boone",43772,2783,2473,33,31,2,14048,2598,92,2021-04-22
"Bremer",2021-04-22,"Bremer",38795,2935,2691,60,51,9,12439,2798,47,2021-04-22
"Buchanan",2021-04-22,"Buchanan",30508,1991,1796,31,26,5,9600,1891,64,2021-04-22
"Buena Vista",2021-04-22,"Buena Vista",44430,4871,4134,40,36,4,14889,4221,47,2021-04-22
"Butler",2021-04-22,"Butler",29131,1716,1572,34,30,4,7121,1626,20,2021-04-22
"Calhoun",2021-04-22,"Calhoun",18120,1384,1312,11,11,0,5349,1333,10,2021-04-22
"Carroll",2021-04-22,"Carroll",35945,3010,2699,52,43,9,11496,2800,49,2021-04-22
"Cass",2021-04-22,"Cass",20473,1434,1275,54,48,6,6409,1351,22,2021-04-22
"Cedar",2021-04-22,"Cedar",30461,1935,1744,23,21,2,9268,1849,82,2021-04-22
"Cerro Gordo",2021-04-22,"Cerro Gordo",75167,5645,4998,87,73,14,25226,5249,164,2021-04-22
"Cherokee",2021-04-22,"Cherokee",20681,1677,1491,38,30,8,6094,1577,48,2021-04-22
"Chickasaw",2021-04-22,"Chickasaw",17208,1294,1202,15,13,2,5497,1227,10,2021-04-22
"Clarke",2021-04-22,"Clarke",13189,1044,949,24,22,2,4920,984,11,2021-04-22
"Clay",2021-04-22,"Clay",29836,2233,1951,25,20,5,8547,2123,147,2021-04-22
"Clayton",2021-04-22,"Clayton",24604,1760,1571,55,46,9,7226,1674,48,2021-04-22
"Clinton",2021-04-22,"Clinton",62049,5884,5064,91,79,12,23135,5411,256,2021-04-22
"Crawford",2021-04-22,"Crawford",27170,2862,2553,40,35,5,8912,2627,34,2021-04-22
"Dallas",2021-04-22,"Dallas",125829,12258,10499,96,84,12,54907,10942,347,2021-04-22
"Davis",2021-04-22,"Davis",10806,869,762,24,23,1,3497,799,13,2021-04-22
"Decatur",2021-04-22,"Decatur",10300,605,577,9,9,0,3578,591,5,2021-04-22
"Delaware",2021-04-22,"Delaware",27815,2083,1882,39,35,4,8193,2044,123,2021-04-22
"Des Moines",2021-04-22,"Des Moines",55027,4778,4288,65,54,11,21371,4428,75,2021-04-22
"Dickinson",2021-04-22,"Dickinson",26383,2625,2179,43,37,6,10612,2437,215,2021-04-22
"Dubuque",2021-04-22,"Dubuque",186827,14460,12426,203,189,14,57857,13197,568,2021-04-22
"Emmet",2021-04-22,"Emmet",16783,1376,1164,40,38,2,5214,1298,94,2021-04-22
"Fayette",2021-04-22,"Fayette",35542,1917,1776,41,36,5,9430,1834,17,2021-04-22
"Floyd",2021-04-22,"Floyd",25090,1736,1474,42,32,10,7792,1561,45,2021-04-22
"Franklin",2021-04-22,"Franklin",19212,1230,1084,21,19,2,5343,1131,26,2021-04-22
