"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","2359","332","133","4","195","0.140737600678253",2020-11-14
"Adams","Adams","1002","128","66","1","61","0.127744510978044",2020-11-14
"Allamakee","Allamakee","3850","600","326","9","265","0.155844155844156",2020-11-14
"Appanoose","Appanoose","3828","584","205","3","376","0.152560083594566",2020-11-14
"Audubon","Audubon","1656","250","129","1","120","0.150966183574879",2020-11-14
"Benton","Benton","8383","1304","485","9","810","0.155552904688059",2020-11-14
"Black Hawk","Black Hawk","47119","8866","5075","113","3678","0.188161887985738",2020-11-14
"Boone","Boone","8436","1047","661","10","376","0.124110953058321",2020-11-14
"Bremer","Bremer","7612","1423","610","12","801","0.186941671045717",2020-11-14
"Buchanan","Buchanan","6189","863","385","6","472","0.13944094360963",2020-11-14
"Buena Vista","Buena Vista","11056","2687","2181","13","493","0.243035455861071",2020-11-14
"Butler","Butler","4597","738","434","3","301","0.160539482271046",2020-11-14
"Calhoun","Calhoun","3860","808","341","6","461","0.209326424870466",2020-11-14
"Carroll","Carroll","7967","1670","1004","14","652","0.209614660474457",2020-11-14
"Cass","Cass","4092","640","408","14","218","0.156402737047898",2020-11-14
"Cedar","Cedar","5824","811","370","13","428","0.139251373626374",2020-11-14
"Cerro Gordo","Cerro Gordo","15705","2544","1215","31","1298","0.161986628462273",2020-11-14
"Cherokee","Cherokee","3822","612","359","4","249","0.160125588697017",2020-11-14
"Chickasaw","Chickasaw","3495","604","467","1","136","0.172818311874106",2020-11-14
"Clarke","Clarke","3034","419","303","4","112","0.138101516150297",2020-11-14
"Clay","Clay","5369","867","476","4","387","0.161482585211399",2020-11-14
"Clayton","Clayton","4517","823","387","4","432","0.182200575603277",2020-11-14
"Clinton","Clinton","14009","2502","1329","35","1138","0.178599471768149",2020-11-14
"Crawford","Crawford","6467","1590","1289","15","286","0.245863615277563",2020-11-14
"Dallas","Dallas","34760","5138","3225","53","1860","0.147813578826237",2020-11-14
"Davis","Davis","1895","312","153","4","155","0.164643799472296",2020-11-14
"Decatur","Decatur","2205","261","126","0","135","0.118367346938776",2020-11-14
