"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-04,"Adair",10872,921,693,28,22,6,3410,810,89,2021-03-04
"Adams",2021-03-04,"Adams",4668,327,310,4,4,0,1502,318,4,2021-03-04
"Allamakee",2021-03-04,"Allamakee",18226,1466,1300,47,39,8,5762,1422,75,2021-03-04
"Appanoose",2021-03-04,"Appanoose",15562,1391,1118,47,43,4,5700,1230,65,2021-03-04
"Audubon",2021-03-04,"Audubon",10275,488,427,9,8,1,2460,471,35,2021-03-04
"Benton",2021-03-04,"Benton",31588,2540,2150,54,44,10,11912,2391,187,2021-03-04
"Black Hawk",2021-03-04,"Black Hawk",185539,16261,14190,292,273,19,66581,14906,424,2021-03-04
"Boone",2021-03-04,"Boone",38456,2600,2280,30,28,2,12992,2424,114,2021-03-04
"Bremer",2021-03-04,"Bremer",32513,2808,2505,54,47,7,11517,2684,125,2021-03-04
"Buchanan",2021-03-04,"Buchanan",25910,1858,1648,29,25,4,8862,1766,89,2021-03-04
"Buena Vista",2021-03-04,"Buena Vista",39758,4743,3981,37,34,3,14150,4119,101,2021-03-04
"Butler",2021-03-04,"Butler",25190,1672,1514,31,28,3,6660,1586,41,2021-03-04
"Calhoun",2021-03-04,"Calhoun",16020,1340,1243,11,11,0,5019,1292,38,2021-03-04
"Carroll",2021-03-04,"Carroll",31619,2862,2560,49,41,8,10770,2663,54,2021-03-04
"Cass",2021-03-04,"Cass",18144,1355,1146,51,46,5,5975,1286,89,2021-03-04
"Cedar",2021-03-04,"Cedar",26075,1784,1580,23,21,2,8604,1711,108,2021-03-04
"Cerro Gordo",2021-03-04,"Cerro Gordo",66990,5337,4789,82,69,13,23378,4984,113,2021-03-04
"Cherokee",2021-03-04,"Cherokee",17627,1548,1378,36,29,7,5662,1452,38,2021-03-04
"Chickasaw",2021-03-04,"Chickasaw",15250,1252,1148,15,13,2,5129,1189,26,2021-03-04
"Clarke",2021-03-04,"Clarke",11719,1004,854,20,20,0,4604,946,72,2021-03-04
"Clay",2021-03-04,"Clay",25403,1936,1753,25,20,5,7824,1835,57,2021-03-04
"Clayton",2021-03-04,"Clayton",21280,1681,1523,54,46,8,6600,1598,21,2021-03-04
"Clinton",2021-03-04,"Clinton",53256,5438,4680,84,74,10,21045,5000,236,2021-03-04
"Crawford",2021-03-04,"Crawford",23663,2751,2376,35,31,4,8372,2520,109,2021-03-04
"Dallas",2021-03-04,"Dallas",110113,11392,9393,90,79,11,50754,10165,682,2021-03-04
"Davis",2021-03-04,"Davis",9354,831,707,23,22,1,3211,762,32,2021-03-04
"Decatur",2021-03-04,"Decatur",8860,582,522,9,9,0,3379,568,37,2021-03-04
"Delaware",2021-03-04,"Delaware",23340,1893,1768,40,35,5,7455,1853,45,2021-03-04
"Des Moines",2021-03-04,"Des Moines",47894,4587,4017,61,53,8,20025,4270,192,2021-03-04
"Dickinson",2021-03-04,"Dickinson",22257,2180,1886,40,34,6,9697,2023,97,2021-03-04
"Dubuque",2021-03-04,"Dubuque",161325,13568,11732,194,180,14,53999,12407,481,2021-03-04
"Emmet",2021-03-04,"Emmet",14316,1217,1078,40,38,2,4722,1147,29,2021-03-04
"Fayette",2021-03-04,"Fayette",30138,1852,1676,35,32,3,8695,1779,68,2021-03-04
"Floyd",2021-03-04,"Floyd",22234,1628,1401,41,31,10,7292,1472,30,2021-03-04
"Franklin",2021-03-04,"Franklin",17488,1184,1047,19,18,1,4933,1089,23,2021-03-04
"Fremont",2021-03-04,"Fremont",6422,590,534,9,7,2,2499,558,15,2021-03-04
"Greene",2021-03-04,"Greene",13044,775,703,10,10,0,3888,729,16,2021-03-04
"Grundy",2021-03-04,"Grundy",16695,1393,1225,30,25,5,5467,1319,64,2021-03-04
"Guthrie",2021-03-04,"Guthrie",15437,1166,1038,28,23,5,5285,1088,22,2021-03-04
"Hamilton",2021-03-04,"Hamilton",20863,1922,1624,42,41,1,7147,1738,72,2021-03-04
"Hancock",2021-03-04,"Hancock",18528,1473,1321,30,25,5,5661,1377,26,2021-03-04
"Hardin",2021-03-04,"Hardin",29599,1815,1583,39,33,6,7883,1692,70,2021-03-04
"Harrison",2021-03-04,"Harrison",18054,1793,1559,69,65,4,6097,1671,43,2021-03-04
"Henry",2021-03-04,"Henry",31633,2933,2694,37,36,1,10363,2792,61,2021-03-04
"Howard",2021-03-04,"Howard",14492,1030,902,21,17,4,4286,990,67,2021-03-04
"Humboldt",2021-03-04,"Humboldt",13561,1179,1072,25,22,3,4488,1132,35,2021-03-04
"Ida",2021-03-04,"Ida",10360,914,758,32,30,2,3079,811,21,2021-03-04
"Iowa",2021-03-04,"Iowa",25464,1450,1311,23,21,2,7653,1392,58,2021-03-04
"Jackson",2021-03-04,"Jackson",22254,2214,1982,38,35,3,8538,2096,76,2021-03-04
