"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3255,179,88,7,84,NA,NA,NA,NA
"2","2020-08-01",3302,182,90,7,85,3,47,0,0.0638297872340425
