"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",3883,884,849,32,3,0.227659026525882,2021-07-17
"2","Adams",1706,342,333,4,5,0.200468933177022,2021-07-17
"3","Allamakee",6716,1548,1487,52,9,0.230494341870161,2021-07-17
"4","Appanoose",6513,1275,1227,49,-1,0.195762321510825,2021-07-17
"5","Audubon",2911,529,513,11,5,0.181724493301271,2021-07-17
"6","Benton",13924,2620,2531,55,34,0.188164320597529,2021-07-17
"7","Black Hawk",76033,16489,15801,316,372,0.216866360659187,2021-07-17
"8","Boone",14901,2692,2653,34,5,0.180659016173411,2021-07-17
"9","Bremer",13216,2912,2824,62,26,0.220338983050847,2021-07-17
"10","Buchanan",10233,1951,1904,34,13,0.190657676145803,2021-07-17
"11","Buena Vista",15673,4293,4244,40,9,0.27391054680023,2021-07-17
"12","Butler",7577,1670,1622,35,13,0.220403853767982,2021-07-17
"13","Calhoun",5679,1409,1377,13,19,0.248107061102307,2021-07-17
"14","Carroll",12042,2856,2802,52,2,0.23716990533134,2021-07-17
"15","Cass",6773,1391,1336,55,0,0.205374280230326,2021-07-17
"16","Cedar",9892,1925,1898,23,4,0.194601698342095,2021-07-17
"17","Cerro Gordo",27311,5597,5464,97,36,0.20493574017795,2021-07-17
"18","Cherokee",6390,1610,1563,38,9,0.251956181533646,2021-07-17
"19","Chickasaw",5901,1253,1235,17,1,0.212336892052195,2021-07-17
"20","Clarke",5291,1021,990,24,7,0.192969192969193,2021-07-17
"21","Clay",9031,2173,2143,27,3,0.240615657180822,2021-07-17
"22","Clayton",7807,1719,1665,57,-3,0.220187011656206,2021-07-17
"23","Clinton",25271,5626,5534,93,-1,0.222626726287048,2021-07-17
"24","Crawford",9343,2697,2649,41,7,0.288665310927967,2021-07-17
"25","Dallas",58696,11383,11249,99,35,0.193931443369224,2021-07-17
"26","Davis",3824,860,833,25,2,0.22489539748954,2021-07-17
"27","Decatur",3838,647,628,9,10,0.168577384054195,2021-07-17
"28","Delaware",8700,2112,2063,43,6,0.242758620689655,2021-07-17
"29","Des Moines",23045,4726,4617,73,36,0.205077023215448,2021-07-17
"30","Dickinson",11143,2505,2459,45,1,0.224804810194741,2021-07-17
"31","Dubuque",61353,13570,13301,213,56,0.221179078447672,2021-07-17
"32","Emmet",5559,1367,1321,41,5,0.245907537326857,2021-07-17
"33","Fayette",10044,1879,1822,43,14,0.187076861808045,2021-07-17
"34","Floyd",8440,1646,1597,42,7,0.195023696682464,2021-07-17
"35","Franklin",5950,1259,1218,23,18,0.211596638655462,2021-07-17
"36","Fremont",2876,647,637,10,0,0.224965229485396,2021-07-17
"37","Greene",4435,789,775,11,3,0.177903043968433,2021-07-17
"38","Grundy",6186,1387,1349,33,5,0.224215971548658,2021-07-17
"39","Guthrie",6258,1243,1207,32,4,0.198625759028444,2021-07-17
"40","Hamilton",8164,1836,1779,51,6,0.224889759921607,2021-07-17
"41","Hancock",6598,1517,1467,34,16,0.229918157017278,2021-07-17
"42","Hardin",9212,1894,1840,44,10,0.205601389491967,2021-07-17
"43","Harrison",6850,1812,1737,73,2,0.264525547445255,2021-07-17
"44","Henry",11882,3004,2953,37,14,0.252819390674971,2021-07-17
"45","Howard",4967,1052,1028,22,2,0.211797865915039,2021-07-17
"46","Humboldt",5069,1223,1182,26,15,0.24127046754784,2021-07-17
"47","Ida",3593,923,881,35,7,0.256888394099638,2021-07-17
"48","Iowa",8751,1479,1456,24,-1,0.169009256085019,2021-07-17
"49","Jackson",9931,2256,2218,42,-4,0.227167455442554,2021-07-17
"50","Jasper",20090,4505,4421,73,11,0.224240915878547,2021-07-17
"51","Jefferson",8589,1340,1308,35,-3,0.156013505646757,2021-07-17
"52","Johnson",88159,14678,14532,85,61,0.166494629022562,2021-07-17
"53","Jones",10831,3010,2951,57,2,0.277906010525344,2021-07-17
"54","Keokuk",4639,994,948,32,14,0.214270316878638,2021-07-17
"55","Kossuth",8535,2172,2110,66,-4,0.254481546572935,2021-07-17
"56","Lee",17341,3873,3776,58,39,0.223343521134883,2021-07-17
"57","Linn",127938,21388,20899,342,147,0.167174725257547,2021-07-17
"58","Louisa",5832,1302,1252,49,1,0.223251028806584,2021-07-17
"59","Lucas",4185,771,750,23,-2,0.184229390681004,2021-07-17
"60","Lyon",5100,1607,1558,41,8,0.315098039215686,2021-07-17
"61","Madison",8536,1668,1642,19,7,0.195407685098407,2021-07-17
"62","Mahaska",11293,2309,2236,51,22,0.204462941645267,2021-07-17
"63","Marion",17439,3662,3584,77,1,0.209989104879867,2021-07-17
"64","Marshall",23137,4908,4795,76,37,0.212127760729567,2021-07-17
"65","Mills",8057,1637,1603,24,10,0.203177361300732,2021-07-17
"66","Mitchell",5824,1271,1231,43,-3,0.21823489010989,2021-07-17
"67","Monona",4027,852,817,31,4,0.211571889744226,2021-07-17
"68","Monroe",3841,980,943,32,5,0.255141890132778,2021-07-17
"69","Montgomery",4559,1054,1014,38,2,0.231191050669006,2021-07-17
"70","Muscatine",23411,4902,4782,106,14,0.209388748878732,2021-07-17
"71","O'Brien",7050,2006,1950,61,-5,0.284539007092199,2021-07-17
