"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1155","42","20","1","0.0363636363636364",2020-08-20
"Adams","Adams","448","18","16","0","0.0401785714285714",2020-08-20
"Allamakee","Allamakee","2225","163","140","4","0.0732584269662921",2020-08-20
"Appanoose","Appanoose","1716","60","46","3","0.034965034965035",2020-08-20
"Audubon","Audubon","782","30","22","1","0.0383631713554987",2020-08-20
"Benton","Benton","3752","180","119","1","0.0479744136460554",2020-08-20
"Black Hawk","Black Hawk","26746","3400","2745","67","0.127121812607493",2020-08-20
"Boone","Boone","4480","299","207","3","0.0667410714285714",2020-08-20
"Bremer","Bremer","3916","252","150","7","0.0643513789581205",2020-08-20
"Buchanan","Buchanan","3229","155","85","1","0.0480024775472282",2020-08-20
"Buena Vista","Buena Vista","8138","1808","1761","12","0.222167608749078",2020-08-20
"Butler","Butler","2455","146","123","2","0.0594704684317719",2020-08-20
"Calhoun","Calhoun","1742","92","72","2","0.052812858783008",2020-08-20
"Carroll","Carroll","3740","247","177","2","0.0660427807486631",2020-08-20
"Cass","Cass","1893","100","75","2","0.0528262017960909",2020-08-20
"Cedar","Cedar","2677","140","107","1","0.0522973477773627",2020-08-20
"Cerro Gordo","Cerro Gordo","8796","680","500","20","0.0773078672123693",2020-08-20
"Cherokee","Cherokee","1853","122","102","1","0.0658391797085807",2020-08-20
"Chickasaw","Chickasaw","1796","78","62","0","0.0434298440979955",2020-08-20
"Clarke","Clarke","1661","212","153","3","0.127633955448525",2020-08-20
"Clay","Clay","2838","223","165","1","0.0785764622973925",2020-08-20
"Clayton","Clayton","2475","132","97","3","0.0533333333333333",2020-08-20
"Clinton","Clinton","6765","583","215","5","0.0861788617886179",2020-08-20
"Crawford","Crawford","3921","766","690","3","0.195358326957409",2020-08-20
"Dallas","Dallas","19227","2032","1616","35","0.105684714203984",2020-08-20
"Davis","Davis","918","73","48","2","0.079520697167756",2020-08-20
"Decatur","Decatur","780","31","24","0","0.0397435897435897",2020-08-20
"Delaware","Delaware","2691","147","117","2","0.0546265328874025",2020-08-20
"Des Moines","Des Moines","5342","329","125","2","0.0615874204417821",2020-08-20
"Dickinson","Dickinson","4151","393","345","5","0.0946759816911588",2020-08-20
"Dubuque","Dubuque","22611","1858","1300","34","0.0821723939675379",2020-08-20
"Emmet","Emmet","1673","207","152","6","0.123729826658697",2020-08-20
"Fayette","Fayette","2937","114","69","0","0.0388151174668029",2020-08-20
"Floyd","Floyd","2941","174","144","3","0.0591635498129888",2020-08-20
"Franklin","Franklin","1966","267","220","16","0.135808748728383",2020-08-20
"Fremont","Fremont","793","49","24","0","0.0617906683480454",2020-08-20
"Greene","Greene","1358","43","38","0","0.0316642120765832",2020-08-20
"Grundy","Grundy","2006","98","62","1","0.0488534396809571",2020-08-20
"Guthrie","Guthrie","1961","152","115","5","0.0775114737378888",2020-08-20
