"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1109","38","20","0","0.0342651036970243",2020-08-15
"Adams","Adams","439","17","16","0","0.0387243735763098",2020-08-15
"Allamakee","Allamakee","2168","162","139","4","0.0747232472324723",2020-08-15
"Appanoose","Appanoose","1619","54","44","3","0.0333539221741816",2020-08-15
"Audubon","Audubon","759","30","21","1","0.0395256916996047",2020-08-15
"Benton","Benton","3630","165","108","1","0.0454545454545455",2020-08-15
"Black Hawk","Black Hawk","25923","3265","2648","66","0.125949928634803",2020-08-15
"Boone","Boone","4307","283","189","3","0.0657069886231716",2020-08-15
"Bremer","Bremer","3792","242","132","7","0.0638185654008439",2020-08-15
"Buchanan","Buchanan","3107","142","72","1","0.0457032507241712",2020-08-15
"Buena Vista","Buena Vista","8055","1802","1744","12","0.223711980136561",2020-08-15
"Butler","Butler","2372","134","114","2","0.0564924114671164",2020-08-15
"Calhoun","Calhoun","1644","92","78","2","0.0559610705596107",2020-08-15
"Carroll","Carroll","3562","209","166","2","0.0586749017405952",2020-08-15
"Cass","Cass","1830","93","57","2","0.0508196721311475",2020-08-15
"Cedar","Cedar","2596","136","102","1","0.0523882896764253",2020-08-15
"Cerro Gordo","Cerro Gordo","8490","676","440","19","0.07962308598351",2020-08-15
"Cherokee","Cherokee","1802","111","100","1","0.0615982241953385",2020-08-15
"Chickasaw","Chickasaw","1725","62","53","0","0.0359420289855072",2020-08-15
"Clarke","Clarke","1599","211","148","3","0.131957473420888",2020-08-15
"Clay","Clay","2745","211","160","1","0.0768670309653916",2020-08-15
"Clayton","Clayton","2367","116","93","3","0.04900718208703",2020-08-15
"Clinton","Clinton","6347","457","182","4","0.0720025208760044",2020-08-15
"Crawford","Crawford","3814","745","687","3","0.195332983744101",2020-08-15
"Dallas","Dallas","18433","1962","1536","35","0.106439537785493",2020-08-15
"Davis","Davis","879","62","45","2","0.0705346985210466",2020-08-15
"Decatur","Decatur","635","29","23","0","0.0456692913385827",2020-08-15
"Delaware","Delaware","2567","130","99","1","0.0506427736657577",2020-08-15
"Des Moines","Des Moines","4934","229","112","2","0.0464126469396028",2020-08-15
"Dickinson","Dickinson","4066","387","336","4","0.0951795376291195",2020-08-15
"Dubuque","Dubuque","21705","1789","1191","31","0.0824234047454504",2020-08-15
"Emmet","Emmet","1616","197","142","4","0.121905940594059",2020-08-15
"Fayette","Fayette","2829","98","65","0","0.0346412159773772",2020-08-15
"Floyd","Floyd","2828","178","132","3","0.0629420084865629",2020-08-15
"Franklin","Franklin","1882","261","211","12","0.138682252922423",2020-08-15
"Fremont","Fremont","747","45","19","0","0.0602409638554217",2020-08-15
"Greene","Greene","1307","42","38","0","0.0321346595256312",2020-08-15
"Grundy","Grundy","1932","88","56","1","0.0455486542443064",2020-08-15
"Guthrie","Guthrie","1882","143","108","5","0.0759829968119022",2020-08-15
"Hamilton","Hamilton","2685","258","241","1","0.0960893854748603",2020-08-15
"Hancock","Hancock","1897","125","116","2","0.0658935160780179",2020-08-15
"Hardin","Hardin","2731","191","125","0","0.0699377517392896",2020-08-15
"Harrison","Harrison","1702","116","94","1","0.0681551116333725",2020-08-15
"Henry","Henry","2855","148","97","4","0.0518388791593695",2020-08-15
"Howard","Howard","1337","55","42","0","0.0411368735976066",2020-08-15
"Humboldt","Humboldt","1371","128","90","1","0.0933625091174325",2020-08-15
"Ida","Ida","945","33","25","0","0.0349206349206349",2020-08-15
"Iowa","Iowa","2819","98","66","1","0.034764100744945",2020-08-15
"Jackson","Jackson","2816","168","96","1","0.0596590909090909",2020-08-15
"Jasper","Jasper","5193","492","393","28","0.0947429231658001",2020-08-15
"Jefferson","Jefferson","2069","89","67","0","0.0430159497341711",2020-08-15
"Johnson","Johnson","26445","2171","1657","21","0.0820949139723955",2020-08-15
"Jones","Jones","2712","136","99","2","0.0501474926253687",2020-08-15
"Keokuk","Keokuk","1151","41","23","1","0.0356211989574283",2020-08-15
"Kossuth","Kossuth","2214","103","69","0","0.0465221318879855",2020-08-15
"Lee","Lee","3349","142","60","5","0.0424007166318304",2020-08-15
"Linn","Linn","36348","2509","2024","89","0.0690271816881259",2020-08-15
"Louisa","Louisa","1925","378","357","14","0.196363636363636",2020-08-15
"Lucas","Lucas","920","74","34","4","0.0804347826086956",2020-08-15
"Lyon","Lyon","1152","125","108","2","0.108506944444444",2020-08-15
"Madison","Madison","2459","132","82","2","0.0536803578690525",2020-08-15
"Mahaska","Mahaska","2227","144","117","17","0.0646609788953749",2020-08-15
"Marion","Marion","3779","194","156","0","0.051336332363059",2020-08-15
"Marshall","Marshall","8848","1487","1175","27","0.168060578661844",2020-08-15
"Mills","Mills","2847","95","58","1","0.0333684580259923",2020-08-15
"Mitchell","Mitchell","1985","83","69","0","0.0418136020151134",2020-08-15
"Monona","Monona","1211","93","81","1","0.0767960363336086",2020-08-15
"Monroe","Monroe","876","76","54","8","0.0867579908675799",2020-08-15
"Montgomery","Montgomery","1431","63","47","4","0.0440251572327044",2020-08-15
"Muscatine","Muscatine","7181","884","741","48","0.123102631945412",2020-08-15
"O'Brien","O'Brien","2045","147","111","5","0.0718826405867971",2020-08-15
"Osceola","Osceola","678","89","73","0","0.131268436578171",2020-08-15
"Page","Page","2078","101","81","0","0.048604427333975",2020-08-15
"Palo Alto","Palo Alto","1546","99","63","0","0.0640362225097025",2020-08-15
"Pending Investigation","Pending Investigation","6439","4","0","0","0.000621214474297251",2020-08-15
"Plymouth","Plymouth","4282","501","382","12","0.117001401214386",2020-08-15
"Pocahontas","Pocahontas","1243","121","108","2","0.0973451327433628",2020-08-15
"Polk","Polk","93708","10841","8316","210","0.115689162077944",2020-08-15
"Pottawattamie","Pottawattamie","16119","1402","1052","29","0.0869781003784354",2020-08-15
"Poweshiek","Poweshiek","2242","160","119","8","0.0713648528099911",2020-08-15
"Ringgold","Ringgold","747","24","20","1","0.0321285140562249",2020-08-15
"Sac","Sac","1790","87","74","0","0.0486033519553073",2020-08-15
"Scott","Scott","26625","1818","1340","15","0.0682816901408451",2020-08-15
"Shelby","Shelby","1731","193","174","1","0.111496244945118",2020-08-15
"Sioux","Sioux","4547","679","535","3","0.149329228062459",2020-08-15
"Story","Story","20351","1370","976","15","0.067318559284556",2020-08-15
"Tama","Tama","3437","561","482","29","0.163223741635147",2020-08-15
"Taylor","Taylor","927","100","90","0","0.107874865156419",2020-08-15
"Union","Union","2290","83","54","2","0.0362445414847162",2020-08-15
"Van Buren","Van Buren","790","40","22","1","0.0506329113924051",2020-08-15
"Wapello","Wapello","6126","945","816","36","0.154260528893242",2020-08-15
"Warren","Warren","8694","598","418","2","0.0687830687830688",2020-08-15
"Washington","Washington","3288","307","275","10","0.0933698296836983",2020-08-15
"Wayne","Wayne","537","21","14","1","0.0391061452513966",2020-08-15
"Webster","Webster","7110","868","637","8","0.122081575246132",2020-08-15
"Winnebago","Winnebago","1842","108","59","0","0.0586319218241042",2020-08-15
"Winneshiek","Winneshiek","2539","106","79","1","0.0417487199684915",2020-08-15
"Woodbury","Woodbury","22537","3795","3435","54","0.168389759062874",2020-08-15
"Worth","Worth","1183","71","45","0","0.0600169061707523",2020-08-15
"Wright","Wright","3423","485","420","1","0.141688577271399",2020-08-15
"Total","Totals","552417","51648","40359","972",NA,2020-08-15
