"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2483,131,34,1,96,NA,NA,NA,NA
"2","2020-08-01",2514,134,36,1,97,3,31,0,0.0967741935483871
