"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-02-26,"Adair",10709,917,677,26,20,6,3382,806,103,2021-02-26
"Adams",2021-02-26,"Adams",4592,325,305,4,4,0,1491,317,8,2021-02-26
"Allamakee",2021-02-26,"Allamakee",17937,1438,1280,45,37,8,5637,1393,68,2021-02-26
"Appanoose",2021-02-26,"Appanoose",15309,1385,1106,47,43,4,5636,1222,69,2021-02-26
"Audubon",2021-02-26,"Audubon",10019,483,422,9,8,1,2436,467,36,2021-02-26
"Benton",2021-02-26,"Benton",31011,2512,2119,54,44,10,11790,2359,186,2021-02-26
"Black Hawk",2021-02-26,"Black Hawk",182927,16210,14055,287,269,18,66015,14839,497,2021-02-26
"Boone",2021-02-26,"Boone",37912,2585,2253,30,28,2,12843,2404,121,2021-02-26
"Bremer",2021-02-26,"Bremer",31607,2772,2475,54,47,7,11391,2641,112,2021-02-26
"Buchanan",2021-02-26,"Buchanan",25508,1841,1622,30,26,4,8769,1747,95,2021-02-26
"Buena Vista",2021-02-26,"Buena Vista",39341,4716,3972,36,33,3,14031,4081,73,2021-02-26
"Butler",2021-02-26,"Butler",24786,1658,1501,31,28,3,6609,1575,43,2021-02-26
"Calhoun",2021-02-26,"Calhoun",15818,1332,1236,11,11,0,4983,1282,35,2021-02-26
"Carroll",2021-02-26,"Carroll",31229,2848,2555,48,40,8,10683,2653,50,2021-02-26
"Cass",2021-02-26,"Cass",17954,1327,1123,48,45,3,5907,1259,88,2021-02-26
"Cedar",2021-02-26,"Cedar",25682,1761,1560,22,21,1,8492,1683,101,2021-02-26
"Cerro Gordo",2021-02-26,"Cerro Gordo",66121,5322,4739,80,68,12,23136,4968,149,2021-02-26
"Cherokee",2021-02-26,"Cherokee",17311,1535,1376,35,29,6,5614,1441,30,2021-02-26
"Chickasaw",2021-02-26,"Chickasaw",15066,1246,1140,13,12,1,5094,1182,29,2021-02-26
"Clarke",2021-02-26,"Clarke",11609,998,820,20,20,0,4562,936,96,2021-02-26
"Clay",2021-02-26,"Clay",25164,1931,1733,25,20,5,7765,1828,70,2021-02-26
"Clayton",2021-02-26,"Clayton",20918,1678,1514,53,45,8,6530,1594,27,2021-02-26
"Clinton",2021-02-26,"Clinton",52530,5414,4600,83,73,10,20769,4967,284,2021-02-26
"Crawford",2021-02-26,"Crawford",23251,2728,2346,35,31,4,8303,2497,116,2021-02-26
"Dallas",2021-02-26,"Dallas",108396,11278,9225,90,79,11,50163,10039,724,2021-02-26
"Davis",2021-02-26,"Davis",9188,821,693,23,22,1,3169,752,36,2021-02-26
"Decatur",2021-02-26,"Decatur",8680,572,510,9,9,0,3332,558,39,2021-02-26
"Delaware",2021-02-26,"Delaware",23007,1887,1747,39,34,5,7382,1848,62,2021-02-26
"Des Moines",2021-02-26,"Des Moines",47091,4556,3982,61,53,8,19821,4240,197,2021-02-26
"Dickinson",2021-02-26,"Dickinson",21976,2166,1873,38,32,6,9624,2007,96,2021-02-26
"Dubuque",2021-02-26,"Dubuque",159007,13489,11624,194,180,14,53613,12330,512,2021-02-26
"Emmet",2021-02-26,"Emmet",14205,1212,1074,40,38,2,4693,1140,26,2021-02-26
"Fayette",2021-02-26,"Fayette",29711,1842,1660,34,31,3,8626,1766,72,2021-02-26
"Floyd",2021-02-26,"Floyd",21938,1624,1396,39,30,9,7237,1468,33,2021-02-26
"Franklin",2021-02-26,"Franklin",17312,1182,1035,19,18,1,4900,1088,34,2021-02-26
"Fremont",2021-02-26,"Fremont",6390,586,533,9,7,2,2487,554,12,2021-02-26
"Greene",2021-02-26,"Greene",12860,767,694,10,10,0,3848,724,20,2021-02-26
"Grundy",2021-02-26,"Grundy",16439,1387,1210,30,25,5,5421,1309,69,2021-02-26
"Guthrie",2021-02-26,"Guthrie",15227,1160,1028,28,23,5,5227,1083,27,2021-02-26
"Hamilton",2021-02-26,"Hamilton",20589,1918,1608,41,40,1,7088,1732,83,2021-02-26
"Hancock",2021-02-26,"Hancock",18254,1466,1317,29,24,5,5631,1371,25,2021-02-26
"Hardin",2021-02-26,"Hardin",29112,1805,1566,39,33,6,7808,1677,72,2021-02-26
"Harrison",2021-02-26,"Harrison",17711,1788,1543,69,65,4,6058,1663,51,2021-02-26
"Henry",2021-02-26,"Henry",31221,2929,2679,35,35,0,10293,2790,76,2021-02-26
"Howard",2021-02-26,"Howard",14177,1028,874,21,17,4,4239,986,91,2021-02-26
"Humboldt",2021-02-26,"Humboldt",13271,1169,1059,25,22,3,4442,1121,37,2021-02-26
"Ida",2021-02-26,"Ida",10139,907,744,32,30,2,3048,804,28,2021-02-26
"Iowa",2021-02-26,"Iowa",25122,1439,1288,23,21,2,7581,1379,68,2021-02-26
"Jackson",2021-02-26,"Jackson",21901,2209,1959,38,35,3,8447,2089,92,2021-02-26
"Jasper",2021-02-26,"Jasper",42863,4112,3368,65,61,4,16848,3749,316,2021-02-26
"Jefferson",2021-02-26,"Jefferson",17368,1377,1220,32,27,5,7230,1269,17,2021-02-26
"Johnson",2021-02-26,"Johnson",178630,13773,12336,73,68,5,74022,13012,603,2021-02-26
"Jones",2021-02-26,"Jones",22006,2937,2721,54,50,4,9281,2842,67,2021-02-26
"Keokuk",2021-02-26,"Keokuk",13120,976,849,29,29,0,3896,912,34,2021-02-26
"Kossuth",2021-02-26,"Kossuth",21697,2074,1820,54,47,7,7345,1966,92,2021-02-26
"Lee",2021-02-26,"Lee",46161,3738,3316,51,38,13,14860,3519,152,2021-02-26
"Linn",2021-02-26,"Linn",246209,20562,18118,312,282,30,108721,19338,908,2021-02-26
"Louisa",2021-02-26,"Louisa",14871,1279,1142,41,34,7,5089,1218,35,2021-02-26
"Lucas",2021-02-26,"Lucas",7956,729,656,21,17,4,3551,701,24,2021-02-26
"Lyon",2021-02-26,"Lyon",12860,1459,1364,41,37,4,4309,1449,44,2021-02-26
"Madison",2021-02-26,"Madison",17049,1536,1285,18,14,4,7140,1404,101,2021-02-26
"Mahaska",2021-02-26,"Mahaska",26012,2231,1975,46,41,5,9749,2134,113,2021-02-26
"Marion",2021-02-26,"Marion",34750,3573,3130,69,60,9,14712,3374,175,2021-02-26
"Marshall",2021-02-26,"Marshall",69777,4947,4313,72,64,8,19855,4596,211,2021-02-26
"Mills",2021-02-26,"Mills",18965,1626,1386,20,17,3,7247,1471,65,2021-02-26
"Mitchell",2021-02-26,"Mitchell",15128,1302,1149,40,38,2,5154,1191,2,2021-02-26
