"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-16,"Adair",3097,684,541,20,16,4,123,0.220858895705521
"Adams",2021-01-16,"Adams",1348,293,231,3,3,0,59,0.217359050445104
"Allamakee",2021-01-16,"Allamakee",5125,1266,1076,27,23,4,163,0.247024390243902
"Appanoose",2021-01-16,"Appanoose",5091,1090,904,38,38,0,148,0.214103319583579
"Audubon",2021-01-16,"Audubon",2165,411,352,8,8,0,51,0.189838337182448
"Benton",2021-01-16,"Benton",10719,2081,1901,43,39,4,137,0.194141244519078
"Black Hawk",2021-01-16,"Black Hawk",59760,13617,12182,228,215,13,1207,0.227861445783133
"Boone",2021-01-16,"Boone",11629,2160,1719,16,14,2,425,0.185742540201221
"Bremer",2021-01-16,"Bremer",9962,2416,2188,48,44,4,180,0.242521582011644
"Buchanan",2021-01-16,"Buchanan",7985,1579,1368,20,19,1,191,0.197745773324984
"Buena Vista",2021-01-16,"Buena Vista",13280,3911,3539,29,26,3,343,0.294503012048193
"Butler",2021-01-16,"Butler",5936,1461,1183,23,20,3,255,0.246125336927224
"Calhoun",2021-01-16,"Calhoun",4689,1219,1153,9,9,0,57,0.259970142887609
"Carroll",2021-01-16,"Carroll",9978,2525,2234,33,27,6,258,0.253056724794548
"Cass",2021-01-16,"Cass",5373,1124,950,41,39,2,133,0.209194118741857
"Cedar",2021-01-16,"Cedar",7690,1504,1290,19,18,1,195,0.195578673602081
"Cerro Gordo",2021-01-16,"Cerro Gordo",20753,4629,4131,66,55,11,432,0.223052088854623
"Cherokee",2021-01-16,"Cherokee",5218,1379,1146,25,23,2,208,0.264277500958222
"Chickasaw",2021-01-16,"Chickasaw",4560,1105,989,11,10,1,105,0.242324561403509
"Clarke",2021-01-16,"Clarke",4024,775,584,7,7,0,184,0.192594433399602
"Clay",2021-01-16,"Clay",7160,1656,1473,19,15,4,164,0.231284916201117
"Clayton",2021-01-16,"Clayton",5968,1504,1293,48,41,7,163,0.25201072386059
"Clinton",2021-01-16,"Clinton",18778,4473,3908,61,55,6,504,0.238204281606135
"Crawford",2021-01-16,"Crawford",7690,2277,2003,22,19,3,252,0.296098829648895
"Dallas",2021-01-16,"Dallas",45711,8801,7435,69,58,11,1297,0.192535713504408
"Davis",2021-01-16,"Davis",2738,684,596,21,20,1,67,0.24981738495252
"Decatur",2021-01-16,"Decatur",2909,478,393,4,4,0,81,0.164317634926091
"Delaware",2021-01-16,"Delaware",6827,1719,1559,36,32,4,124,0.2517943459792
"Des Moines",2021-01-16,"Des Moines",18076,3791,3346,40,36,4,405,0.209725603009515
"Dickinson",2021-01-16,"Dickinson",8989,1836,1634,26,24,2,176,0.204249638446991
"Dubuque",2021-01-16,"Dubuque",49848,11284,10130,148,139,9,1006,0.22636815920398
"Emmet",2021-01-16,"Emmet",4362,1100,921,31,30,1,148,0.252177900045851
"Fayette",2021-01-16,"Fayette",7776,1592,1234,22,20,2,336,0.204732510288066
"Floyd",2021-01-16,"Floyd",6611,1376,1214,36,28,8,126,0.208137951898351
"Franklin",2021-01-16,"Franklin",4406,1012,831,18,17,1,163,0.2296867907399
"Fremont",2021-01-16,"Fremont",2312,502,443,5,3,2,54,0.217128027681661
"Greene",2021-01-16,"Greene",3611,687,617,7,7,0,63,0.190252007754085
"Grundy",2021-01-16,"Grundy",4895,1195,1006,22,17,5,167,0.244126659856997
"Guthrie",2021-01-16,"Guthrie",4847,1022,870,24,19,5,128,0.210852073447493
"Hamilton",2021-01-16,"Hamilton",6437,1577,1377,28,27,1,172,0.244989902128321
"Hancock",2021-01-16,"Hancock",5069,1289,1094,24,19,5,171,0.254290787137502
"Hardin",2021-01-16,"Hardin",7122,1538,1390,29,26,3,119,0.215950575680988
"Harrison",2021-01-16,"Harrison",5631,1540,1310,62,58,4,168,0.273486059314509
"Henry",2021-01-16,"Henry",9528,2628,2380,30,30,0,218,0.275818639798489
"Howard",2021-01-16,"Howard",3742,824,646,19,15,4,159,0.220203099946553
"Humboldt",2021-01-16,"Humboldt",4106,1042,901,19,16,3,122,0.253774963468095
"Ida",2021-01-16,"Ida",2768,737,658,30,29,1,49,0.266257225433526
"Iowa",2021-01-16,"Iowa",6926,1226,1088,22,21,1,116,0.177014149581288
"Jackson",2021-01-16,"Jackson",7680,1906,1703,31,30,1,172,0.248177083333333
"Jasper",2021-01-16,"Jasper",15221,3189,2650,55,53,2,484,0.2095131725905
"Jefferson",2021-01-16,"Jefferson",6480,1194,909,23,21,2,262,0.184259259259259
"Johnson",2021-01-16,"Johnson",68210,11999,10514,49,45,4,1436,0.175912622782583
"Jones",2021-01-16,"Jones",8525,2691,2514,49,48,1,128,0.315659824046921
"Keokuk",2021-01-16,"Keokuk",3498,842,749,25,25,0,68,0.240708976558033
"Kossuth",2021-01-16,"Kossuth",6642,1701,1484,41,38,3,176,0.25609756097561
"Lee",2021-01-16,"Lee",13577,3127,2693,28,23,5,406,0.230315975546881
"Linn",2021-01-16,"Linn",99443,17622,15809,270,249,21,1543,0.177207043230796
"Louisa",2021-01-16,"Louisa",4687,1142,983,29,25,4,130,0.243652656283337
"Lucas",2021-01-16,"Lucas",3226,645,467,8,8,0,170,0.199938003719777
"Lyon",2021-01-16,"Lyon",3968,1333,1178,32,29,3,123,0.3359375
"Madison",2021-01-16,"Madison",6378,1178,884,9,8,1,285,0.18469739730323
"Mahaska",2021-01-16,"Mahaska",8914,1906,1543,36,33,3,327,0.213820955799865
"Marion",2021-01-16,"Marion",13146,3005,2474,52,45,7,479,0.228586642324661
"Marshall",2021-01-16,"Marshall",17702,4251,3899,61,56,5,291,0.240142356795842
"Mills",2021-01-16,"Mills",6831,1357,1226,16,15,1,115,0.198653198653199
"Mitchell",2021-01-16,"Mitchell",4844,1152,948,34,34,0,170,0.237819983484723
"Monona",2021-01-16,"Monona",3230,634,522,16,15,1,96,0.196284829721362
"Monroe",2021-01-16,"Monroe",2867,805,555,18,16,2,232,0.280781304499477
"Montgomery",2021-01-16,"Montgomery",3716,840,664,22,21,1,154,0.226049515608181
"Muscatine",2021-01-16,"Muscatine",18370,3847,3342,75,68,7,430,0.209417528579205
"O'Brien",2021-01-16,"O'Brien",5790,1681,1504,54,50,4,123,0.290328151986183
"Osceola",2021-01-16,"Osceola",2114,634,596,9,7,2,29,0.299905392620624
"Page",2021-01-16,"Page",5264,1436,1318,15,14,1,103,0.272796352583587
"Palo Alto",2021-01-16,"Palo Alto",3873,900,777,9,9,0,114,0.232378001549187
"Pending Investigation",2021-01-16,"Pending Investigation",8455,918,468,0,0,0,450,0.108574807806032
"Plymouth",2021-01-16,"Plymouth",11674,3486,3206,67,61,6,213,0.298612300839472
"Pocahontas",2021-01-16,"Pocahontas",3084,772,664,11,11,0,97,0.250324254215305
"Polk",2021-01-16,"Polk",231333,45232,39060,441,398,43,5731,0.195527659261757
"Pottawattamie",2021-01-16,"Pottawattamie",41259,8905,7772,112,99,13,1021,0.215831697326644
"Poweshiek",2021-01-16,"Poweshiek",7226,1317,1128,24,22,2,165,0.182258510932743
"Ringgold",2021-01-16,"Ringgold",2029,426,333,9,8,1,84,0.209955643173977
"Sac",2021-01-16,"Sac",4622,1101,995,15,15,0,91,0.238208567719602
"Scott",2021-01-16,"Scott",73539,15301,13422,161,152,9,1718,0.208066468132556
"Shelby",2021-01-16,"Shelby",4505,1014,877,26,26,0,111,0.225083240843507
"Sioux",2021-01-16,"Sioux",13812,4531,4153,51,50,1,327,0.32804807413843
"Story",2021-01-16,"Story",47977,8609,7716,33,29,4,860,0.179440148404444
"Tama",2021-01-16,"Tama",7236,1853,1652,57,55,2,144,0.256080707573245
"Taylor",2021-01-16,"Taylor",2209,590,517,9,7,2,64,0.267089180624717
"Union",2021-01-16,"Union",5750,1081,963,22,21,1,96,0.188
