"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-20,"Adair",2866,544,407,17,13,4,120,0.189811584089323
"Adams",2020-12-20,"Adams",1225,230,155,2,2,0,73,0.187755102040816
"Allamakee",2020-12-20,"Allamakee",4781,1090,715,19,15,4,356,0.227985777034093
"Appanoose",2020-12-20,"Appanoose",4655,914,734,34,34,0,146,0.196348012889366
"Audubon",2020-12-20,"Audubon",1959,343,280,7,7,0,56,0.175089331291475
"Benton",2020-12-20,"Benton",10033,1924,1577,34,30,4,313,0.191767168344463
"Black Hawk",2020-12-20,"Black Hawk",55761,12217,10350,207,194,13,1660,0.219095783791539
"Boone",2020-12-20,"Boone",10453,1727,1302,15,13,2,410,0.165215727542332
"Bremer",2020-12-20,"Bremer",9265,2183,1820,40,37,3,323,0.235617916891527
"Buchanan",2020-12-20,"Buchanan",7450,1373,1099,16,15,1,258,0.184295302013423
"Buena Vista",2020-12-20,"Buena Vista",12563,3535,2918,22,19,3,595,0.281381835548834
"Butler",2020-12-20,"Butler",5448,1187,929,16,15,1,242,0.21787812041116
"Calhoun",2020-12-20,"Calhoun",4478,1157,989,9,9,0,159,0.258374274229567
"Carroll",2020-12-20,"Carroll",9325,2252,1871,27,21,6,354,0.241501340482574
"Cass",2020-12-20,"Cass",4966,982,740,38,36,2,204,0.19774466371325
"Cedar",2020-12-20,"Cedar",7095,1308,996,17,16,1,295,0.184355179704017
"Cerro Gordo",2020-12-20,"Cerro Gordo",19196,4149,3245,56,48,8,848,0.216138778912273
"Cherokee",2020-12-20,"Cherokee",4681,1144,756,18,16,2,370,0.244392223883786
"Chickasaw",2020-12-20,"Chickasaw",4216,992,806,10,9,1,176,0.235294117647059
"Clarke",2020-12-20,"Clarke",3585,591,456,6,6,0,129,0.164853556485356
"Clay",2020-12-20,"Clay",6700,1485,1072,11,8,3,402,0.221641791044776
"Clayton",2020-12-20,"Clayton",5474,1298,1021,36,32,4,241,0.237120935330654
