"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-23,"Adair",12199,969,806,32,22,10,3657,848,10,2021-04-23
"Adams",2021-04-23,"Adams",5472,342,315,4,4,0,1603,331,12,2021-04-23
"Allamakee",2021-04-23,"Allamakee",20869,1545,1437,51,41,10,6263,1494,6,2021-04-23
"Appanoose",2021-04-23,"Appanoose",17495,1438,1202,47,43,4,6092,1266,17,2021-04-23
"Audubon",2021-04-23,"Audubon",12087,514,470,9,8,1,2681,495,16,2021-04-23
"Benton",2021-04-23,"Benton",36770,2672,2415,55,44,11,12976,2513,43,2021-04-23
"Black Hawk",2021-04-23,"Black Hawk",210959,17062,14940,306,283,23,71210,15617,371,2021-04-23
"Boone",2021-04-23,"Boone",43982,2787,2475,33,31,2,14072,2598,90,2021-04-23
"Bremer",2021-04-23,"Bremer",38964,2939,2693,60,51,9,12456,2799,46,2021-04-23
"Buchanan",2021-04-23,"Buchanan",30708,1993,1796,31,26,5,9615,1892,65,2021-04-23
"Buena Vista",2021-04-23,"Buena Vista",44645,4876,4137,40,36,4,14905,4226,49,2021-04-23
"Butler",2021-04-23,"Butler",29180,1716,1573,34,30,4,7132,1627,20,2021-04-23
"Calhoun",2021-04-23,"Calhoun",18154,1384,1311,12,12,0,5354,1334,11,2021-04-23
"Carroll",2021-04-23,"Carroll",36010,3017,2702,52,43,9,11506,2807,53,2021-04-23
"Cass",2021-04-23,"Cass",20516,1438,1276,54,48,6,6426,1353,23,2021-04-23
"Cedar",2021-04-23,"Cedar",30635,1944,1749,23,21,2,9283,1850,78,2021-04-23
"Cerro Gordo",2021-04-23,"Cerro Gordo",75444,5662,5000,87,73,14,25271,5254,167,2021-04-23
"Cherokee",2021-04-23,"Cherokee",20715,1678,1496,38,30,8,6098,1577,43,2021-04-23
"Chickasaw",2021-04-23,"Chickasaw",17248,1295,1202,15,13,2,5504,1228,11,2021-04-23
"Clarke",2021-04-23,"Clarke",13288,1044,951,24,22,2,4925,985,10,2021-04-23
"Clay",2021-04-23,"Clay",30163,2233,1966,25,20,5,8556,2128,137,2021-04-23
"Clayton",2021-04-23,"Clayton",24692,1761,1571,55,46,9,7237,1673,47,2021-04-23
"Clinton",2021-04-23,"Clinton",62218,5891,5077,91,79,12,23200,5419,251,2021-04-23
"Crawford",2021-04-23,"Crawford",27297,2864,2553,40,35,5,8922,2625,32,2021-04-23
"Dallas",2021-04-23,"Dallas",126294,12278,10528,96,84,12,55000,10953,329,2021-04-23
"Davis",2021-04-23,"Davis",10842,871,763,24,23,1,3501,799,12,2021-04-23
"Decatur",2021-04-23,"Decatur",10316,605,577,9,9,0,3584,592,6,2021-04-23
"Delaware",2021-04-23,"Delaware",28102,2088,1886,39,35,4,8201,2046,121,2021-04-23
"Des Moines",2021-04-23,"Des Moines",55212,4789,4290,65,54,11,21414,4441,86,2021-04-23
"Dickinson",2021-04-23,"Dickinson",26496,2629,2192,43,37,6,10636,2442,207,2021-04-23
"Dubuque",2021-04-23,"Dubuque",187354,14477,12447,204,189,15,57933,13211,560,2021-04-23
"Emmet",2021-04-23,"Emmet",16831,1377,1169,40,38,2,5231,1303,94,2021-04-23
"Fayette",2021-04-23,"Fayette",35690,1917,1777,41,36,5,9450,1837,19,2021-04-23
"Floyd",2021-04-23,"Floyd",25145,1739,1476,42,32,10,7806,1564,46,2021-04-23
"Franklin",2021-04-23,"Franklin",19253,1233,1084,21,19,2,5355,1133,28,2021-04-23
"Fremont",2021-04-23,"Fremont",7225,650,578,9,7,2,2698,616,29,2021-04-23
"Greene",2021-04-23,"Greene",14771,817,744,10,10,0,4185,767,13,2021-04-23
"Grundy",2021-04-23,"Grundy",19143,1432,1305,32,27,5,5856,1355,18,2021-04-23
"Guthrie",2021-04-23,"Guthrie",18363,1267,1115,29,24,5,5793,1186,42,2021-04-23
"Hamilton",2021-04-23,"Hamilton",23158,1975,1714,49,45,4,7656,1785,22,2021-04-23
"Hancock",2021-04-23,"Hancock",20952,1540,1368,34,27,7,6091,1443,41,2021-04-23
"Hardin",2021-04-23,"Hardin",34365,1949,1711,42,34,8,8583,1821,68,2021-04-23
