"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4094,937,878,32,27,0.228871519296532,2021-09-02
"2","Adams",1808,375,360,4,11,0.207411504424779,2021-09-02
"3","Allamakee",7225,1699,1540,52,107,0.235155709342561,2021-09-02
"4","Appanoose",7047,1436,1266,49,121,0.203774655881936,2021-09-02
"5","Audubon",3086,572,529,14,29,0.185353208036293,2021-09-02
"6","Benton",14869,2982,2623,56,303,0.200551482951106,2021-09-02
"7","Black Hawk",82703,18794,17046,332,1416,0.227246895517696,2021-09-02
"8","Boone",15951,2986,2772,36,178,0.187198294777757,2021-09-02
"9","Bremer",14139,3179,2926,65,188,0.22483909753165,2021-09-02
"10","Buchanan",10972,2254,2003,37,214,0.205432008749544,2021-09-02
"11","Buena Vista",17067,4661,4332,42,287,0.273100134762993,2021-09-02
"12","Butler",8108,1863,1719,36,108,0.229773063640849,2021-09-02
"13","Calhoun",6103,1611,1457,13,141,0.263968540062264,2021-09-02
"14","Carroll",12707,3099,2850,53,196,0.243881325253797,2021-09-02
"15","Cass",7150,1513,1387,56,70,0.211608391608392,2021-09-02
"16","Cedar",10584,2132,1946,24,162,0.201436130007559,2021-09-02
"17","Cerro Gordo",28916,6087,5672,100,315,0.210506294093236,2021-09-02
"18","Cherokee",6811,1745,1606,39,100,0.256203200704742,2021-09-02
"19","Chickasaw",6308,1352,1282,18,52,0.2143310082435,2021-09-02
"20","Clarke",5691,1210,1038,24,148,0.212616411878404,2021-09-02
"21","Clay",9572,2361,2166,27,168,0.246656916005015,2021-09-02
"22","Clayton",8390,1881,1709,58,114,0.22419547079857,2021-09-02
"23","Clinton",26885,6061,5622,95,344,0.225441696113074,2021-09-02
"24","Crawford",10109,3152,2783,43,326,0.31180136512019,2021-09-02
"25","Dallas",62934,12488,11630,102,756,0.198430101376045,2021-09-02
"26","Davis",4170,1001,874,25,102,0.240047961630695,2021-09-02
"27","Decatur",4078,717,677,10,30,0.175821481118195,2021-09-02
"28","Delaware",9263,2301,2139,43,119,0.248407643312102,2021-09-02
"29","Des Moines",24973,5712,4961,80,671,0.228727025187202,2021-09-02
"30","Dickinson",11625,2646,2492,46,108,0.227612903225806,2021-09-02
"31","Dubuque",64728,14305,13532,217,556,0.221001730317637,2021-09-02
"32","Emmet",5833,1449,1332,41,76,0.248414195096863,2021-09-02
"33","Fayette",10860,2125,1906,44,175,0.195672191528545,2021-09-02
"34","Floyd",8946,1812,1638,42,132,0.202548625083836,2021-09-02
"35","Franklin",6443,1442,1313,23,106,0.223808784727611,2021-09-02
"36","Fremont",3149,718,664,10,44,0.228008891711655,2021-09-02
"37","Greene",4793,920,801,11,108,0.191946588775297,2021-09-02
"38","Grundy",6614,1543,1389,35,119,0.233293014817055,2021-09-02
"39","Guthrie",6679,1348,1250,32,66,0.20182662075161,2021-09-02
"40","Hamilton",8848,2065,1898,52,115,0.233386075949367,2021-09-02
"41","Hancock",7048,1643,1528,35,80,0.233115777525539,2021-09-02
"42","Hardin",9994,2183,1947,47,189,0.218431058635181,2021-09-02
"43","Harrison",7295,1947,1778,75,94,0.266895133653187,2021-09-02
"44","Henry",12778,3320,3061,40,219,0.259821568320551,2021-09-02
"45","Howard",5292,1126,1046,22,58,0.212773998488284,2021-09-02
"46","Humboldt",5466,1423,1263,26,134,0.260336626417856,2021-09-02
"47","Ida",3888,1036,942,37,57,0.266460905349794,2021-09-02
"48","Iowa",9375,1687,1519,24,144,0.179946666666667,2021-09-02
"49","Jackson",10558,2396,2247,43,106,0.226936919871188,2021-09-02
"50","Jasper",21478,4998,4579,75,344,0.232703231213335,2021-09-02
"51","Jefferson",9968,1614,1392,37,185,0.161918138041734,2021-09-02
"52","Johnson",95511,16197,14939,90,1168,0.169582561170965,2021-09-02
"53","Jones",11471,3233,2998,58,177,0.28184116467614,2021-09-02
"54","Keokuk",5032,1110,988,32,90,0.220588235294118,2021-09-02
"55","Kossuth",9146,2418,2210,68,140,0.264377870107151,2021-09-02
"56","Lee",19492,4957,4244,71,642,0.254309460291402,2021-09-02
"57","Linn",137994,24738,21778,350,2610,0.17926866385495,2021-09-02
"58","Louisa",6370,1495,1313,49,133,0.23469387755102,2021-09-02
"59","Lucas",4556,895,790,23,82,0.196444249341528,2021-09-02
"60","Lyon",5413,1711,1579,41,91,0.316090892296324,2021-09-02
"61","Madison",9150,1881,1719,19,143,0.205573770491803,2021-09-02
"62","Mahaska",12460,2642,2337,52,253,0.212038523274478,2021-09-02
"63","Marion",18968,4293,3792,81,420,0.226328553353016,2021-09-02
"64","Marshall",24730,5497,4955,79,463,0.222280630812778,2021-09-02
"65","Mills",8545,1803,1665,24,114,0.211000585137507,2021-09-02
"66","Mitchell",6152,1389,1251,43,95,0.225780234070221,2021-09-02
"67","Monona",4220,922,856,33,33,0.218483412322275,2021-09-02
"68","Monroe",4122,1101,1003,33,65,0.267103347889374,2021-09-02
"69","Montgomery",4905,1162,1034,38,90,0.236901121304791,2021-09-02
"70","Muscatine",25059,5514,4957,108,449,0.220040703938705,2021-09-02
"71","O'Brien",7432,2100,1969,61,70,0.282561894510226,2021-09-02
"72","Osceola",2839,831,790,17,24,0.292708700246566,2021-09-02
"73","Page",7350,2179,1959,23,197,0.296462585034014,2021-09-02
"74","Palo Alto",5088,1256,1140,24,92,0.24685534591195,2021-09-02
"75","Pending Investigation",3296,20,4,0,16,0.00606796116504854,2021-09-02
"76","Plymouth",14672,4259,4008,82,169,0.29028080697928,2021-09-02
"77","Pocahontas",3894,938,859,23,56,0.240883410374936,2021-09-02
"78","Polk",322770,65436,59806,664,4966,0.202732595966168,2021-09-02
"79","Pottawattamie",54379,12711,11550,182,979,0.233748321962522,2021-09-02
"80","Poweshiek",10226,1743,1586,36,121,0.170447877958146,2021-09-02
"81","Ringgold",2707,616,559,26,31,0.227558182489841,2021-09-02
"82","Sac",6082,1418,1333,22,63,0.233146991121342,2021-09-02
"83","Scott",102124,22408,20708,257,1443,0.219419529199796,2021-09-02
"84","Shelby",6281,1473,1323,39,111,0.234516796688425,2021-09-02
"85","Sioux",18184,5372,5159,74,139,0.295424549054114,2021-09-02
"86","Story",62985,11655,11067,48,540,0.185044058109074,2021-09-02
"87","Tama",9605,2313,2090,73,150,0.240812077043207,2021-09-02
"88","Taylor",2886,716,666,12,38,0.248094248094248,2021-09-02
"89","Union",7382,1374,1274,37,63,0.186128420482254,2021-09-02
"90","Van Buren",3284,676,576,18,82,0.20584652862363,2021-09-02
"91","Wapello",21510,4844,4353,127,364,0.225197582519758,2021-09-02
"92","Warren",32474,6625,5973,92,560,0.204009361335222,2021-09-02
"93","Washington",14114,2967,2627,54,286,0.210216806008219,2021-09-02
"94","Wayne",2989,633,552,23,58,0.211776513884242,2021-09-02
"95","Webster",24237,6157,5566,102,489,0.254033089903866,2021-09-02
"96","Winnebago",7257,1607,1460,31,116,0.221441366956042,2021-09-02
"97","Winneshiek",11856,2112,1988,37,87,0.178137651821862,2021-09-02
"98","Woodbury",67965,16461,15472,233,756,0.242198190244979,2021-09-02
"99","Worth",4509,899,782,8,109,0.199379019738301,2021-09-02
"100","Wright",8899,2130,1924,41,165,0.239352736262501,2021-09-02
"101","Totals",1935943,416794,380841,6337,29616,0.215292495698479,2021-09-07
