"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2497,109,83,3,23,NA,NA,NA,NA
"2","2020-08-01",2523,110,83,3,24,1,26,0,0.0384615384615385
