"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",4037,137,88,2,47,NA,NA,NA,NA
"2","2020-08-01",4096,144,88,2,54,7,59,0,0.11864406779661
