"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-05-30,"Adair",12646,992,830,32,22,10,3791,872,10,2021-05-30
"Adams",2021-05-30,"Adams",6025,355,336,4,4,0,1672,343,3,2021-05-30
"Allamakee",2021-05-30,"Allamakee",22459,1578,1451,51,41,10,6503,1522,20,2021-05-30
"Appanoose",2021-05-30,"Appanoose",18813,1462,1229,49,44,5,6367,1286,8,2021-05-30
"Audubon",2021-05-30,"Audubon",13036,537,488,10,9,1,2843,516,18,2021-05-30
"Benton",2021-05-30,"Benton",39278,2738,2493,55,44,11,13510,2575,27,2021-05-30
"Black Hawk",2021-05-30,"Black Hawk",224005,17394,15435,309,286,23,73774,15915,171,2021-05-30
"Boone",2021-05-30,"Boone",46075,2862,2590,34,31,3,14633,2677,53,2021-05-30
"Bremer",2021-05-30,"Bremer",41541,3002,2758,60,51,9,12892,2866,48,2021-05-30
"Buchanan",2021-05-30,"Buchanan",32992,2031,1869,33,27,6,9973,1922,20,2021-05-30
"Buena Vista",2021-05-30,"Buena Vista",46459,4908,4200,40,36,4,15323,4255,15,2021-05-30
"Butler",2021-05-30,"Butler",30658,1750,1597,35,31,4,7408,1657,25,2021-05-30
"Calhoun",2021-05-30,"Calhoun",19367,1438,1340,13,12,1,5564,1388,35,2021-05-30
"Carroll",2021-05-30,"Carroll",38375,3078,2789,52,43,9,11859,2866,25,2021-05-30
"Cass",2021-05-30,"Cass",21499,1473,1325,54,48,6,6660,1389,10,2021-05-30
"Cedar",2021-05-30,"Cedar",32881,2002,1858,23,21,2,9661,1912,31,2021-05-30
"Cerro Gordo",2021-05-30,"Cerro Gordo",81081,5931,5248,90,75,15,26466,5497,159,2021-05-30
"Cherokee",2021-05-30,"Cherokee",21598,1692,1544,38,30,8,6246,1591,9,2021-05-30
