"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",3900,894,851,32,11,0.229230769230769,2021-07-20
"2","Adams",1719,348,333,4,11,0.202443280977312,2021-07-20
"3","Allamakee",6769,1554,1490,52,12,0.229576008273009,2021-07-20
"4","Appanoose",6555,1278,1227,49,2,0.194965675057208,2021-07-20
"5","Audubon",2922,529,514,12,3,0.18104038329911,2021-07-20
"6","Benton",13995,2626,2550,55,21,0.187638442300822,2021-07-20
"7","Black Hawk",76604,16662,15920,316,426,0.217508224113623,2021-07-20
"8","Boone",14988,2707,2654,34,19,0.18061115559114,2021-07-20
"9","Bremer",13271,2924,2835,62,27,0.220330042950795,2021-07-20
"10","Buchanan",10291,1964,1912,34,18,0.190846370615101,2021-07-20
"11","Buena Vista",15738,4307,4247,40,20,0.273668827042826,2021-07-20
"12","Butler",7607,1677,1625,35,17,0.220454844222427,2021-07-20
"13","Calhoun",5730,1431,1376,13,42,0.249738219895288,2021-07-20
"14","Carroll",12086,2862,2804,52,6,0.236802912460698,2021-07-20
"15","Cass",6794,1407,1338,55,14,0.207094495142773,2021-07-20
"16","Cedar",9929,1929,1901,23,5,0.194279383623728,2021-07-20
"17","Cerro Gordo",27451,5621,5473,97,51,0.20476485373939,2021-07-20
"18","Cherokee",6424,1613,1563,38,12,0.251089663760897,2021-07-20
"19","Chickasaw",5946,1255,1238,17,0,0.211066263033972,2021-07-20
"20","Clarke",5321,1024,991,24,9,0.192445029129863,2021-07-20
"21","Clay",9060,2173,2144,27,2,0.239845474613687,2021-07-20
"22","Clayton",7866,1725,1666,57,2,0.219298245614035,2021-07-20
"23","Clinton",25388,5642,5535,93,14,0.222230975263904,2021-07-20
"24","Crawford",9387,2707,2647,41,19,0.2883775434111,2021-07-20
"25","Dallas",59066,11430,11255,99,76,0.193512342125758,2021-07-20
"26","Davis",3850,861,834,25,2,0.223636363636364,2021-07-20
"27","Decatur",3869,658,629,9,20,0.170069785474283,2021-07-20
"28","Delaware",8747,2116,2065,43,8,0.241911512518578,2021-07-20
"29","Des Moines",23149,4764,4625,74,65,0.205797226662059,2021-07-20
"30","Dickinson",11177,2507,2459,45,3,0.224299901583609,2021-07-20
"31","Dubuque",61602,13589,13321,213,55,0.220593487224441,2021-07-20
"32","Emmet",5585,1367,1321,41,5,0.244762757385855,2021-07-20
