"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1163","42","20","1","0.0361134995700774",2020-08-21
"Adams","Adams","452","20","16","0","0.0442477876106195",2020-08-21
"Allamakee","Allamakee","2232","164","141","4","0.0734767025089606",2020-08-21
"Appanoose","Appanoose","1749","62","51","3","0.0354488279016581",2020-08-21
"Audubon","Audubon","786","30","22","1","0.0381679389312977",2020-08-21
"Benton","Benton","3793","181","124","1","0.0477194832586343",2020-08-21
"Black Hawk","Black Hawk","27052","3442","2781","67","0.127236433535413",2020-08-21
"Boone","Boone","4515","302","212","3","0.0668881506090808",2020-08-21
"Bremer","Bremer","3948","257","154","7","0.065096251266464",2020-08-21
"Buchanan","Buchanan","3262","159","88","1","0.0487431023911711",2020-08-21
"Buena Vista","Buena Vista","8179","1809","1762","12","0.221176182907446",2020-08-21
"Butler","Butler","2473","149","128","2","0.0602507076425394",2020-08-21
"Calhoun","Calhoun","1820","98","72","2","0.0538461538461538",2020-08-21
"Carroll","Carroll","3810","269","177","2","0.0706036745406824",2020-08-21
"Cass","Cass","1906","102","79","2","0.0535152151101784",2020-08-21
"Cedar","Cedar","2707","142","109","1","0.0524565940155153",2020-08-21
"Cerro Gordo","Cerro Gordo","8941","691","511","20","0.0772844200872386",2020-08-21
"Cherokee","Cherokee","1871","123","103","1","0.06574024585783",2020-08-21
"Chickasaw","Chickasaw","1810","79","62","0","0.043646408839779",2020-08-21
"Clarke","Clarke","1727","216","157","3","0.12507237984945",2020-08-21
"Clay","Clay","2867","227","166","1","0.0791768399023369",2020-08-21
"Clayton","Clayton","2504","140","99","3","0.0559105431309904",2020-08-21
"Clinton","Clinton","6869","608","233","5","0.0885136118794584",2020-08-21
"Crawford","Crawford","3935","769","695","3","0.195425667090216",2020-08-21
"Dallas","Dallas","19612","2058","1633","35","0.104935753620233",2020-08-21
"Davis","Davis","929","72","48","2","0.077502691065662",2020-08-21
"Decatur","Decatur","1073","32","24","0","0.0298229263746505",2020-08-21
"Delaware","Delaware","2720","151","117","2","0.0555147058823529",2020-08-21
"Des Moines","Des Moines","5507","370","126","2","0.0671872162702016",2020-08-21
"Dickinson","Dickinson","4177","396","346","5","0.0948048838879579",2020-08-21
"Dubuque","Dubuque","22728","1871","1324","34","0.0823213657162971",2020-08-21
"Emmet","Emmet","1681","209","153","6","0.124330755502677",2020-08-21
"Fayette","Fayette","2961","115","71","0","0.038838230327592",2020-08-21
"Floyd","Floyd","2994","181","146","3","0.0604542418169673",2020-08-21
"Franklin","Franklin","2023","269","220","16","0.132970835392981",2020-08-21
"Fremont","Fremont","798","50","25","0","0.06265664160401",2020-08-21
"Greene","Greene","1377","43","38","0","0.0312273057371097",2020-08-21
"Grundy","Grundy","2033","104","64","1","0.0511559272011805",2020-08-21
"Guthrie","Guthrie","1983","155","118","5","0.0781643973777105",2020-08-21
"Hamilton","Hamilton","2955","242","227","2","0.0818950930626058",2020-08-21
"Hancock","Hancock","1995","130","117","2","0.0651629072681704",2020-08-21
"Hardin","Hardin","2820","206","143","1","0.0730496453900709",2020-08-21
"Harrison","Harrison","1798","129","101","1","0.0717463848720801",2020-08-21
"Henry","Henry","3044","192","102","4","0.0630749014454665",2020-08-21
"Howard","Howard","1405","78","45","0","0.0555160142348754",2020-08-21
"Humboldt","Humboldt","1691","96","77","2","0.0567711413364873",2020-08-21
"Ida","Ida","1041","35","28","0","0.0336215177713737",2020-08-21
"Iowa","Iowa","2901","103","73","1","0.0355049982764564",2020-08-21
"Jackson","Jackson","2921","175","123","1","0.0599109893871962",2020-08-21
"Jasper","Jasper","5461","510","413","29","0.0933894891045596",2020-08-21
