"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-19,"Adair",2838,538,397,16,12,4,125,0.189570119802678
"Adams",2020-12-19,"Adams",1217,224,154,2,2,0,68,0.184059161873459
"Allamakee",2020-12-19,"Allamakee",4743,1067,700,18,15,3,349,0.224963103520978
"Appanoose",2020-12-19,"Appanoose",4620,898,706,34,34,0,158,0.194372294372294
"Audubon",2020-12-19,"Audubon",1951,342,278,7,7,0,57,0.175294720656074
"Benton",2020-12-19,"Benton",9984,1917,1534,34,30,4,349,0.192007211538462
"Black Hawk",2020-12-19,"Black Hawk",55456,12114,10206,200,188,12,1708,0.218443450663589
"Boone",2020-12-19,"Boone",10389,1707,1269,14,12,2,424,0.164308403118683
"Bremer",2020-12-19,"Bremer",9224,2169,1757,40,37,3,372,0.235147441457069
"Buchanan",2020-12-19,"Buchanan",7407,1360,1074,15,14,1,271,0.183610098555421
"Buena Vista",2020-12-19,"Buena Vista",12496,3502,2880,21,18,3,601,0.280249679897567
"Butler",2020-12-19,"Butler",5414,1178,904,15,14,1,259,0.217584041374215
"Calhoun",2020-12-19,"Calhoun",4468,1153,968,9,9,0,176,0.258057296329454
"Carroll",2020-12-19,"Carroll",9276,2237,1850,27,21,6,360,0.241159982751186
"Cass",2020-12-19,"Cass",4941,972,717,38,36,2,217,0.19672131147541
"Cedar",2020-12-19,"Cedar",7054,1297,966,17,16,1,314,0.183867309328041
"Cerro Gordo",2020-12-19,"Cerro Gordo",19109,4127,3157,55,48,7,915,0.215971531738971
"Cherokee",2020-12-19,"Cherokee",4645,1130,741,18,16,2,371,0.243272335844995
"Chickasaw",2020-12-19,"Chickasaw",4201,988,800,10,9,1,178,0.235182099500119
"Clarke",2020-12-19,"Clarke",3558,578,451,6,6,0,121,0.162450815064643
"Clay",2020-12-19,"Clay",6658,1467,1041,10,7,3,416,0.220336437368579
"Clayton",2020-12-19,"Clayton",5441,1289,1002,31,27,4,256,0.236904980702077
"Clinton",2020-12-19,"Clinton",17152,3896,2993,52,47,5,851,0.22714552238806
"Crawford",2020-12-19,"Crawford",7202,1996,1673,16,13,3,307,0.277145237434046
"Dallas",2020-12-19,"Dallas",41603,7414,5861,60,50,10,1493,0.178208302285893
"Davis",2020-12-19,"Davis",2460,597,436,15,14,1,146,0.242682926829268
"Decatur",2020-12-19,"Decatur",2614,392,301,3,3,0,88,0.149961744452946
"Delaware",2020-12-19,"Delaware",6377,1572,1334,27,26,1,211,0.246510898541634
"Des Moines",2020-12-19,"Des Moines",16769,3344,2630,29,26,3,685,0.199415588287912
"Dickinson",2020-12-19,"Dickinson",8351,1626,1244,13,11,2,369,0.194707220692133
"Dubuque",2020-12-19,"Dubuque",46600,10193,8592,129,122,7,1472,0.218733905579399
"Emmet",2020-12-19,"Emmet",3935,909,706,23,22,1,180,0.231003811944091
"Fayette",2020-12-19,"Fayette",7075,1226,934,14,13,1,278,0.173286219081272
"Floyd",2020-12-19,"Floyd",6143,1227,900,28,20,8,299,0.199739540940908
"Franklin",2020-12-19,"Franklin",4001,840,656,17,16,1,167,0.20994751312172
"Fremont",2020-12-19,"Fremont",2125,438,351,5,3,2,82,0.206117647058824
"Greene",2020-12-19,"Greene",3389,611,482,6,6,0,123,0.180289170846857
