"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",23162,1868,1342,14,512,NA,NA,NA,NA
"2","2020-08-01",23394,1887,1363,15,509,19,232,1,0.0818965517241379
