"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-07-07,"Adair",12914,996,842,32,22,10,3868,876,2,2021-07-07
"Adams",2021-07-07,"Adams",6299,360,342,4,4,0,1711,349,3,2021-07-07
"Allamakee",2021-07-07,"Allamakee",23103,1596,1473,52,42,10,6672,1533,8,2021-07-07
"Appanoose",2021-07-07,"Appanoose",19527,1470,1243,49,44,5,6509,1291,-1,2021-07-07
"Audubon",2021-07-07,"Audubon",14085,556,520,11,10,1,2914,537,6,2021-07-07
"Benton",2021-07-07,"Benton",40793,2788,2527,55,44,11,13872,2618,36,2021-07-07
"Black Hawk",2021-07-07,"Black Hawk",232844,17910,15700,316,292,24,75737,16363,347,2021-07-07
"Boone",2021-07-07,"Boone",47082,2877,2653,34,31,3,14865,2686,-1,2021-07-07
"Bremer",2021-07-07,"Bremer",43386,3035,2814,62,52,10,13172,2896,20,2021-07-07
"Buchanan",2021-07-07,"Buchanan",34177,2061,1892,34,27,7,10201,1943,17,2021-07-07
"Buena Vista",2021-07-07,"Buena Vista",47554,4980,4224,40,36,4,15601,4274,10,2021-07-07
"Butler",2021-07-07,"Butler",31543,1767,1622,35,31,4,7564,1672,15,2021-07-07
"Calhoun",2021-07-07,"Calhoun",19959,1454,1376,13,12,1,5661,1398,9,2021-07-07
"Carroll",2021-07-07,"Carroll",39483,3088,2819,52,43,9,12043,2873,2,2021-07-07
"Cass",2021-07-07,"Cass",21940,1479,1341,55,49,6,6761,1393,-3,2021-07-07
"Cedar",2021-07-07,"Cedar",34257,2017,1893,23,21,2,9867,1924,8,2021-07-07
"Cerro Gordo",2021-07-07,"Cerro Gordo",85029,6017,5416,97,80,17,27190,5562,49,2021-07-07
"Cherokee",2021-07-07,"Cherokee",22484,1704,1554,38,30,8,6371,1599,7,2021-07-07
"Chickasaw",2021-07-07,"Chickasaw",19015,1324,1234,17,14,3,5884,1252,1,2021-07-07
"Clarke",2021-07-07,"Clarke",14536,1078,986,24,22,2,5272,1016,6,2021-07-07
"Clay",2021-07-07,"Clay",33123,2281,2139,27,22,5,9014,2168,2,2021-07-07
"Clayton",2021-07-07,"Clayton",27584,1799,1661,57,48,9,7773,1713,-5,2021-07-07
"Clinton",2021-07-07,"Clinton",70282,6099,5523,93,79,14,25182,5618,2,2021-07-07
"Crawford",2021-07-07,"Crawford",30156,2939,2647,41,35,6,9318,2690,2,2021-07-07
"Dallas",2021-07-07,"Dallas",138000,12649,11174,99,85,14,58449,11305,32,2021-07-07
"Davis",2021-07-07,"Davis",12145,926,825,25,23,2,3797,853,3,2021-07-07
"Decatur",2021-07-07,"Decatur",11161,641,610,9,9,0,3803,623,4,2021-07-07
"Delaware",2021-07-07,"Delaware",31484,2161,2065,43,38,5,8676,2112,4,2021-07-07
"Des Moines",2021-07-07,"Des Moines",62494,5075,4607,73,61,12,22983,4704,24,2021-07-07
"Dickinson",2021-07-07,"Dickinson",29371,2692,2452,45,39,6,11119,2498,1,2021-07-07
"Dubuque",2021-07-07,"Dubuque",206719,14861,13269,213,195,18,61181,13542,60,2021-07-07
"Emmet",2021-07-07,"Emmet",18259,1441,1314,41,39,2,5540,1361,6,2021-07-07
"Fayette",2021-07-07,"Fayette",39015,1967,1822,43,38,5,10005,1879,14,2021-07-07
"Floyd",2021-07-07,"Floyd",28059,1819,1587,42,32,10,8406,1639,10,2021-07-07
"Franklin",2021-07-07,"Franklin",21898,1353,1208,23,21,2,5920,1243,12,2021-07-07
"Fremont",2021-07-07,"Fremont",8080,665,621,10,8,2,2856,628,-3,2021-07-07
"Greene",2021-07-07,"Greene",15901,831,769,11,10,1,4417,781,1,2021-07-07
"Grundy",2021-07-07,"Grundy",20498,1456,1340,33,27,6,6160,1377,4,2021-07-07
"Guthrie",2021-07-07,"Guthrie",20178,1322,1203,32,26,6,6200,1237,2,2021-07-07
"Hamilton",2021-07-07,"Hamilton",24845,2018,1768,51,46,5,8137,1823,4,2021-07-07
"Hancock",2021-07-07,"Hancock",23626,1605,1464,34,27,7,6578,1507,9,2021-07-07
"Hardin",2021-07-07,"Hardin",38117,2019,1832,44,34,10,9186,1885,9,2021-07-07
"Harrison",2021-07-07,"Harrison",22532,1939,1727,73,69,4,6824,1802,2,2021-07-07
"Henry",2021-07-07,"Henry",39390,3112,2906,37,36,1,11812,2957,14,2021-07-07
"Howard",2021-07-07,"Howard",18044,1102,1024,22,18,4,4935,1051,5,2021-07-07
"Humboldt",2021-07-07,"Humboldt",16537,1259,1170,26,23,3,5032,1208,12,2021-07-07
"Ida",2021-07-07,"Ida",13354,1030,876,35,32,3,3574,917,6,2021-07-07
"Iowa",2021-07-07,"Iowa",31891,1563,1477,24,22,2,8760,1502,1,2021-07-07
"Jackson",2021-07-07,"Jackson",28217,2389,2213,42,39,3,9903,2253,-2,2021-07-07
"Jasper",2021-07-07,"Jasper",55993,4574,4140,73,67,6,19767,4223,10,2021-07-07
"Jefferson",2021-07-07,"Jefferson",23223,1466,1309,35,29,6,8524,1341,-3,2021-07-07
"Johnson",2021-07-07,"Johnson",229831,15549,14514,85,77,8,87779,14648,49,2021-07-07
"Jones",2021-07-07,"Jones",28845,3145,2955,57,51,6,10812,3013,1,2021-07-07
"Keokuk",2021-07-07,"Keokuk",16856,1041,933,32,31,1,4607,971,6,2021-07-07
"Kossuth",2021-07-07,"Kossuth",28261,2288,2104,66,57,9,8502,2164,-6,2021-07-07
"Lee",2021-07-07,"Lee",59826,4115,3767,58,45,13,17248,3857,32,2021-07-07
"Linn",2021-07-07,"Linn",318242,22730,20809,342,306,36,127466,21303,152,2021-07-07
"Louisa",2021-07-07,"Louisa",19008,1369,1251,49,42,7,5823,1301,1,2021-07-07
"Lucas",2021-07-07,"Lucas",10266,809,759,23,18,5,4177,780,-2,2021-07-07
"Lyon",2021-07-07,"Lyon",17765,1610,1551,41,37,4,5085,1600,8,2021-07-07
"Madison",2021-07-07,"Madison",22807,1790,1630,19,15,4,8495,1648,-1,2021-07-07
"Mahaska",2021-07-07,"Mahaska",33892,2448,2264,51,46,5,11294,2333,18,2021-07-07
"Marion",2021-07-07,"Marion",45775,3869,3596,77,65,12,17381,3664,-9,2021-07-07
"Marshall",2021-07-07,"Marshall",88833,5267,4792,76,68,8,23077,4889,21,2021-07-07
"Mills",2021-07-07,"Mills",22564,1814,1609,24,21,3,8046,1644,11,2021-07-07
"Mitchell",2021-07-07,"Mitchell",19471,1378,1232,43,40,3,5800,1267,-8,2021-07-07
"Monona",2021-07-07,"Monona",19301,902,809,31,29,2,4006,836,-4,2021-07-07
"Monroe",2021-07-07,"Monroe",10512,1011,929,32,24,8,3817,964,3,2021-07-07
"Montgomery",2021-07-07,"Montgomery",15184,1118,1000,38,36,2,4534,1037,-1,2021-07-07
"Muscatine",2021-07-07,"Muscatine",61156,5240,4772,106,97,9,23340,4893,15,2021-07-07
"O'Brien",2021-07-07,"O'Brien",27712,2153,1941,61,56,5,7028,1997,-5,2021-07-07
"Osceola",2021-07-07,"Osceola",9817,818,777,17,14,3,2705,789,-5,2021-07-07
"Page",2021-07-07,"Page",23039,2012,1925,22,20,2,6684,1945,-2,2021-07-07
"Palo Alto",2021-07-07,"Palo Alto",20181,1197,1108,24,23,1,4780,1136,4,2021-07-07
"Pending Investigation",2021-07-07,"Pending Investigation",7980,977,934,0,0,0,4259,956,22,2021-07-07
"Plymouth",2021-07-07,"Plymouth",40900,4352,3945,82,74,8,14041,4035,8,2021-07-07
"Pocahontas",2021-07-07,"Pocahontas",14542,903,838,22,22,0,3651,857,-3,2021-07-07
"Polk",2021-07-07,"Polk",755360,65809,57540,643,564,79,299359,58385,202,2021-07-07
"Pottawattamie",2021-07-07,"Pottawattamie",127818,12390,11046,177,153,24,50626,11249,26,2021-07-07
"Poweshiek",2021-07-07,"Poweshiek",48279,1654,1541,36,33,3,9509,1572,-5,2021-07-07
"Ringgold",2021-07-07,"Ringgold",10817,586,541,24,18,6,2548,567,2,2021-07-07
"Sac",2021-07-07,"Sac",22116,1398,1292,20,19,1,5708,1310,-2,2021-07-07
"Scott",2021-07-07,"Scott",235802,21787,20055,249,225,24,95182,20342,38,2021-07-07
"Shelby",2021-07-07,"Shelby",18406,1385,1281,37,33,4,5860,1322,4,2021-07-07
"Sioux",2021-07-07,"Sioux",48803,5363,5096,74,71,3,17103,5179,9,2021-07-07
"Story",2021-07-07,"Story",171775,11498,10647,48,42,6,59574,10733,38,2021-07-07
"Tama",2021-07-07,"Tama",35132,2259,2045,72,68,4,9016,2127,10,2021-07-07
"Taylor",2021-07-07,"Taylor",9635,690,656,12,10,2,2698,668,0,2021-07-07
"Union",2021-07-07,"Union",18679,1384,1268,35,27,8,7051,1302,-1,2021-07-07
