"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Marshall",2021-06-03,"Marshall",86048,5234,4742,76,68,8,22669,4859,41,2021-06-03
"Mills",2021-06-03,"Mills",22111,1796,1593,23,20,3,7931,1627,11,2021-06-03
"Mitchell",2021-06-03,"Mitchell",18816,1379,1227,42,39,3,5688,1265,-4,2021-06-03
"Monona",2021-06-03,"Monona",18801,886,801,31,29,2,3956,828,-4,2021-06-03
"Monroe",2021-06-03,"Monroe",10227,1004,922,29,22,7,3717,957,6,2021-06-03
"Montgomery",2021-06-03,"Montgomery",14941,1112,992,38,36,2,4474,1035,5,2021-06-03
"Muscatine",2021-06-03,"Muscatine",59263,5205,4674,104,95,9,22854,4862,84,2021-06-03
"O'Brien",2021-06-03,"O'Brien",27346,2151,1934,61,56,5,6950,1998,3,2021-06-03
"Osceola",2021-06-03,"Osceola",9624,817,765,16,13,3,2675,789,8,2021-06-03
"Page",2021-06-03,"Page",22569,2005,1904,22,20,2,6616,1935,9,2021-06-03
"Palo Alto",2021-06-03,"Palo Alto",19754,1193,1099,23,22,1,4709,1135,13,2021-06-03
"Pending Investigation",2021-06-03,"Pending Investigation",8290,992,944,0,0,0,4384,963,19,2021-06-03
"Plymouth",2021-06-03,"Plymouth",40119,4335,3925,80,72,8,13845,4024,19,2021-06-03
"Pocahontas",2021-06-03,"Pocahontas",14167,905,834,22,22,0,3598,858,2,2021-06-03
"Polk",2021-06-03,"Polk",734141,65409,56758,636,558,78,293096,58042,648,2021-06-03
"Pottawattamie",2021-06-03,"Pottawattamie",125602,12309,10902,171,149,22,49842,11183,110,2021-06-03
"Poweshiek",2021-06-03,"Poweshiek",47652,1643,1522,35,32,3,9344,1566,9,2021-06-03
"Ringgold",2021-06-03,"Ringgold",10475,577,539,24,18,6,2510,559,-4,2021-06-03
"Sac",2021-06-03,"Sac",21653,1390,1284,19,19,0,5624,1308,5,2021-06-03
"Scott",2021-06-03,"Scott",226773,21692,19627,244,220,24,92884,20247,376,2021-06-03
"Shelby",2021-06-03,"Shelby",18096,1370,1271,37,33,4,5778,1312,4,2021-06-03
"Sioux",2021-06-03,"Sioux",47945,5348,5060,74,71,3,16898,5161,27,2021-06-03
"Story",2021-06-03,"Story",168813,11457,10502,48,42,6,58725,10695,145,2021-06-03
"Tama",2021-06-03,"Tama",34118,2236,2018,71,67,4,8863,2109,20,2021-06-03
"Taylor",2021-06-03,"Taylor",9298,686,647,12,10,2,2656,664,5,2021-06-03
"Union",2021-06-03,"Union",18157,1376,1249,34,26,8,6892,1292,9,2021-06-03
"Van Buren",2021-06-03,"Van Buren",8953,588,542,18,15,3,2908,563,3,2021-06-03
"Wapello",2021-06-03,"Wapello",49717,4693,4170,122,118,4,19555,4328,36,2021-06-03
"Warren",2021-06-03,"Warren",81957,6317,5657,90,80,10,29721,5811,64,2021-06-03
"Washington",2021-06-03,"Washington",43878,2725,2493,51,47,4,12554,2555,11,2021-06-03
"Wayne",2021-06-03,"Wayne",7618,585,511,23,18,5,2648,543,9,2021-06-03
"Webster",2021-06-03,"Webster",71789,5432,5019,94,79,15,22121,5136,23,2021-06-03
"Winnebago",2021-06-03,"Winnebago",18729,1553,1382,31,26,5,6670,1437,24,2021-06-03
"Winneshiek",2021-06-03,"Winneshiek",41847,2053,1934,35,30,5,10853,1971,2,2021-06-03
"Woodbury",2021-06-03,"Woodbury",153475,16520,14893,229,210,19,63001,15205,83,2021-06-03
"Worth",2021-06-03,"Worth",14046,801,733,8,7,1,4075,756,15,2021-06-03
"Wright",2021-06-03,"Wright",21613,1933,1802,40,33,7,8195,1856,14,2021-06-03
"Total",2021-06-03,"Totals",5068765,402171,361565,6061,5359,702,1764187,371617,3991,2021-06-03
