"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","972","29","18","0","0.0298353909465021",2020-08-09
"Adams","Adams","426","16","10","0","0.0375586854460094",2020-08-09
"Allamakee","Allamakee","2073","155","137","4","0.0747708634828751",2020-08-09
"Appanoose","Appanoose","1494","49","36","3","0.0327978580990629",2020-08-09
"Audubon","Audubon","720","28","16","1","0.0388888888888889",2020-08-09
"Benton","Benton","3476","155","101","1","0.0445914844649022",2020-08-09
"Black Hawk","Black Hawk","24722","3120","2491","66","0.12620338160343",2020-08-09
"Boone","Boone","4079","258","172","3","0.0632507967639127",2020-08-09
"Bremer","Bremer","3580","226","111","7","0.0631284916201117",2020-08-09
"Buchanan","Buchanan","2957","127","64","1","0.0429489347311464",2020-08-09
"Buena Vista","Buena Vista","7921","1791","1732","12","0.226107814669865",2020-08-09
"Butler","Butler","2273","121","104","2","0.053233611966564",2020-08-09
"Calhoun","Calhoun","1571","83","73","2","0.0528325907065563",2020-08-09
"Carroll","Carroll","3381","188","163","1","0.0556048506359065",2020-08-09
"Cass","Cass","1625","73","41","1","0.0449230769230769",2020-08-09
"Cedar","Cedar","2484","131","98","1","0.0527375201288245",2020-08-09
"Cerro Gordo","Cerro Gordo","8108","621","352","17","0.0765910212136162",2020-08-09
"Cherokee","Cherokee","1711","108","93","1","0.0631209818819404",2020-08-09
"Chickasaw","Chickasaw","1649","54","49","0","0.0327471194663432",2020-08-09
"Clarke","Clarke","1523","200","138","3","0.131319763624425",2020-08-09
"Clay","Clay","2587","187","151","1","0.0722844994201778",2020-08-09
"Clayton","Clayton","2250","104","79","3","0.0462222222222222",2020-08-09
"Clinton","Clinton","5992","388","147","3","0.0647530040053405",2020-08-09
"Crawford","Crawford","3671","728","681","3","0.198311086897303",2020-08-09
"Dallas","Dallas","17408","1886","1431","35","0.108340992647059",2020-08-09
"Davis","Davis","818","56","42","2","0.0684596577017115",2020-08-09
"Decatur","Decatur","615","23","16","0","0.0373983739837398",2020-08-09
"Delaware","Delaware","2420","111","86","1","0.0458677685950413",2020-08-09
"Des Moines","Des Moines","4490","173","102","2","0.0385300668151448",2020-08-09
"Dickinson","Dickinson","3933","380","304","4","0.0966183574879227",2020-08-09
"Dubuque","Dubuque","20709","1671","1022","31","0.0806895552658265",2020-08-09
"Emmet","Emmet","1561","191","121","4","0.122357463164638",2020-08-09
"Fayette","Fayette","2678","82","61","0","0.0306198655713219",2020-08-09
"Floyd","Floyd","2655","154","97","2","0.0580037664783428",2020-08-09
"Franklin","Franklin","1794","239","184","10","0.133221850613155",2020-08-09
"Fremont","Fremont","711","42","17","0","0.0590717299578059",2020-08-09
"Greene","Greene","1249","41","33","0","0.032826261008807",2020-08-09
"Grundy","Grundy","1849","79","50","1","0.0427257977285019",2020-08-09
"Guthrie","Guthrie","1780","132","97","5","0.0741573033707865",2020-08-09
"Hamilton","Hamilton","2599","246","235","1","0.094651789149673",2020-08-09
"Hancock","Hancock","1832","122","102","2","0.0665938864628821",2020-08-09
"Hardin","Hardin","2613","178","102","0","0.0681209337925756",2020-08-09
"Harrison","Harrison","1615","107","82","0","0.0662538699690402",2020-08-09
