"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","917","21","17","0","0.0229007633587786",2020-08-05
"Adams","Adams","415","16","10","0","0.0385542168674699",2020-08-05
"Allamakee","Allamakee","2012","150","134","4","0.0745526838966203",2020-08-05
"Appanoose","Appanoose","1395","43","36","3","0.0308243727598566",2020-08-05
"Audubon","Audubon","702","28","15","1","0.0398860398860399",2020-08-05
"Benton","Benton","3309","145","93","1","0.0438198851616803",2020-08-05
"Black Hawk","Black Hawk","23871","3031","2376","62","0.126974152737631",2020-08-05
"Boone","Boone","3881","231","166","2","0.0595207420767843",2020-08-05
"Bremer","Bremer","3391","193","103","7","0.0569153641993512",2020-08-05
"Buchanan","Buchanan","2821","115","61","1","0.0407656859269762",2020-08-05
"Buena Vista","Buena Vista","7821","1787","1724","12","0.228487405702596",2020-08-05
"Butler","Butler","2187","115","97","2","0.052583447645176",2020-08-05
"Calhoun","Calhoun","1536","82","72","2","0.0533854166666667",2020-08-05
"Carroll","Carroll","3281","183","155","1","0.0557756781469064",2020-08-05
"Cass","Cass","1404","48","35","1","0.0341880341880342",2020-08-05
"Cedar","Cedar","2380","120","92","1","0.0504201680672269",2020-08-05
"Cerro Gordo","Cerro Gordo","7811","582","267","17","0.0745103059787479",2020-08-05
"Cherokee","Cherokee","1648","98","88","1","0.0594660194174757",2020-08-05
"Chickasaw","Chickasaw","1584","51","46","0","0.0321969696969697",2020-08-05
"Clarke","Clarke","1475","188","136","3","0.127457627118644",2020-08-05
"Clay","Clay","2495","173","141","1","0.0693386773547094",2020-08-05
"Clayton","Clayton","2148","98","76","3","0.0456238361266294",2020-08-05
"Clinton","Clinton","5593","326","127","3","0.0582871446450921",2020-08-05
"Crawford","Crawford","3591","723","674","3","0.201336675020886",2020-08-05
"Dallas","Dallas","16583","1803","1327","35","0.108725803533739",2020-08-05
"Davis","Davis","787","50","41","1","0.0635324015247776",2020-08-05
"Decatur","Decatur","598","22","14","0","0.0367892976588629",2020-08-05
