"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",5425,823,742,31,50,NA,NA,NA,NA
"2","2020-08-01",5488,827,743,31,53,4,63,0,0.0634920634920635
