"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3921,583,471,2,110,NA,NA,NA,NA
"2","2020-08-01",3992,588,475,2,111,5,71,0,0.0704225352112676
