"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-04,"Adair",3233,717,629,24,19,5,64,0.221775440767089
"Adams",2021-02-04,"Adams",1415,310,284,3,3,0,23,0.219081272084806
"Allamakee",2021-02-04,"Allamakee",5384,1343,1191,38,33,5,114,0.24944279346211
"Appanoose",2021-02-04,"Appanoose",5343,1152,1001,44,42,2,107,0.215609208309938
"Audubon",2021-02-04,"Audubon",2308,441,387,9,8,1,45,0.19107452339688
"Benton",2021-02-04,"Benton",11207,2199,1990,51,41,10,158,0.196216650307843
"Black Hawk",2021-02-04,"Black Hawk",63679,14473,13120,263,248,15,1090,0.227280579154823
"Boone",2021-02-04,"Boone",12173,2304,2036,25,23,2,243,0.189271338207508
"Bremer",2021-02-04,"Bremer",10923,2559,2328,51,45,6,180,0.234276297720406
"Buchanan",2021-02-04,"Buchanan",8428,1678,1503,25,23,2,150,0.199098243948742
"Buena Vista",2021-02-04,"Buena Vista",13677,4017,3806,35,32,3,176,0.293704759815749
"Butler",2021-02-04,"Butler",6305,1546,1371,29,26,3,146,0.245202220459952
"Calhoun",2021-02-04,"Calhoun",4838,1253,1196,9,9,0,48,0.258991318726747
"Carroll",2021-02-04,"Carroll",10360,2600,2424,45,39,6,131,0.250965250965251
"Cass",2021-02-04,"Cass",5675,1197,1043,46,44,2,108,0.210925110132159
"Cedar",2021-02-04,"Cedar",8053,1603,1422,20,19,1,161,0.199056252328325
"Cerro Gordo",2021-02-04,"Cerro Gordo",21632,4854,4421,76,64,12,357,0.224389792899408
"Cherokee",2021-02-04,"Cherokee",5379,1412,1296,33,27,6,83,0.262502323852017
"Chickasaw",2021-02-04,"Chickasaw",4804,1154,1084,12,11,1,58,0.240216486261449
"Clarke",2021-02-04,"Clarke",4303,873,721,13,13,0,139,0.202881710434581
"Clay",2021-02-04,"Clay",7474,1770,1587,24,19,5,159,0.236820979395237
"Clayton",2021-02-04,"Clayton",6244,1564,1437,51,43,8,76,0.250480461242793
"Clinton",2021-02-04,"Clinton",19733,4757,4268,74,67,7,415,0.241068261288197
"Crawford",2021-02-04,"Crawford",7997,2404,2185,32,28,4,187,0.300612729773665
"Dallas",2021-02-04,"Dallas",47790,9474,8320,79,68,11,1075,0.198242310106717
"Davis",2021-02-04,"Davis",2902,726,654,23,22,1,49,0.250172294968987
"Decatur",2021-02-04,"Decatur",3176,524,463,5,5,0,56,0.164987405541562
"Delaware",2021-02-04,"Delaware",7110,1809,1638,37,33,4,134,0.254430379746835
"Des Moines",2021-02-04,"Des Moines",18978,4063,3633,53,46,7,377,0.214089998946148
"Dickinson",2021-02-04,"Dickinson",9325,1922,1754,36,31,5,132,0.206112600536193
"Dubuque",2021-02-04,"Dubuque",51771,11922,10824,177,168,9,921,0.230283363272875
"Emmet",2021-02-04,"Emmet",4541,1119,1019,37,36,1,63,0.246421493063202
"Fayette",2021-02-04,"Fayette",8257,1709,1476,26,23,3,207,0.206975899237011
"Floyd",2021-02-04,"Floyd",6877,1442,1304,38,30,8,100,0.209684455431147
"Franklin",2021-02-04,"Franklin",4619,1069,952,19,18,1,98,0.231435375622429
"Fremont",2021-02-04,"Fremont",2408,537,479,8,6,2,50,0.223006644518272
"Greene",2021-02-04,"Greene",3711,710,658,8,8,0,44,0.191323093505794
"Grundy",2021-02-04,"Grundy",5213,1253,1147,30,25,5,76,0.240360636869365
"Guthrie",2021-02-04,"Guthrie",5031,1061,969,27,22,5,65,0.21089246670642
"Hamilton",2021-02-04,"Hamilton",6699,1661,1506,36,35,1,119,0.247947454844007
"Hancock",2021-02-04,"Hancock",5313,1350,1226,25,20,5,99,0.254093732354602
"Hardin",2021-02-04,"Hardin",7445,1615,1478,33,30,3,104,0.216924110141034
"Harrison",2021-02-04,"Harrison",5895,1625,1431,67,63,4,127,0.275657336726039
"Henry",2021-02-04,"Henry",9874,2724,2517,33,33,0,174,0.275876038079806
"Howard",2021-02-04,"Howard",3963,923,763,20,16,4,140,0.232904365379763
"Humboldt",2021-02-04,"Humboldt",4300,1097,989,20,17,3,88,0.255116279069767
"Ida",2021-02-04,"Ida",2920,792,685,31,30,1,76,0.271232876712329
"Iowa",2021-02-04,"Iowa",7267,1327,1170,23,21,2,134,0.18260630246319
