"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-27,"Adair",12858,996,842,32,22,10,3856,876,2,2021-06-27
"Adams",2021-06-27,"Adams",6242,359,342,4,4,0,1699,346,0,2021-06-27
"Allamakee",2021-06-27,"Allamakee",22937,1588,1470,52,42,10,6633,1529,7,2021-06-27
"Appanoose",2021-06-27,"Appanoose",19373,1472,1238,49,44,5,6483,1291,4,2021-06-27
"Audubon",2021-06-27,"Audubon",14010,554,506,11,10,1,2906,535,18,2021-06-27
"Benton",2021-06-27,"Benton",40347,2780,2520,55,44,11,13795,2610,35,2021-06-27
"Black Hawk",2021-06-27,"Black Hawk",230344,17765,15633,314,290,24,75290,16249,302,2021-06-27
"Boone",2021-06-27,"Boone",46943,2875,2652,34,31,3,14831,2685,-1,2021-06-27
"Bremer",2021-06-27,"Bremer",42767,3033,2806,62,52,10,13123,2889,21,2021-06-27
"Buchanan",2021-06-27,"Buchanan",33926,2056,1890,34,27,7,10154,1943,19,2021-06-27
"Buena Vista",2021-06-27,"Buena Vista",47368,4973,4221,40,36,4,15558,4270,9,2021-06-27
"Butler",2021-06-27,"Butler",31327,1755,1621,35,31,4,7536,1665,9,2021-06-27
"Calhoun",2021-06-27,"Calhoun",19836,1445,1375,13,12,1,5641,1390,2,2021-06-27
"Carroll",2021-06-27,"Carroll",39255,3082,2821,52,43,9,12005,2870,-3,2021-06-27
"Cass",2021-06-27,"Cass",21855,1477,1340,55,49,6,6741,1391,-4,2021-06-27
"Cedar",2021-06-27,"Cedar",33948,2017,1886,23,21,2,9830,1924,15,2021-06-27
"Cerro Gordo",2021-06-27,"Cerro Gordo",84402,6002,5399,97,80,17,27071,5545,49,2021-06-27
"Cherokee",2021-06-27,"Cherokee",22350,1701,1553,38,30,8,6340,1595,4,2021-06-27
"Chickasaw",2021-06-27,"Chickasaw",18883,1324,1233,17,14,3,5855,1250,0,2021-06-27
"Clarke",2021-06-27,"Clarke",14439,1074,982,24,22,2,5251,1012,6,2021-06-27
"Clay",2021-06-27,"Clay",32888,2282,2134,27,22,5,8978,2167,6,2021-06-27
"Clayton",2021-06-27,"Clayton",27389,1800,1658,57,48,9,7730,1712,-3,2021-06-27
"Clinton",2021-06-27,"Clinton",69750,6098,5513,93,79,14,25046,5615,9,2021-06-27
"Crawford",2021-06-27,"Crawford",30026,2929,2646,41,35,6,9294,2681,-6,2021-06-27
"Dallas",2021-06-27,"Dallas",137112,12644,11150,99,85,14,58167,11297,48,2021-06-27
"Davis",2021-06-27,"Davis",12079,929,823,25,23,2,3783,853,5,2021-06-27
"Decatur",2021-06-27,"Decatur",11025,634,608,9,9,0,3782,617,0,2021-06-27
"Delaware",2021-06-27,"Delaware",31349,2159,2064,43,38,5,8647,2111,4,2021-06-27
"Des Moines",2021-06-27,"Des Moines",62086,5058,4595,73,61,12,22881,4687,19,2021-06-27
"Dickinson",2021-06-27,"Dickinson",29215,2686,2450,44,38,6,11087,2493,-1,2021-06-27
"Dubuque",2021-06-27,"Dubuque",205949,14844,13247,211,195,16,60932,13523,65,2021-06-27
"Emmet",2021-06-27,"Emmet",18188,1437,1308,41,39,2,5528,1358,9,2021-06-27
"Fayette",2021-06-27,"Fayette",38629,1957,1817,43,38,5,9941,1872,12,2021-06-27
"Floyd",2021-06-27,"Floyd",27786,1819,1583,42,32,10,8356,1637,12,2021-06-27
"Franklin",2021-06-27,"Franklin",21764,1346,1197,23,21,2,5884,1235,15,2021-06-27
"Fremont",2021-06-27,"Fremont",8056,663,621,9,7,2,2851,627,-3,2021-06-27
"Greene",2021-06-27,"Greene",15833,830,770,11,10,1,4395,781,0,2021-06-27
"Grundy",2021-06-27,"Grundy",20383,1455,1337,33,27,6,6137,1375,5,2021-06-27
"Guthrie",2021-06-27,"Guthrie",20096,1317,1200,32,26,6,6170,1233,1,2021-06-27
"Hamilton",2021-06-27,"Hamilton",24719,2012,1765,51,46,5,8096,1820,4,2021-06-27
"Hancock",2021-06-27,"Hancock",23509,1602,1463,34,27,7,6550,1504,7,2021-06-27
"Hardin",2021-06-27,"Hardin",37872,2012,1828,44,34,10,9135,1876,4,2021-06-27
"Harrison",2021-06-27,"Harrison",22491,1940,1724,73,69,4,6809,1801,4,2021-06-27
"Henry",2021-06-27,"Henry",39113,3104,2902,37,36,1,11772,2952,13,2021-06-27
"Howard",2021-06-27,"Howard",17930,1102,1023,22,18,4,4906,1051,6,2021-06-27
"Humboldt",2021-06-27,"Humboldt",16287,1247,1170,26,23,3,4999,1197,1,2021-06-27
"Ida",2021-06-27,"Ida",13269,1030,875,35,32,3,3556,916,6,2021-06-27
"Iowa",2021-06-27,"Iowa",31686,1565,1478,24,22,2,8722,1500,-2,2021-06-27
"Jackson",2021-06-27,"Jackson",28078,2384,2208,42,39,3,9864,2252,2,2021-06-27
"Jasper",2021-06-27,"Jasper",55672,4565,4137,73,67,6,19689,4213,3,2021-06-27
"Jefferson",2021-06-27,"Jefferson",22745,1461,1306,35,29,6,8464,1336,-5,2021-06-27
"Johnson",2021-06-27,"Johnson",227978,15515,14487,85,77,8,87214,14634,62,2021-06-27
"Jones",2021-06-27,"Jones",28680,3145,2953,57,51,6,10774,3011,1,2021-06-27
"Keokuk",2021-06-27,"Keokuk",16716,1038,933,32,31,1,4574,969,4,2021-06-27
"Kossuth",2021-06-27,"Kossuth",28101,2287,2102,66,57,9,8467,2162,-6,2021-06-27
"Lee",2021-06-27,"Lee",58801,4089,3752,57,44,13,17170,3836,27,2021-06-27
"Linn",2021-06-27,"Linn",315957,22684,20734,340,304,36,126862,21262,188,2021-06-27
"Louisa",2021-06-27,"Louisa",18770,1368,1247,49,42,7,5800,1299,3,2021-06-27
"Lucas",2021-06-27,"Lucas",10194,807,759,23,18,5,4156,779,-3,2021-06-27
"Lyon",2021-06-27,"Lyon",17593,1604,1549,41,37,4,5052,1595,5,2021-06-27
