"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-01,"Adair",10792,920,681,28,22,6,3388,808,99,2021-03-01
"Adams",2021-03-01,"Adams",4634,325,307,4,4,0,1497,318,7,2021-03-01
"Allamakee",2021-03-01,"Allamakee",18074,1453,1287,46,38,8,5689,1407,74,2021-03-01
"Appanoose",2021-03-01,"Appanoose",15399,1388,1115,47,43,4,5680,1226,64,2021-03-01
"Audubon",2021-03-01,"Audubon",10139,486,423,9,8,1,2449,470,38,2021-03-01
"Benton",2021-03-01,"Benton",31250,2523,2133,54,44,10,11857,2375,188,2021-03-01
"Black Hawk",2021-03-01,"Black Hawk",183962,16235,14107,290,272,18,66279,14874,477,2021-03-01
"Boone",2021-03-01,"Boone",38064,2590,2267,30,28,2,12922,2414,117,2021-03-01
"Bremer",2021-03-01,"Bremer",32072,2793,2492,54,47,7,11457,2666,120,2021-03-01
"Buchanan",2021-03-01,"Buchanan",25642,1848,1632,29,25,4,8809,1755,94,2021-03-01
"Buena Vista",2021-03-01,"Buena Vista",39511,4728,3978,36,33,3,14115,4107,93,2021-03-01
"Butler",2021-03-01,"Butler",25008,1664,1504,31,28,3,6633,1578,43,2021-03-01
"Calhoun",2021-03-01,"Calhoun",15891,1335,1240,11,11,0,5004,1285,34,2021-03-01
"Carroll",2021-03-01,"Carroll",31390,2858,2558,48,40,8,10722,2659,53,2021-03-01
"Cass",2021-03-01,"Cass",18022,1333,1134,51,46,5,5938,1265,80,2021-03-01
"Cedar",2021-03-01,"Cedar",25780,1776,1570,23,21,2,8535,1695,102,2021-03-01
"Cerro Gordo",2021-03-01,"Cerro Gordo",66419,5329,4752,81,68,13,23248,4976,143,2021-03-01
"Cherokee",2021-03-01,"Cherokee",17443,1534,1377,35,29,6,5626,1442,30,2021-03-01
"Chickasaw",2021-03-01,"Chickasaw",15150,1249,1145,13,12,1,5111,1185,27,2021-03-01
"Clarke",2021-03-01,"Clarke",11652,1001,835,20,20,0,4580,944,89,2021-03-01
"Clay",2021-03-01,"Clay",25313,1930,1739,25,20,5,7793,1830,66,2021-03-01
"Clayton",2021-03-01,"Clayton",21100,1678,1518,53,45,8,6561,1597,26,2021-03-01
"Clinton",2021-03-01,"Clinton",52837,5423,4639,84,74,10,20914,4986,263,2021-03-01
"Crawford",2021-03-01,"Crawford",23416,2733,2355,35,31,4,8337,2511,121,2021-03-01
"Dallas",2021-03-01,"Dallas",109187,11330,9306,90,79,11,50482,10111,715,2021-03-01
"Davis",2021-03-01,"Davis",9230,826,698,23,22,1,3195,756,35,2021-03-01
"Decatur",2021-03-01,"Decatur",8736,575,517,9,9,0,3354,560,34,2021-03-01
"Delaware",2021-03-01,"Delaware",23098,1888,1752,39,34,5,7417,1850,59,2021-03-01
"Des Moines",2021-03-01,"Des Moines",47386,4576,3996,61,53,8,19950,4257,200,2021-03-01
"Dickinson",2021-03-01,"Dickinson",22099,2172,1877,39,33,6,9660,2015,99,2021-03-01
"Dubuque",2021-03-01,"Dubuque",160030,13530,11664,194,180,14,53809,12367,509,2021-03-01
"Emmet",2021-03-01,"Emmet",14258,1212,1074,40,38,2,4705,1142,28,2021-03-01
"Fayette",2021-03-01,"Fayette",29903,1843,1664,35,32,3,8655,1769,70,2021-03-01
"Floyd",2021-03-01,"Floyd",21997,1624,1396,40,31,9,7259,1470,34,2021-03-01
"Franklin",2021-03-01,"Franklin",17368,1184,1037,19,18,1,4916,1089,33,2021-03-01
"Fremont",2021-03-01,"Fremont",6405,585,533,9,7,2,2490,554,12,2021-03-01
"Greene",2021-03-01,"Greene",12926,769,702,10,10,0,3865,725,13,2021-03-01
"Grundy",2021-03-01,"Grundy",16528,1392,1212,30,25,5,5450,1315,73,2021-03-01
"Guthrie",2021-03-01,"Guthrie",15327,1163,1033,28,23,5,5256,1085,24,2021-03-01
"Hamilton",2021-03-01,"Hamilton",20658,1917,1612,42,41,1,7112,1735,81,2021-03-01
"Hancock",2021-03-01,"Hancock",18382,1470,1318,29,24,5,5643,1372,25,2021-03-01
"Hardin",2021-03-01,"Hardin",29315,1810,1573,39,33,6,7856,1688,76,2021-03-01
"Harrison",2021-03-01,"Harrison",17852,1789,1547,69,65,4,6084,1669,53,2021-03-01
"Henry",2021-03-01,"Henry",31367,2931,2688,37,36,1,10335,2792,67,2021-03-01
"Howard",2021-03-01,"Howard",14297,1028,884,21,17,4,4269,988,83,2021-03-01
"Humboldt",2021-03-01,"Humboldt",13395,1173,1061,25,22,3,4463,1125,39,2021-03-01
"Ida",2021-03-01,"Ida",10218,909,748,32,30,2,3066,806,26,2021-03-01
"Iowa",2021-03-01,"Iowa",25275,1442,1295,23,21,2,7610,1384,66,2021-03-01
"Jackson",2021-03-01,"Jackson",22069,2213,1964,38,35,3,8491,2092,90,2021-03-01
"Jasper",2021-03-01,"Jasper",43204,4163,3388,66,62,4,16957,3843,389,2021-03-01
"Jefferson",2021-03-01,"Jefferson",17455,1383,1223,32,27,5,7267,1278,23,2021-03-01
"Johnson",2021-03-01,"Johnson",179676,13821,12404,73,68,5,74415,13065,588,2021-03-01
"Jones",2021-03-01,"Jones",22123,2942,2732,54,50,4,9330,2847,61,2021-03-01
"Keokuk",2021-03-01,"Keokuk",13273,981,851,29,29,0,3913,913,33,2021-03-01
"Kossuth",2021-03-01,"Kossuth",21816,2079,1831,54,47,7,7396,1974,89,2021-03-01
"Lee",2021-03-01,"Lee",46477,3751,3341,52,39,13,14932,3534,141,2021-03-01
"Linn",2021-03-01,"Linn",247894,20632,18257,312,282,30,109330,19394,825,2021-03-01
"Louisa",2021-03-01,"Louisa",14925,1282,1148,41,34,7,5108,1222,33,2021-03-01
"Lucas",2021-03-01,"Lucas",7996,737,658,21,17,4,3565,705,26,2021-03-01
"Lyon",2021-03-01,"Lyon",12912,1457,1369,41,37,4,4327,1452,42,2021-03-01
"Madison",2021-03-01,"Madison",17169,1544,1298,18,14,4,7184,1411,95,2021-03-01
"Mahaska",2021-03-01,"Mahaska",26134,2239,1991,46,41,5,9788,2140,103,2021-03-01
"Marion",2021-03-01,"Marion",34922,3586,3148,69,60,9,14785,3389,172,2021-03-01
"Marshall",2021-03-01,"Marshall",70001,4956,4333,72,64,8,19953,4607,202,2021-03-01
"Mills",2021-03-01,"Mills",19015,1631,1391,20,17,3,7266,1477,66,2021-03-01
"Mitchell",2021-03-01,"Mitchell",15192,1307,1151,40,38,2,5182,1198,7,2021-03-01
"Monona",2021-03-01,"Monona",15570,815,712,27,26,1,3530,761,22,2021-03-01
"Monroe",2021-03-01,"Monroe",8358,930,814,28,21,7,3233,890,48,2021-03-01
"Montgomery",2021-03-01,"Montgomery",12304,1040,891,36,34,2,4180,964,37,2021-03-01
"Muscatine",2021-03-01,"Muscatine",46009,4509,3926,91,82,9,19988,4207,190,2021-03-01
"O'Brien",2021-03-01,"O'Brien",21778,1936,1677,58,54,4,6256,1796,61,2021-03-01
"Osceola",2021-03-01,"Osceola",6880,702,644,14,12,2,2283,678,20,2021-03-01
"Page",2021-03-01,"Page",17572,1826,1696,19,18,1,5974,1767,52,2021-03-01
"Palo Alto",2021-03-01,"Palo Alto",15619,1048,920,21,19,2,4219,1003,62,2021-03-01
"Pending Investigation",2021-03-01,"Pending Investigation",13046,986,828,0,0,0,6575,964,136,2021-03-01
"Plymouth",2021-03-01,"Plymouth",33060,3943,3495,77,69,8,12516,3662,90,2021-03-01
"Pocahontas",2021-03-01,"Pocahontas",11343,851,776,19,19,0,3273,807,12,2021-03-01
"Polk",2021-03-01,"Polk",576586,58056,47693,549,489,60,256178,51468,3226,2021-03-01
"Pottawattamie",2021-03-01,"Pottawattamie",102787,10761,9238,143,128,15,44578,9793,412,2021-03-01
"Poweshiek",2021-03-01,"Poweshiek",34519,1537,1378,30,28,2,8266,1468,60,2021-03-01
"Ringgold",2021-03-01,"Ringgold",8547,521,460,20,17,3,2247,500,20,2021-03-01
"Sac",2021-03-01,"Sac",16865,1243,1131,18,18,0,4990,1173,24,2021-03-01
"Scott",2021-03-01,"Scott",177749,18285,16100,207,192,15,80063,17026,719,2021-03-01
"Shelby",2021-03-01,"Shelby",14053,1206,1075,33,30,3,5016,1150,42,2021-03-01
"Sioux",2021-03-01,"Sioux",36996,4935,4565,69,66,3,14956,4768,134,2021-03-01
"Story",2021-03-01,"Story",138525,10193,8992,45,39,6,53016,9522,485,2021-03-01
"Tama",2021-03-01,"Tama",28101,2133,1878,65,63,2,7982,2011,68,2021-03-01
"Taylor",2021-03-01,"Taylor",7277,663,610,12,10,2,2395,638,16,2021-03-01
"Union",2021-03-01,"Union",14883,1261,1117,31,26,5,6210,1185,37,2021-03-01
"Van Buren",2021-03-01,"Van Buren",7262,559,503,18,15,3,2572,535,14,2021-03-01
"Wapello",2021-03-01,"Wapello",39565,4329,3565,108,104,4,17011,3993,320,2021-03-01
"Warren",2021-03-01,"Warren",63481,5537,4714,74,69,5,26017,5079,291,2021-03-01
"Washington",2021-03-01,"Washington",35198,2538,2246,47,43,4,11119,2383,90,2021-03-01
"Wayne",2021-03-01,"Wayne",5083,486,405,21,17,4,2083,449,23,2021-03-01
"Webster",2021-03-01,"Webster",60071,5179,4701,87,73,14,20384,4919,131,2021-03-01
"Winnebago",2021-03-01,"Winnebago",14997,1379,1219,30,25,5,5820,1291,42,2021-03-01
"Winneshiek",2021-03-01,"Winneshiek",31018,1884,1635,27,23,4,9531,1818,156,2021-03-01
"Woodbury",2021-03-01,"Woodbury",123250,14934,13097,211,195,16,55620,13715,407,2021-03-01
"Worth",2021-03-01,"Worth",10809,696,624,7,6,1,3504,659,28,2021-03-01
"Wright",2021-03-01,"Wright",18615,1795,1667,31,26,5,7555,1731,33,2021-03-01
"Total",2021-03-01,"Totals",4054226,363670,315445,5471,4909,562,1558374,336311,15395,2021-03-01
