"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair","2724","485","298","11","176","0.178046989720999",2020-12-08
"2","Adams","1161","196","122","2","72","0.168819982773471",2020-12-08
"3","Allamakee","4491","940","538","13","389","0.209307503896682",2020-12-08
"4","Appanoose","4436","849","511","14","324","0.191388638412985",2020-12-08
"5","Audubon","1875","315","235","3","77","0.168",2020-12-08
"6","Benton","9666","1806","1163","25","618","0.186840471756673",2020-12-08
"7","Black Hawk","53686","11502","8388","156","2958","0.214245799649816",2020-12-08
"8","Boone","9859","1532","1004","12","516","0.155391013287352",2020-12-08
"9","Bremer","8883","2068","1319","14","735","0.232804232804233",2020-12-08
"10","Buchanan","7150","1271","790","10","471","0.177762237762238",2020-12-08
"11","Buena Vista","12070","3236","2595","14","627","0.268102734051367",2020-12-08
"12","Butler","5228","1105","682","12","411","0.211361897475134",2020-12-08
"13","Calhoun","4338","1113","730","7","376","0.256569847856155",2020-12-08
"14","Carroll","8956","2089","1552","26","511","0.233251451540866",2020-12-08
"15","Cass","4696","876","593","26","257","0.186541737649063",2020-12-08
"16","Cedar","6773","1190","741","15","434","0.175697622914514",2020-12-08
"17","Cerro Gordo","18349","3859","2295","52","1512","0.210311188620633",2020-12-08
"18","Cherokee","4436","1015","582","4","429","0.228809738503156",2020-12-08
"19","Chickasaw","4067","936","746","6","184","0.230145070076223",2020-12-08
"20","Clarke","3382","528","403","4","121","0.15612063867534",2020-12-08
"21","Clay","6278","1318","800","7","511","0.209939471169162",2020-12-08
"22","Clayton","5231","1210","766","11","433","0.231313324412158",2020-12-08
"23","Clinton","16357","3583","2270","48","1265","0.219049948034481",2020-12-08
"24","Crawford","7018","1865","1540","16","309","0.265745226560274",2020-12-08
"25","Dallas","39819","6834","4774","60","2000","0.171626610412115",2020-12-08
"26","Davis","2322","509","316","11","182","0.219207579672696",2020-12-08
"27","Decatur","2485","358","249","1","108","0.144064386317907",2020-12-08
"28","Delaware","6167","1504","1112","22","370","0.243878709258959",2020-12-08
"29","Des Moines","16041","3115","2152","23","940","0.194189888410947",2020-12-08
"30","Dickinson","8032","1504","1020","12","472","0.187250996015936",2020-12-08
"31","Dubuque","45242","9699","7280","101","2318","0.21438044295124",2020-12-08
"32","Emmet","3658","804","543","26","235","0.219792236194642",2020-12-08
"33","Fayette","6782","1140","688","12","440","0.168092008257151",2020-12-08
"34","Floyd","5923","1160","652","24","484","0.195846699307783",2020-12-08
"35","Franklin","3840","779","505","21","253","0.202864583333333",2020-12-08
"36","Fremont","2026","404","280","3","121","0.199407699901283",2020-12-08
"37","Greene","3226","555","352","2","201","0.172039677619343",2020-12-08
"38","Grundy","4311","906","556","14","336","0.210160055671538",2020-12-08
"39","Guthrie","4281","811","543","15","253","0.18944171922448",2020-12-08
"40","Hamilton","5698","1235","655","15","565","0.216742716742717",2020-12-08
"41","Hancock","4429","960","587","8","365","0.216753217430571",2020-12-08
"42","Hardin","6316","1263","767","12","484","0.199968334388854",2020-12-08
"43","Harrison","4863","1171","838","33","300","0.240797861402426",2020-12-08
"44","Henry","8194","2018","1437","8","573","0.24627776421772",2020-12-08
"45","Howard","3221","598","347","9","242","0.185656628376281",2020-12-08
"46","Humboldt","3665","837","515","6","316","0.22837653478854",2020-12-08
"47","Ida","2408","581","345","16","220","0.241279069767442",2020-12-08
"48","Iowa","6183","1031","665","14","352","0.166747533559761",2020-12-08
"49","Jackson","6709","1555","1141","17","397","0.231778208376807",2020-12-08
"50","Jasper","13055","2395","1644","47","704","0.183454615090004",2020-12-08
"51","Jefferson","5516","797","428","6","363","0.144488759970993",2020-12-08
"52","Johnson","60423","10071","7462","41","2568","0.166674941661288",2020-12-08
"53","Jones","7785","2416","1612","19","785","0.31034039820167",2020-12-08
"54","Keokuk","3053","685","373","10","302","0.224369472649853",2020-12-08
"55","Kossuth","5794","1246","670","9","567","0.215050051777701",2020-12-08
"56","Lee","11751","2374","1473","21","880","0.202025359543869",2020-12-08
"57","Linn","88950","15109","9903","173","5033","0.169859471613266",2020-12-08
"58","Louisa","4202","924","662","22","240","0.219895287958115",2020-12-08
"59","Lucas","2648","370","263","6","101","0.139728096676737",2020-12-08
"60","Lyon","3456","1097","724","10","363","0.317418981481481",2020-12-08
"61","Madison","5387","779","499","5","275","0.144607388156673",2020-12-08
"62","Mahaska","7619","1383","964","29","390","0.181519884499278",2020-12-08
"63","Marion","11252","2202","1486","25","691","0.195698542481337",2020-12-08
"64","Marshall","15858","3672","2767","51","854","0.23155505107832",2020-12-08
"65","Mills","6132","1134","733","10","391","0.184931506849315",2020-12-08
"66","Mitchell","4247","866","497","11","358","0.203908641393925",2020-12-08
"67","Monona","2858","476","319","9","148","0.166550034989503",2020-12-08
"68","Monroe","2279","475","327","13","135","0.208424747696358",2020-12-08
"69","Montgomery","3130","556","301","11","244","0.177635782747604",2020-12-08
"70","Muscatine","16084","3192","2014","74","1104","0.198458095001243",2020-12-08
"71","O'Brien","5103","1404","1000","32","372","0.275132275132275",2020-12-08
"72","Osceola","1891","565","395","2","168","0.298783712321523",2020-12-08
"73","Page","4722","1235","915","5","315","0.261541719610335",2020-12-08
"74","Palo Alto","3502","703","440","5","258","0.200742432895488",2020-12-08
"75","Pending Investigation","8772","734","156","0","578","0.0836753305973552",2020-12-08
"76","Plymouth","10465","3002","2195","45","762","0.286860965121835",2020-12-08
"77","Pocahontas","2794","616","383","4","229","0.220472440944882",2020-12-08
"78","Polk","203360","36061","25189","357","10515","0.177325924468922",2020-12-08
"79","Pottawattamie","36360","7059","4450","82","2527","0.194141914191419",2020-12-08
"80","Poweshiek","6389","1063","751","14","298","0.166379715135389",2020-12-08
"81","Ringgold","1787","286","128","2","156","0.160044767767208",2020-12-08
"82","Sac","4174","937","590","9","338","0.224484906564447",2020-12-08
"83","Scott","64478","12281","7472","100","4709","0.190468066627377",2020-12-08
"84","Shelby","3923","826","563","15","248","0.210553148100943",2020-12-08
"85","Sioux","12286","3926","3055","29","842","0.319550708123067",2020-12-08
"86","Story","42815","7176","5096","26","2054","0.167604811397875",2020-12-08
"87","Tama","6491","1591","1216","42","333","0.245108611924203",2020-12-08
"88","Taylor","1981","483","340","3","140","0.243816254416961",2020-12-08
"89","Union","5176","899","436","8","455","0.173686244204019",2020-12-08
"90","Van Buren","2039","408","267","5","136","0.200098087297695",2020-12-08
"91","Wapello","12445","2754","1931","72","751","0.221293692245882",2020-12-08
"92","Warren","20476","3103","1898","17","1188","0.151543270169955",2020-12-08
"93","Washington","8731","1551","942","16","593","0.177642881685947",2020-12-08
"94","Wayne","1680","320","241","7","72","0.19047619047619",2020-12-08
"95","Webster","17415","3877","2633","42","1202","0.222624174562159",2020-12-08
"96","Winnebago","4684","989","661","25","303","0.211144321093083",2020-12-08
"97","Winneshiek","7188","1118","671","14","433","0.155537006121313",2020-12-08
"98","Woodbury","46377","11070","8749","142","2179","0.238695905297885",2020-12-08
"99","Worth","2707","405","233","1","171","0.149612116734392",2020-12-08
"100","Wright","6373","1358","956","8","394","0.213086458496783",2020-12-08
"101","Totals","1255014","246237","168055","2724","75458","0.196202592162319",2020-12-08
