"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2690,103,55,1,47,NA,NA,NA,NA
"2","2020-08-01",2725,105,58,1,46,2,35,0,0.0571428571428571
