"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-11,"Adair",3032,656,503,20,16,4,133,0.216358839050132
"Adams",2021-01-11,"Adams",1323,288,213,3,3,0,72,0.217687074829932
"Allamakee",2021-01-11,"Allamakee",5055,1241,1009,26,22,4,206,0.245499505440158
"Appanoose",2021-01-11,"Appanoose",4999,1055,875,37,37,0,143,0.211042208441688
"Audubon",2021-01-11,"Audubon",2128,400,326,8,8,0,66,0.18796992481203
"Benton",2021-01-11,"Benton",10571,2050,1863,41,37,4,146,0.193926780815438
"Black Hawk",2021-01-11,"Black Hawk",58840,13297,11803,225,212,13,1269,0.225985723997281
"Boone",2021-01-11,"Boone",11319,2092,1659,15,13,2,418,0.184821980740348
"Bremer",2021-01-11,"Bremer",9783,2361,2137,47,44,3,177,0.241337013186139
"Buchanan",2021-01-11,"Buchanan",7857,1539,1320,19,18,1,200,0.195876288659794
"Buena Vista",2021-01-11,"Buena Vista",13132,3852,3381,28,25,3,443,0.29332927200731
"Butler",2021-01-11,"Butler",5820,1406,1152,23,20,3,231,0.241580756013746
"Calhoun",2021-01-11,"Calhoun",4649,1206,1133,9,9,0,64,0.259410625941063
"Carroll",2021-01-11,"Carroll",9833,2485,2164,32,26,6,289,0.252720431201058
"Cass",2021-01-11,"Cass",5299,1102,899,40,38,2,163,0.207963766748443
"Cedar",2021-01-11,"Cedar",7528,1457,1243,19,18,1,195,0.193544102019129
"Cerro Gordo",2021-01-11,"Cerro Gordo",20381,4517,4000,64,53,11,453,0.221627986850498
"Cherokee",2021-01-11,"Cherokee",5092,1332,1080,25,23,2,227,0.261586802827965
"Chickasaw",2021-01-11,"Chickasaw",4477,1089,962,11,10,1,116,0.243243243243243
"Clarke",2021-01-11,"Clarke",3921,739,552,7,7,0,180,0.188472328487631
"Clay",2021-01-11,"Clay",7061,1623,1416,17,13,4,190,0.229854128310438
"Clayton",2021-01-11,"Clayton",5865,1478,1255,47,40,7,176,0.252003410059676
"Clinton",2021-01-11,"Clinton",18388,4360,3761,61,55,6,538,0.237111159451816
"Crawford",2021-01-11,"Crawford",7602,2240,1933,22,19,3,285,0.294659300184162
"Dallas",2021-01-11,"Dallas",44834,8494,7165,67,57,10,1262,0.189454431904358
"Davis",2021-01-11,"Davis",2694,678,570,20,19,1,88,0.251670378619154
"Decatur",2021-01-11,"Decatur",2840,462,378,4,4,0,80,0.162676056338028
"Delaware",2021-01-11,"Delaware",6726,1689,1532,35,31,4,122,0.251115075825156
"Des Moines",2021-01-11,"Des Moines",17801,3718,3250,38,35,3,430,0.208864670524128
"Dickinson",2021-01-11,"Dickinson",8904,1810,1590,21,19,2,199,0.203279424977538
"Dubuque",2021-01-11,"Dubuque",49036,11090,9930,142,134,8,1018,0.226160371971613
"Emmet",2021-01-11,"Emmet",4286,1079,880,29,28,1,170,0.251749883341111
"Fayette",2021-01-11,"Fayette",7606,1523,1185,22,20,2,316,0.200236655272154
"Floyd",2021-01-11,"Floyd",6495,1344,1179,36,28,8,129,0.206928406466513
"Franklin",2021-01-11,"Franklin",4324,981,802,17,16,1,162,0.226873265494912
"Fremont",2021-01-11,"Fremont",2262,484,430,5,3,2,49,0.213969938107869
"Greene",2021-01-11,"Greene",3563,668,591,7,7,0,70,0.187482458602301
"Grundy",2021-01-11,"Grundy",4806,1167,950,21,16,5,196,0.242821473158552
"Guthrie",2021-01-11,"Guthrie",4779,1003,842,23,18,5,138,0.209876543209877
"Hamilton",2021-01-11,"Hamilton",6335,1539,1310,26,26,0,203,0.242936069455406
"Hancock",2021-01-11,"Hancock",4979,1254,1008,24,19,5,222,0.251857802771641
"Hardin",2021-01-11,"Hardin",7014,1517,1335,29,26,3,153,0.216281722269746
"Harrison",2021-01-11,"Harrison",5542,1509,1230,60,57,3,219,0.272284373872248
"Henry",2021-01-11,"Henry",9393,2580,2306,29,29,0,245,0.274672628553178
"Howard",2021-01-11,"Howard",3674,796,614,18,14,4,164,0.216657593903103
"Humboldt",2021-01-11,"Humboldt",4036,1019,859,18,15,3,142,0.252477700693756
"Ida",2021-01-11,"Ida",2723,726,634,30,29,1,62,0.266617701065002
"Iowa",2021-01-11,"Iowa",6811,1193,1052,22,21,1,119,0.17515783291734
"Jackson",2021-01-11,"Jackson",7524,1857,1666,31,30,1,160,0.246810207336523
"Jasper",2021-01-11,"Jasper",14946,3063,2542,55,53,2,466,0.204937775993577
"Jefferson",2021-01-11,"Jefferson",6337,1155,847,23,21,2,285,0.182262900426069
