"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1530","70","48","1","21","0.0457516339869281",2020-09-25
"Adams","Adams","622","33","26","0","7","0.0530546623794212",2020-09-25
"Allamakee","Allamakee","2842","256","173","6","77","0.0900774102744546",2020-09-25
"Appanoose","Appanoose","2531","133","111","3","19","0.0525483998419597",2020-09-25
"Audubon","Audubon","1079","81","36","1","44","0.0750695088044486",2020-09-25
"Benton","Benton","5139","306","193","1","112","0.0595446584938704",2020-09-25
"Black Hawk","Black Hawk","34243","4442","3676","88","678","0.129719942762024",2020-09-25
"Boone","Boone","6108","503","332","8","163","0.0823510150622135",2020-09-25
"Bremer","Bremer","5124","484","289","7","188","0.0944574551131928",2020-09-25
"Buchanan","Buchanan","4329","267","173","1","93","0.0616770616770617",2020-09-25
"Buena Vista","Buena Vista","9170","1974","1811","12","151","0.215267175572519",2020-09-25
"Butler","Butler","3241","268","242","2","24","0.0826905276149337",2020-09-25
"Calhoun","Calhoun","2510","181","130","3","48","0.0721115537848606",2020-09-25
"Carroll","Carroll","5547","654","347","5","302","0.11790156841536",2020-09-25
"Cass","Cass","2587","160","119","2","39","0.0618477000386548",2020-09-25
"Cedar","Cedar","3759","239","147","1","91","0.0635807395583932",2020-09-25
"Cerro Gordo","Cerro Gordo","11169","1031","759","21","251","0.0923090697466201",2020-09-25
"Cherokee","Cherokee","2612","236","138","2","96","0.0903522205206738",2020-09-25
"Chickasaw","Chickasaw","2541","247","197","0","50","0.0972058244785518",2020-09-25
"Clarke","Clarke","2237","264","227","3","34","0.118015198927135",2020-09-25
"Clay","Clay","3649","317","232","4","81","0.0868731159221705",2020-09-25
"Clayton","Clayton","3181","245","215","3","27","0.0770198050927381",2020-09-25
"Clinton","Clinton","9528","1100","803","20","277","0.115449202350966",2020-09-25
"Crawford","Crawford","5040","1066","814","5","247","0.211507936507937",2020-09-25
"Dallas","Dallas","25161","2754","2204","38","512","0.109455109097413",2020-09-25
"Davis","Davis","1247","124","79","4","41","0.0994386527666399",2020-09-25
"Decatur","Decatur","1476","67","40","0","27","0.0453929539295393",2020-09-25
"Delaware","Delaware","3781","386","296","3","87","0.102089394340122",2020-09-25
"Des Moines","Des Moines","8612","766","545","7","214","0.0889456572224803",2020-09-25
"Dickinson","Dickinson","5095","508","412","6","90","0.0997055937193327",2020-09-25
"Dubuque","Dubuque","29028","3125","1978","41","1106","0.107654678241698",2020-09-25
"Emmet","Emmet","2129","260","212","10","38","0.122123062470644",2020-09-25
"Fayette","Fayette","3990","212","135","2","75","0.0531328320802005",2020-09-25
"Floyd","Floyd","3813","338","261","3","74","0.0886441122475741",2020-09-25
"Franklin","Franklin","2498","346","295","18","33","0.138510808646918",2020-09-25
"Fremont","Fremont","1143","110","59","0","51","0.0962379702537183",2020-09-25
