"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-30,"Adair",12308,980,807,32,22,10,3692,860,21,2021-04-30
"Adams",2021-04-30,"Adams",5640,348,321,4,4,0,1626,335,10,2021-04-30
"Allamakee",2021-04-30,"Allamakee",21150,1551,1439,51,41,10,6304,1497,7,2021-04-30
"Appanoose",2021-04-30,"Appanoose",17818,1449,1209,47,43,4,6145,1275,19,2021-04-30
"Audubon",2021-04-30,"Audubon",12267,518,476,9,8,1,2720,499,14,2021-04-30
"Benton",2021-04-30,"Benton",37261,2691,2429,55,44,11,13104,2531,47,2021-04-30
"Black Hawk",2021-04-30,"Black Hawk",213681,17141,15043,307,284,23,71777,15688,338,2021-04-30
"Boone",2021-04-30,"Boone",44437,2791,2500,33,31,2,14194,2608,75,2021-04-30
"Bremer",2021-04-30,"Bremer",39418,2947,2707,60,51,9,12545,2812,45,2021-04-30
"Buchanan",2021-04-30,"Buchanan",31159,2002,1816,31,26,5,9697,1899,52,2021-04-30
"Buena Vista",2021-04-30,"Buena Vista",45220,4889,4151,40,36,4,15018,4238,47,2021-04-30
"Butler",2021-04-30,"Butler",29586,1722,1576,34,30,4,7202,1629,19,2021-04-30
"Calhoun",2021-04-30,"Calhoun",18412,1397,1315,13,12,1,5391,1347,19,2021-04-30
"Carroll",2021-04-30,"Carroll",36556,3045,2712,52,43,9,11596,2833,69,2021-04-30
"Cass",2021-04-30,"Cass",20814,1452,1282,54,48,6,6494,1369,33,2021-04-30
"Cedar",2021-04-30,"Cedar",31293,1962,1780,23,21,2,9395,1874,71,2021-04-30
"Cerro Gordo",2021-04-30,"Cerro Gordo",76459,5732,5036,87,73,14,25538,5320,197,2021-04-30
"Cherokee",2021-04-30,"Cherokee",20926,1683,1509,38,30,8,6133,1582,35,2021-04-30
"Chickasaw",2021-04-30,"Chickasaw",17470,1294,1206,15,13,2,5545,1229,8,2021-04-30
"Clarke",2021-04-30,"Clarke",13422,1047,956,24,22,2,4967,987,7,2021-04-30
"Clay",2021-04-30,"Clay",30707,2248,2014,25,20,5,8624,2142,103,2021-04-30
"Clayton",2021-04-30,"Clayton",25048,1767,1580,56,47,9,7306,1682,46,2021-04-30
"Clinton",2021-04-30,"Clinton",63427,5936,5145,92,79,13,23474,5468,231,2021-04-30
"Crawford",2021-04-30,"Crawford",27761,2872,2562,40,35,5,8974,2634,32,2021-04-30
"Dallas",2021-04-30,"Dallas",128096,12364,10627,97,84,13,55471,11039,315,2021-04-30
"Davis",2021-04-30,"Davis",11098,877,766,24,23,1,3557,805,15,2021-04-30
"Decatur",2021-04-30,"Decatur",10400,610,580,9,9,0,3616,596,7,2021-04-30
"Delaware",2021-04-30,"Delaware",28568,2110,1921,39,35,4,8279,2070,110,2021-04-30
"Des Moines",2021-04-30,"Des Moines",56083,4833,4311,65,54,11,21589,4481,105,2021-04-30
"Dickinson",2021-04-30,"Dickinson",26886,2656,2274,43,37,6,10721,2462,145,2021-04-30
"Dubuque",2021-04-30,"Dubuque",190697,14548,12588,206,190,16,58372,13271,477,2021-04-30
"Emmet",2021-04-30,"Emmet",17098,1399,1203,40,38,2,5284,1320,77,2021-04-30
"Fayette",2021-04-30,"Fayette",36311,1919,1786,41,36,5,9515,1842,15,2021-04-30
"Floyd",2021-04-30,"Floyd",25689,1762,1489,42,32,10,7914,1588,57,2021-04-30
"Franklin",2021-04-30,"Franklin",19495,1251,1093,21,19,2,5430,1151,37,2021-04-30
