"","date","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","positivity","date"
"Madison",2021-02-22,16654,1517,1240,17,13,4,7063,1382,125,0.091089227813138,2021-02-22
"Mahaska",2021-02-22,25267,2220,1946,44,39,5,9665,2122,132,0.0878616377092651,2021-02-22
"Marion",2021-02-22,34094,3549,3077,66,58,8,14559,3350,207,0.104094562093037,2021-02-22
"Marshall",2021-02-22,68398,4921,4268,70,63,7,19706,4575,237,0.0719465481446826,2021-02-22
"Mills",2021-02-22,18717,1613,1368,20,17,3,7205,1462,74,0.0861783405460277,2021-02-22
"Mitchell",2021-02-22,14887,1298,1143,40,38,2,5128,1189,6,0.0871901659165715,2021-02-22
"Monona",2021-02-22,15217,812,698,25,24,1,3488,758,35,0.0533613721495696,2021-02-22
"Monroe",2021-02-22,8125,917,802,27,21,6,3145,875,46,0.112861538461538,2021-02-22
"Montgomery",2021-02-22,11959,1035,872,36,34,2,4134,960,52,0.0865456978008195,2021-02-22
"Muscatine",2021-02-22,44982,4442,3876,88,79,9,19719,4142,178,0.0987506113556534,2021-02-22
"O'Brien",2021-02-22,21218,1914,1663,58,54,4,6185,1774,53,0.0902064285041003,2021-02-22
"Osceola",2021-02-22,6655,691,636,14,12,2,2250,667,17,0.103831705484598,2021-02-22
"Page",2021-02-22,17018,1808,1660,19,18,1,5884,1726,47,0.106240451286873,2021-02-22
"Palo Alto",2021-02-22,15319,1040,911,21,19,2,4168,993,61,0.0678895489261701,2021-02-22
"Pending Investigation",2021-02-22,13240,920,796,0,0,0,6583,895,99,0.0694864048338369,2021-02-22
"Plymouth",2021-02-22,32511,3911,3465,77,69,8,12401,3632,90,0.120297745378487,2021-02-22
"Pocahontas",2021-02-22,11172,848,768,19,19,0,3240,804,17,0.0759040458288579,2021-02-22
"Polk",2021-02-22,561697,57184,46582,537,478,59,252085,50635,3516,0.101805777848199,2021-02-22
"Pottawattamie",2021-02-22,100600,10648,9081,140,125,15,44010,9679,458,0.105844930417495,2021-02-22
