"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-15,"Adair",2790,513,350,16,12,4,147,0.183870967741935
"Adams",2020-12-15,"Adams",1189,212,142,2,2,0,68,0.178301093355761
"Allamakee",2020-12-15,"Allamakee",4631,1017,620,18,15,3,379,0.219606996329087
"Appanoose",2020-12-15,"Appanoose",4556,877,626,33,33,0,218,0.192493415276558
"Audubon",2020-12-15,"Audubon",1911,329,255,6,6,0,68,0.172161172161172
"Benton",2020-12-15,"Benton",9846,1868,1386,31,28,3,451,0.189721714401788
"Black Hawk",2020-12-15,"Black Hawk",54654,11855,9352,189,177,12,2314,0.216910015735353
"Boone",2020-12-15,"Boone",10153,1646,1136,14,12,2,496,0.162119570570275
"Bremer",2020-12-15,"Bremer",9093,2137,1573,35,32,3,529,0.235015946332344
"Buchanan",2020-12-15,"Buchanan",7299,1328,944,15,14,1,369,0.18194273188108
"Buena Vista",2020-12-15,"Buena Vista",12307,3374,2739,19,16,3,616,0.274152921101812
"Butler",2020-12-15,"Butler",5349,1154,805,15,14,1,334,0.215741260048607
"Calhoun",2020-12-15,"Calhoun",4425,1134,885,8,8,0,241,0.256271186440678
"Carroll",2020-12-15,"Carroll",9157,2182,1719,25,19,6,438,0.238287648793273
"Cass",2020-12-15,"Cass",4842,928,647,36,34,2,245,0.191656340355225
"Cedar",2020-12-15,"Cedar",6932,1250,859,15,14,1,376,0.180323139065205
"Cerro Gordo",2020-12-15,"Cerro Gordo",18814,4019,2783,49,42,7,1187,0.213617518868927
"Cherokee",2020-12-15,"Cherokee",4557,1084,653,15,13,2,416,0.237875795479482
"Chickasaw",2020-12-15,"Chickasaw",4149,965,770,9,8,1,186,0.232586165341046
"Clarke",2020-12-15,"Clarke",3469,551,435,6,6,0,110,0.158835399250504
"Clay",2020-12-15,"Clay",6498,1413,914,10,7,3,489,0.217451523545706
"Clayton",2020-12-15,"Clayton",5368,1263,883,25,21,4,355,0.235283159463487
"Clinton",2020-12-15,"Clinton",16851,3770,2689,49,45,4,1032,0.223725594920183
"Crawford",2020-12-15,"Crawford",7124,1933,1608,16,13,3,309,0.271336327905671
"Dallas",2020-12-15,"Dallas",40899,7179,5378,60,50,10,1741,0.175529964057801
"Davis",2020-12-15,"Davis",2411,580,377,12,11,1,191,0.240564081294069
"Decatur",2020-12-15,"Decatur",2558,373,273,2,2,0,98,0.145817044566067
"Delaware",2020-12-15,"Delaware",6283,1551,1227,27,26,1,297,0.246856597166958
"Des Moines",2020-12-15,"Des Moines",16557,3271,2375,26,23,3,870,0.197559944434378
"Dickinson",2020-12-15,"Dickinson",8246,1573,1112,12,10,2,449,0.190759155954402
"Dubuque",2020-12-15,"Dubuque",46081,10014,7961,125,118,7,1928,0.217312992339576
"Emmet",2020-12-15,"Emmet",3876,883,626,23,22,1,234,0.22781217750258
"Fayette",2020-12-15,"Fayette",6941,1190,824,14,13,1,352,0.171445036738222
"Floyd",2020-12-15,"Floyd",6055,1197,790,25,18,7,382,0.197687861271676
"Franklin",2020-12-15,"Franklin",3940,816,580,17,16,1,219,0.207106598984772
"Fremont",2020-12-15,"Fremont",2090,426,323,5,3,2,98,0.203827751196172
"Greene",2020-12-15,"Greene",3318,585,418,6,6,0,161,0.17631103074141
"Grundy",2020-12-15,"Grundy",4397,949,683,14,12,2,252,0.21582897430066
"Guthrie",2020-12-15,"Guthrie",4374,849,618,22,17,5,209,0.194101508916324
"Hamilton",2020-12-15,"Hamilton",5852,1314,805,21,21,0,488,0.224538619275461
"Hancock",2020-12-15,"Hancock",4567,1027,684,21,18,3,322,0.224874096781257
"Hardin",2020-12-15,"Hardin",6482,1325,914,21,19,2,390,0.204412218451095
"Harrison",2020-12-15,"Harrison",5040,1254,908,49,46,3,297,0.248809523809524
"Henry",2020-12-15,"Henry",8751,2302,1641,19,19,0,642,0.263055650782768
"Howard",2020-12-15,"Howard",3326,631,400,15,11,4,216,0.189717378232111
"Humboldt",2020-12-15,"Humboldt",3737,862,583,16,13,3,263,0.230666309874231
"Ida",2020-12-15,"Ida",2499,638,396,17,16,1,225,0.255302120848339
"Iowa",2020-12-15,"Iowa",6300,1064,762,19,19,0,283,0.168888888888889
"Jackson",2020-12-15,"Jackson",6950,1674,1273,23,22,1,378,0.240863309352518
"Jasper",2020-12-15,"Jasper",13455,2550,1833,48,46,2,669,0.189520624303233
"Jefferson",2020-12-15,"Jefferson",5671,848,529,13,12,1,306,0.149532710280374
"Johnson",2020-12-15,"Johnson",61672,10358,8256,43,39,4,2059,0.167953041899079
"Jones",2020-12-15,"Jones",7923,2475,1979,33,32,1,463,0.312381673608482
"Keokuk",2020-12-15,"Keokuk",3142,723,437,18,18,0,268,0.230108211330363
"Kossuth",2020-12-15,"Kossuth",6001,1374,792,23,22,1,559,0.228961839693384
"Lee",2020-12-15,"Lee",12143,2570,1685,20,16,4,865,0.211644568887425
"Linn",2020-12-15,"Linn",90722,15498,11724,217,204,13,3557,0.170829567249399
"Louisa",2020-12-15,"Louisa",4289,963,713,23,19,4,227,0.224527861972488
"Lucas",2020-12-15,"Lucas",2739,402,282,6,6,0,114,0.146768893756846
"Lyon",2020-12-15,"Lyon",3565,1142,821,21,19,2,300,0.320336605890603
"Madison",2020-12-15,"Madison",5579,834,577,8,7,1,249,0.149489155762681
"Mahaska",2020-12-15,"Mahaska",7806,1462,1067,31,29,2,364,0.187291826799898
"Marion",2020-12-15,"Marion",11607,2333,1702,33,28,5,598,0.200999396915654
"Marshall",2020-12-15,"Marshall",16109,3759,3033,53,50,3,673,0.233347817989944
"Mills",2020-12-15,"Mills",6296,1199,873,11,11,0,315,0.190438373570521
"Mitchell",2020-12-15,"Mitchell",4341,909,596,19,19,0,294,0.209398756046994
"Monona",2020-12-15,"Monona",2924,507,349,12,11,1,146,0.173392612859097
"Monroe",2020-12-15,"Monroe",2360,513,370,15,15,0,128,0.217372881355932
"Montgomery",2020-12-15,"Montgomery",3255,620,361,13,12,1,246,0.19047619047619
"Muscatine",2020-12-15,"Muscatine",16465,3310,2350,63,57,6,897,0.201032493167325
"O'Brien",2020-12-15,"O'Brien",5228,1458,1106,44,40,4,308,0.278882938026014
"Osceola",2020-12-15,"Osceola",1942,590,448,5,5,0,137,0.303810504634398
"Page",2020-12-15,"Page",4848,1286,1050,10,10,0,226,0.26526402640264
"Palo Alto",2020-12-15,"Palo Alto",3587,749,518,2,2,0,229,0.208809590186786
"Pending Investigation",2020-12-15,"Pending Investigation",8832,577,330,0,0,0,247,0.065330615942029
"Plymouth",2020-12-15,"Plymouth",10705,3111,2388,40,34,6,683,0.290611863615133
"Pocahontas",2020-12-15,"Pocahontas",2848,639,445,4,4,0,190,0.22436797752809
"Polk",2020-12-15,"Polk",208290,37732,28202,371,337,34,9159,0.181151279466129
"Pottawattamie",2020-12-15,"Pottawattamie",37493,7483,5099,78,71,7,2306,0.199583922332169
"Poweshiek",2020-12-15,"Poweshiek",6543,1104,836,21,20,1,247,0.168729940394315
"Ringgold",2020-12-15,"Ringgold",1830,317,144,5,5,0,168,0.173224043715847
"Sac",2020-12-15,"Sac",4261,974,666,10,10,0,298,0.228584839239615
"Scott",2020-12-15,"Scott",66355,12968,8920,118,112,6,3930,0.195433652324618
"Shelby",2020-12-15,"Shelby",4038,861,632,20,20,0,209,0.213224368499257
"Sioux",2020-12-15,"Sioux",12587,4070,3299,39,38,1,732,0.323349487566537
"Story",2020-12-15,"Story",43641,7431,5631,23,21,2,1777,0.170275658211315
"Tama",2020-12-15,"Tama",6631,1631,1330,55,53,2,246,0.245965917659478
"Taylor",2020-12-15,"Taylor",2031,501,386,8,7,1,107,0.246676514032496
"Union",2020-12-15,"Union",5310,945,566,11,11,0,368,0.177966101694915
"Van Buren",2020-12-15,"Van Buren",2093,419,311,11,10,1,97,0.200191113234591
"Wapello",2020-12-15,"Wapello",12846,2869,2134,87,85,2,648,0.223338004047953
"Warren",2020-12-15,"Warren",20997,3304,2254,25,23,2,1025,0.157355812735153
"Washington",2020-12-15,"Washington",8938,1633,1113,24,23,1,496,0.182703065562766
"Wayne",2020-12-15,"Wayne",1723,337,260,21,17,4,56,0.195589088798607
"Webster",2020-12-15,"Webster",17761,4073,2961,48,42,6,1064,0.229322673272901
"Winnebago",2020-12-15,"Winnebago",4779,1031,757,26,22,4,248,0.21573550952082
"Winneshiek",2020-12-15,"Winneshiek",7429,1212,763,15,13,2,434,0.163144433974963
"Woodbury",2020-12-15,"Woodbury",47516,11480,9326,145,136,9,2009,0.241602828520919
"Worth",2020-12-15,"Worth",2781,435,276,2,2,0,157,0.156418554476807
"Wright",2020-12-15,"Wright",6515,1413,1039,11,9,2,363,0.216884113584037
"Total",2020-12-15,"Totals",NA,NA,NA,3270,2997,273,NA,NA
