"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1693","87","56","1","30","0.0513880685174247",2020-10-09
"Adams","Adams","717","52","30","0","22","0.0725244072524407",2020-10-09
"Allamakee","Allamakee","3068","288","215","8","65","0.0938722294654498",2020-10-09
"Appanoose","Appanoose","2821","169","133","3","33","0.0599078341013825",2020-10-09
"Audubon","Audubon","1300","112","41","1","70","0.0861538461538462",2020-10-09
"Benton","Benton","5928","389","244","1","144","0.0656207827260459",2020-10-09
"Black Hawk","Black Hawk","37263","4794","4079","95","620","0.128653087513083",2020-10-09
"Boone","Boone","6833","586","405","8","173","0.0857602809893166",2020-10-09
"Bremer","Bremer","5724","541","420","7","114","0.0945143256464011",2020-10-09
"Buchanan","Buchanan","4784","335","209","1","125","0.0700250836120401",2020-10-09
"Buena Vista","Buena Vista","9719","2106","1882","12","212","0.216688959769524",2020-10-09
"Butler","Butler","3567","307","273","2","32","0.0860667227361929",2020-10-09
"Calhoun","Calhoun","2796","234","196","3","35","0.0836909871244635",2020-10-09
"Carroll","Carroll","6280","861","524","5","332","0.137101910828025",2020-10-09
"Cass","Cass","3021","211","179","2","30","0.0698444223766965",2020-10-09
"Cedar","Cedar","4254","292","201","3","88","0.0686412787964269",2020-10-09
"Cerro Gordo","Cerro Gordo","12193","1167","943","23","201","0.0957106536537358",2020-10-09
"Cherokee","Cherokee","3073","320","166","2","152","0.104132769280833",2020-10-09
"Chickasaw","Chickasaw","2779","304","278","1","25","0.109391867578266",2020-10-09
"Clarke","Clarke","2465","279","242","3","34","0.113184584178499",2020-10-09
"Clay","Clay","4126","408","252","4","152","0.0988851187590887",2020-10-09
"Clayton","Clayton","3483","306","267","3","36","0.0878552971576227",2020-10-09
"Clinton","Clinton","10564","1240","969","24","247","0.117379780386217",2020-10-09
"Crawford","Crawford","5560","1191","887","9","295","0.214208633093525",2020-10-09
"Dallas","Dallas","27407","3022","2537","40","445","0.110263801218667",2020-10-09
"Davis","Davis","1414","139","103","4","32","0.0983026874115983",2020-10-09
"Decatur","Decatur","1687","95","54","0","41","0.0563129816241849",2020-10-09
"Delaware","Delaware","4222","549","450","4","95","0.130033159639981",2020-10-09
"Des Moines","Des Moines","9716","952","677","9","266","0.0979827089337176",2020-10-09
"Dickinson","Dickinson","5669","616","441","7","168","0.108661139530781",2020-10-09
"Dubuque","Dubuque","32281","3947","2410","47","1490","0.122270065983086",2020-10-09
"Emmet","Emmet","2447","337","224","11","102","0.137719656722517",2020-10-09
"Fayette","Fayette","4464","275","168","2","105","0.0616039426523297",2020-10-09
"Floyd","Floyd","4128","388","333","9","46","0.0939922480620155",2020-10-09
"Franklin","Franklin","2704","360","323","18","19","0.133136094674556",2020-10-09
"Fremont","Fremont","1395","159","67","0","92","0.113978494623656",2020-10-09
"Greene","Greene","2278","145","74","0","71","0.0636523266022827",2020-10-09
"Grundy","Grundy","2973","251","171","4","76","0.084426505213589",2020-10-09
"Guthrie","Guthrie","2930","320","194","12","114","0.109215017064846",2020-10-09
"Hamilton","Hamilton","3918","371","324","3","44","0.094691168963757",2020-10-09
"Hancock","Hancock","2775","237","205","3","29","0.0854054054054054",2020-10-09
"Hardin","Hardin","4093","334","261","2","71","0.081602736379184",2020-10-09
"Harrison","Harrison","3144","382","186","5","191","0.121501272264631",2020-10-09
"Henry","Henry","5614","882","464","5","413","0.1571072319202",2020-10-09
"Howard","Howard","2214","207","168","7","32","0.0934959349593496",2020-10-09
"Humboldt","Humboldt","2491","233","201","3","29","0.0935367322360498",2020-10-09
"Ida","Ida","1638","155","72","2","81","0.0946275946275946",2020-10-09
"Iowa","Iowa","4294","293","160","1","132","0.068234746157429",2020-10-09
"Jackson","Jackson","4297","433","260","3","170","0.100767977658832",2020-10-09
"Jasper","Jasper","8668","944","649","34","261","0.108906322104292",2020-10-09
"Jefferson","Jefferson","3078","164","128","1","35","0.0532813515269656",2020-10-09
"Johnson","Johnson","42156","5385","4743","29","613","0.127739823512667",2020-10-09
"Jones","Jones","4251","334","213","3","118","0.0785697482945189",2020-10-09
"Keokuk","Keokuk","1859","127","81","1","45","0.0683162990855299",2020-10-09
"Kossuth","Kossuth","3845","353","179","0","174","0.0918075422626788",2020-10-09
"Lee","Lee","7497","749","549","9","191","0.099906629318394",2020-10-09
"Linn","Linn","55235","4575","3447","117","1011","0.0828279170815606",2020-10-09
"Louisa","Louisa","2785","456","391","15","50","0.163734290843806",2020-10-09
"Lucas","Lucas","1767","164","113","6","45","0.0928126768534239",2020-10-09
"Lyon","Lyon","2228","461","198","5","258","0.206912028725314",2020-10-09
"Madison","Madison","3786","283","191","2","90","0.0747490755414686",2020-10-09
"Mahaska","Mahaska","5350","487","339","21","127","0.0910280373831776",2020-10-09
"Marion","Marion","7463","843","766","9","68","0.112957255795257",2020-10-09
"Marshall","Marshall","11882","1854","1711","36","107","0.156034337653594",2020-10-09
"Mills","Mills","4027","253","147","1","105","0.0628259250062081",2020-10-09
"Mitchell","Mitchell","2962","204","164","0","40","0.0688723835246455",2020-10-09
"Monona","Monona","2038","189","119","1","69","0.0927379784102061",2020-10-09
"Monroe","Monroe","1488","179","123","11","45","0.120295698924731",2020-10-09
"Montgomery","Montgomery","2073","121","97","5","19","0.0583695127834057",2020-10-09
"Muscatine","Muscatine","10397","1200","983","56","161","0.115417909012215",2020-10-09
"O'Brien","O'Brien","3322","490","252","9","229","0.147501505117399",2020-10-09
"Osceola","Osceola","1178","200","106","0","94","0.169779286926995",2020-10-09
"Page","Page","3069","263","207","0","56","0.0856956663408276",2020-10-09
"Palo Alto","Palo Alto","2354","251","145","0","106","0.106627017841971",2020-10-09
"Pending Investigation","Pending Investigation","4209","11","0","0","11","0.00261344737467332",2020-10-09
"Plymouth","Plymouth","7249","1335","895","24","416","0.1841633328735",2020-10-09
"Pocahontas","Pocahontas","1894","190","146","2","42","0.100316789862724",2020-10-09
"Polk","Polk","140142","16834","14380","272","2182","0.120121020108176",2020-10-09
"Pottawattamie","Pottawattamie","23107","2492","1929","43","520","0.10784610724023",2020-10-09
"Poweshiek","Poweshiek","4127","372","252","10","110","0.0901381148534044",2020-10-09
"Ringgold","Ringgold","1256","64","52","2","10","0.0509554140127389",2020-10-09
"Sac","Sac","2927","320","145","1","174","0.109326955927571",2020-10-09
"Scott","Scott","40367","3454","2506","29","919","0.0855649416602671",2020-10-09
"Shelby","Shelby","2588","301","271","1","29","0.116306027820711",2020-10-09
"Sioux","Sioux","8541","2000","1085","7","908","0.234164617726262",2020-10-09
"Story","Story","31287","3657","3086","17","554","0.11688560744079",2020-10-09
"Tama","Tama","4760","830","691","34","105","0.17436974789916",2020-10-09
"Taylor","Taylor","1359","191","136","1","54","0.140544518027962",2020-10-09
"Union","Union","3359","174","115","3","56","0.0518011312890741",2020-10-09
"Van Buren","Van Buren","1280","134","114","1","19","0.1046875",2020-10-09
"Wapello","Wapello","8776","1405","1291","58","56","0.160095715587967",2020-10-09
"Warren","Warren","13553","1023","895","6","122","0.0754814432229027",2020-10-09
"Washington","Washington","5622","545","395","11","139","0.0969405905371754",2020-10-09
"Wayne","Wayne","1195","98","86","3","9","0.0820083682008368",2020-10-09
"Webster","Webster","13057","1539","1203","14","322","0.117867810369917",2020-10-09
"Winnebago","Winnebago","3223","359","224","15","120","0.11138690660875",2020-10-09
"Winneshiek","Winneshiek","4616","370","287","9","74","0.080155979202773",2020-10-09
"Woodbury","Woodbury","33934","6208","4507","76","1625","0.182943360641245",2020-10-09
"Worth","Worth","1810","117","96","0","21","0.0646408839779005",2020-10-09
"Wright","Wright","4754","639","547","1","91","0.134413125788809",2020-10-09
"Total","Totals","847954","96852","74993","1433","20426","0.11421845996363",2020-10-09
