"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1265","50","23","1","26","0.0395256916996047",2020-09-01
"Adams","Adams","495","22","17","0","5","0.0444444444444444",2020-09-01
"Allamakee","Allamakee","2376","183","148","5","30","0.077020202020202",2020-09-01
"Appanoose","Appanoose","1939","85","61","3","21","0.0438370293965962",2020-09-01
"Audubon","Audubon","855","40","27","1","12","0.0467836257309941",2020-09-01
"Benton","Benton","4085","204","147","1","56","0.0499388004895961",2020-09-01
"Black Hawk","Black Hawk","28907","3802","2976","75","751","0.131525236101982",2020-09-01
"Boone","Boone","4864","346","238","4","104","0.0711348684210526",2020-09-01
"Bremer","Bremer","4230","332","192","7","133","0.0784869976359338",2020-09-01
"Buchanan","Buchanan","3506","175","116","1","58","0.0499144324015973",2020-09-01
"Buena Vista","Buena Vista","8341","1826","1774","12","40","0.218918594892699",2020-09-01
"Butler","Butler","2692","210","159","2","49","0.0780089153046062",2020-09-01
"Calhoun","Calhoun","1957","130","87","2","41","0.0664282064384262",2020-09-01
"Carroll","Carroll","4281","394","198","3","193","0.0920345713618314",2020-09-01
"Cass","Cass","2048","112","100","2","10","0.0546875",2020-09-01
"Cedar","Cedar","2922","155","123","1","31","0.0530458590006845",2020-09-01
"Cerro Gordo","Cerro Gordo","9541","834","573","20","241","0.0874122209412011",2020-09-01
"Cherokee","Cherokee","1982","140","124","2","14","0.070635721493441",2020-09-01
"Chickasaw","Chickasaw","1987","110","82","0","28","0.0553598389531958",2020-09-01
"Clarke","Clarke","1850","241","187","3","51","0.13027027027027",2020-09-01
"Clay","Clay","3026","236","174","3","59","0.077990746860542",2020-09-01
"Clayton","Clayton","2712","180","145","3","32","0.0663716814159292",2020-09-01
"Clinton","Clinton","7740","837","343","10","484","0.108139534883721",2020-09-01
"Crawford","Crawford","4111","836","720","3","113","0.203356847482364",2020-09-01
"Dallas","Dallas","21010","2383","1799","38","546","0.113422179914327",2020-09-01
"Davis","Davis","1012","83","52","2","29","0.0820158102766798",2020-09-01
"Decatur","Decatur","1157","44","24","0","20","0.0380293863439931",2020-09-01
"Delaware","Delaware","3051","222","162","3","57","0.0727630285152409",2020-09-01
"Des Moines","Des Moines","6721","569","149","5","415","0.0846600208302336",2020-09-01
"Dickinson","Dickinson","4407","424","370","6","48","0.0962105740866803",2020-09-01
"Dubuque","Dubuque","24157","2041","1574","36","431","0.0844889680009935",2020-09-01
"Emmet","Emmet","1796","221","183","8","30","0.123051224944321",2020-09-01
"Fayette","Fayette","3259","142","83","1","58","0.043571647744707",2020-09-01
"Floyd","Floyd","3220","216","178","3","35","0.0670807453416149",2020-09-01
"Franklin","Franklin","2148","295","249","17","29","0.137337057728119",2020-09-01
"Fremont","Fremont","843","59","35","0","24","0.069988137603796",2020-09-01
"Greene","Greene","1490","53","38","0","15","0.0355704697986577",2020-09-01
"Grundy","Grundy","2226","130","73","1","56","0.0584007187780773",2020-09-01
"Guthrie","Guthrie","2118","173","128","5","40","0.0816808309726157",2020-09-01
"Hamilton","Hamilton","3116","280","232","2","46","0.0898587933247754",2020-09-01
"Hancock","Hancock","2134","157","131","2","24","0.0735707591377694",2020-09-01
"Hardin","Hardin","3026","231","170","1","60","0.0763384005287508",2020-09-01
"Harrison","Harrison","1985","148","120","2","26","0.0745591939546599",2020-09-01
"Henry","Henry","3558","288","114","4","170","0.0809443507588533",2020-09-01
"Howard","Howard","1564","133","71","2","60","0.0850383631713555",2020-09-01
"Humboldt","Humboldt","1817","153","91","2","60","0.0842047330764997",2020-09-01
"Ida","Ida","1104","43","29","0","14","0.0389492753623188",2020-09-01
"Iowa","Iowa","3058","116","91","1","24","0.0379332897318509",2020-09-01
"Jackson","Jackson","3143","214","145","1","68","0.0680878141902641",2020-09-01
"Jasper","Jasper","5993","588","436","30","122","0.0981144668780244",2020-09-01
"Jefferson","Jefferson","2337","120","79","0","41","0.0513478818998716",2020-09-01
"Johnson","Johnson","32112","3978","1971","26","1981","0.123878923766816",2020-09-01
"Jones","Jones","3033","172","132","2","38","0.0567095285196175",2020-09-01
"Keokuk","Keokuk","1272","64","31","1","32","0.050314465408805",2020-09-01
"Kossuth","Kossuth","2538","122","82","0","40","0.0480693459416864",2020-09-01
"Lee","Lee","4707","427","103","5","319","0.0907159549606968",2020-09-01
"Linn","Linn","41295","3002","2454","94","454","0.0726964523550067",2020-09-01
"Louisa","Louisa","2100","396","363","14","19","0.188571428571429",2020-09-01
"Lucas","Lucas","1154","97","47","5","45","0.0840554592720971",2020-09-01
