"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",6547,684,354,5,325,NA,NA,NA,NA
"2","2020-08-01",6568,699,354,5,340,15,21,0,0.714285714285714
