"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2275,116,83,1,32,NA,NA,NA,NA
"2","2020-08-01",2298,117,84,1,32,1,23,0,0.0434782608695652
