"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","2625","440","229","8","203","0.167619047619048",2020-11-29
"Adams","Adams","1106","169","87","2","80","0.152802893309222",2020-11-29
"Allamakee","Allamakee","4272","804","423","11","370","0.188202247191011",2020-11-29
"Appanoose","Appanoose","4248","787","289","10","488","0.185263653483992",2020-11-29
"Audubon","Audubon","1809","296","192","2","102","0.163626312880044",2020-11-29
"Benton","Benton","9371","1703","728","19","956","0.181730871838651",2020-11-29
"Black Hawk","Black Hawk","51954","10886","6470","134","4282","0.20953150864226",2020-11-29
"Boone","Boone","9407","1368","799","11","558","0.145423620707983",2020-11-29
"Bremer","Bremer","8585","1950","835","12","1103","0.227140361094933",2020-11-29
"Buchanan","Buchanan","6918","1168","556","10","602","0.168834923388263",2020-11-29
"Buena Vista","Buena Vista","11768","3048","2346","14","688","0.259007477906186",2020-11-29
"Butler","Butler","5070","1018","465","6","547","0.200788954635108",2020-11-29
"Calhoun","Calhoun","4210","1061","366","7","688","0.252019002375297",2020-11-29
"Carroll","Carroll","8660","1980","1245","22","713","0.228637413394919",2020-11-29
"Cass","Cass","4510","815","507","23","285","0.180709534368071",2020-11-29
"Cedar","Cedar","6492","1076","543","13","520","0.165742452248922",2020-11-29
"Cerro Gordo","Cerro Gordo","17659","3552","1622","44","1886","0.201143892632652",2020-11-29
"Cherokee","Cherokee","4207","838","454","4","380","0.19919182315189",2020-11-29
"Chickasaw","Chickasaw","3922","855","668","4","183","0.218001019887812",2020-11-29
"Clarke","Clarke","3258","483","369","4","110","0.148250460405157",2020-11-29
"Clay","Clay","5994","1172","597","4","571","0.195528862195529",2020-11-29
"Clayton","Clayton","5029","1112","575","5","532","0.221117518393319",2020-11-29
"Clinton","Clinton","15690","3286","1663","40","1583","0.209432759719567",2020-11-29
"Crawford","Crawford","6804","1744","1408","16","320","0.256319811875367",2020-11-29
"Dallas","Dallas","38372","6338","3750","57","2531","0.165172521630355",2020-11-29
"Davis","Davis","2218","462","217","9","236","0.208295761947701",2020-11-29
"Decatur","Decatur","2378","316","183","0","133","0.132884777123633",2020-11-29
"Delaware","Delaware","5942","1433","883","21","529","0.241164591046786",2020-11-29
"Des Moines","Des Moines","15467","2906","1630","20","1256","0.187883881812892",2020-11-29
"Dickinson","Dickinson","7661","1384","845","10","529","0.180655266936431",2020-11-29
"Dubuque","Dubuque","44027","9211","5856","91","3264","0.209212528675585",2020-11-29
"Emmet","Emmet","3527","762","453","24","285","0.216047632548908",2020-11-29
"Fayette","Fayette","6515","1035","461","10","564","0.158864159631619",2020-11-29
"Floyd","Floyd","5710","1048","485","16","547","0.18353765323993",2020-11-29
"Franklin","Franklin","3713","737","401","21","315","0.198491785618099",2020-11-29
"Fremont","Fremont","1941","358","227","3","128","0.184441009788769",2020-11-29
"Greene","Greene","3135","525","209","0","316","0.167464114832536",2020-11-29
"Grundy","Grundy","4186","862","380","11","471","0.205924510272336",2020-11-29
"Guthrie","Guthrie","4093","752","436","15","301","0.183728316638163",2020-11-29
"Hamilton","Hamilton","5434","1109","513","9","587","0.204085388295915",2020-11-29
"Hancock","Hancock","4240","865","415","7","443","0.204009433962264",2020-11-29
"Hardin","Hardin","6092","1154","562","10","582","0.189428759028234",2020-11-29
"Harrison","Harrison","4631","1074","723","29","322","0.231915353055496",2020-11-29
"Henry","Henry","7879","1828","1187","7","634","0.23200913821551",2020-11-29
"Howard","Howard","3117","557","275","9","273","0.17869746551171",2020-11-29
"Humboldt","Humboldt","3529","769","398","5","366","0.217908756021536",2020-11-29
"Ida","Ida","2281","487","241","13","233","0.213502849627356",2020-11-29
"Iowa","Iowa","5976","949","475","12","462","0.15880187416332",2020-11-29
