"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",3898,892,848,32,12,0.228835300153925,2021-07-17
"2","Adams",1716,346,333,4,9,0.201631701631702,2021-07-17
"3","Allamakee",6748,1551,1490,52,9,0.229845880260818,2021-07-17
"4","Appanoose",6543,1277,1227,49,1,0.195170411126395,2021-07-17
"5","Audubon",2919,529,514,12,3,0.181226447413498,2021-07-17
"6","Benton",13972,2623,2545,55,23,0.187732608073289,2021-07-17
"7","Black Hawk",76417,16606,15880,316,410,0.217307667142128,2021-07-17
"8","Boone",14952,2701,2655,34,12,0.180644729802033,2021-07-17
"9","Bremer",13253,2921,2833,62,26,0.220402927639025,2021-07-17
"10","Buchanan",10268,1959,1910,34,15,0.190786910790806,2021-07-17
"11","Buena Vista",15726,4305,4245,40,20,0.273750476917207,2021-07-17
"12","Butler",7597,1674,1624,35,15,0.220350138212452,2021-07-17
"13","Calhoun",5722,1429,1376,13,40,0.249737853897239,2021-07-17
"14","Carroll",12077,2860,2804,52,4,0.236813778256189,2021-07-17
"15","Cass",6783,1403,1337,55,11,0.206840630989238,2021-07-17
"16","Cedar",9914,1926,1901,23,2,0.194270728263062,2021-07-17
"17","Cerro Gordo",27424,5613,5470,97,46,0.204674737456243,2021-07-17
"18","Cherokee",6417,1613,1563,38,12,0.251363565529063,2021-07-17
"19","Chickasaw",5937,1254,1238,17,-1,0.21121778676099,2021-07-17
"20","Clarke",5307,1022,989,24,9,0.192575843225928,2021-07-17
"21","Clay",9053,2172,2143,27,2,0.239920468353032,2021-07-17
"22","Clayton",7844,1723,1666,57,0,0.219658337582866,2021-07-17
"23","Clinton",25357,5638,5535,93,10,0.222344914619237,2021-07-17
"24","Crawford",9370,2705,2647,41,17,0.288687299893276,2021-07-17
"25","Dallas",58930,11407,11253,99,55,0.193568640760224,2021-07-17
"26","Davis",3836,861,833,25,3,0.224452554744526,2021-07-17
"27","Decatur",3864,656,629,9,18,0.169772256728778,2021-07-17
"28","Delaware",8731,2114,2065,43,6,0.242125758790517,2021-07-17
"29","Des Moines",23136,4758,4621,74,63,0.205653526970954,2021-07-17
"30","Dickinson",11165,2506,2459,45,2,0.224451410658307,2021-07-17
"31","Dubuque",61506,13580,13313,213,54,0.220791467499106,2021-07-17
"32","Emmet",5582,1367,1321,41,5,0.244894303117162,2021-07-17
"33","Fayette",10080,1879,1823,43,13,0.18640873015873,2021-07-17
"34","Floyd",8470,1646,1600,42,4,0.194332939787485,2021-07-17
"35","Franklin",5979,1274,1220,23,31,0.2130791102191,2021-07-17
"36","Fremont",2883,648,638,10,0,0.224765868886576,2021-07-17
"37","Greene",4447,790,775,11,4,0.177647852484821,2021-07-17
"38","Grundy",6208,1393,1350,33,10,0.224387886597938,2021-07-17
"39","Guthrie",6289,1243,1210,32,1,0.19764668468755,2021-07-17
"40","Hamilton",8206,1852,1781,51,20,0.225688520594687,2021-07-17
"41","Hancock",6634,1529,1469,34,26,0.230479348809165,2021-07-17
"42","Hardin",9234,1905,1842,44,19,0.206302794022092,2021-07-17
"43","Harrison",6871,1816,1737,73,6,0.264299228642119,2021-07-17
"44","Henry",11913,3007,2957,37,13,0.252413329975657,2021-07-17
"45","Howard",4982,1053,1029,22,2,0.211360899237254,2021-07-17
"46","Humboldt",5095,1235,1183,26,26,0.242394504416094,2021-07-17
"47","Ida",3606,923,880,35,8,0.255962285080422,2021-07-17
"48","Iowa",8770,1480,1456,24,0,0.168757126567845,2021-07-17
"49","Jackson",9962,2256,2217,42,-3,0.226460550090343,2021-07-17
"50","Jasper",20150,4515,4426,73,16,0.224069478908189,2021-07-17
"51","Jefferson",8726,1345,1310,35,0,0.154137061654825,2021-07-17
"52","Johnson",88536,14705,14541,86,78,0.166090629800307,2021-07-17
"53","Jones",10863,3011,2952,57,2,0.277179416367486,2021-07-17
"54","Keokuk",4657,998,953,32,13,0.214301052179515,2021-07-17
"55","Kossuth",8558,2179,2111,66,2,0.254615564384202,2021-07-17
"56","Lee",17437,3891,3780,58,53,0.223146183403108,2021-07-17
"57","Linn",128364,21418,20936,342,140,0.166853634975538,2021-07-17
"58","Louisa",5857,1302,1253,49,0,0.222298104831825,2021-07-17
"59","Lucas",4208,773,750,23,0,0.183697718631179,2021-07-17
"60","Lyon",5122,1608,1558,41,9,0.31393986723936,2021-07-17
"61","Madison",8558,1673,1644,19,10,0.195489600373919,2021-07-17
"62","Mahaska",11344,2317,2238,51,28,0.204248942172073,2021-07-17
"63","Marion",17515,3676,3586,77,13,0.20987724807308,2021-07-17
"64","Marshall",23198,4913,4802,77,34,0.211785498749892,2021-07-17
"65","Mills",8076,1637,1608,24,5,0.20269935611689,2021-07-17
"66","Mitchell",5854,1272,1230,43,-1,0.217287324906047,2021-07-17
"67","Monona",4040,857,817,31,9,0.212128712871287,2021-07-17
"68","Monroe",3862,993,945,33,15,0.25712066286898,2021-07-17
"69","Montgomery",4583,1063,1014,38,11,0.231944141392101,2021-07-17
"70","Muscatine",23485,4911,4786,106,19,0.209112199276134,2021-07-17
"71","O'Brien",7068,2008,1950,61,-3,0.284097340124505,2021-07-17
"72","Osceola",2713,790,776,17,-3,0.291190563951345,2021-07-17
"73","Page",6720,1953,1929,22,2,0.290625,2021-07-17
"74","Palo Alto",4821,1148,1117,24,7,0.238124870358847,2021-07-17
"75","Pending Investigation",3370,7,4,0,3,0.00207715133531157,2021-07-17
"76","Plymouth",14096,4048,3954,82,12,0.287173666288309,2021-07-17
"77","Pocahontas",3683,867,844,22,1,0.2354059190877,2021-07-17
"78","Polk",301491,58775,57848,644,283,0.194947776218859,2021-07-17
"79","Pottawattamie",50880,11287,11062,177,48,0.221835691823899,2021-07-17
"80","Poweshiek",9580,1588,1554,36,-2,0.165762004175365,2021-07-17
"81","Ringgold",2567,566,537,24,5,0.22049084534476,2021-07-17
"82","Sac",5754,1325,1307,20,-2,0.23027459158846,2021-07-17
