"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-15,"Adair",3291,770,665,25,19,6,80,0.233971437253115
"Adams",2021-02-15,"Adams",1451,317,295,3,3,0,19,0.218470020675396
"Allamakee",2021-02-15,"Allamakee",5511,1375,1242,41,35,6,92,0.249500998003992
"Appanoose",2021-02-15,"Appanoose",5477,1192,1060,46,43,3,86,0.217637392733248
"Audubon",2021-02-15,"Audubon",2374,453,402,9,8,1,42,0.190817186183656
"Benton",2021-02-15,"Benton",11483,2280,2040,53,43,10,187,0.198554384742663
"Black Hawk",2021-02-15,"Black Hawk",64763,14698,13545,275,259,16,878,0.226950573630005
"Boone",2021-02-15,"Boone",12412,2364,2150,27,25,2,187,0.190460844344183
"Bremer",2021-02-15,"Bremer",11117,2610,2409,53,47,6,148,0.234775568948457
"Buchanan",2021-02-15,"Buchanan",8573,1720,1570,26,24,2,124,0.200629884521171
"Buena Vista",2021-02-15,"Buena Vista",13848,4043,3898,36,33,3,109,0.291955517042172
"Butler",2021-02-15,"Butler",6434,1562,1453,30,27,3,79,0.242772769661175
"Calhoun",2021-02-15,"Calhoun",4906,1266,1213,9,9,0,44,0.258051365674684
"Carroll",2021-02-15,"Carroll",10490,2625,2498,47,39,8,80,0.25023832221163
"Cass",2021-02-15,"Cass",5795,1231,1085,47,45,2,99,0.212424503882657
"Cedar",2021-02-15,"Cedar",8207,1631,1501,20,19,1,110,0.198732789082491
"Cerro Gordo",2021-02-15,"Cerro Gordo",22047,4922,4584,79,67,12,259,0.223250328842926
"Cherokee",2021-02-15,"Cherokee",5444,1423,1349,35,29,6,39,0.261388684790595
"Chickasaw",2021-02-15,"Chickasaw",4888,1173,1113,13,12,1,47,0.239975450081833
"Clarke",2021-02-15,"Clarke",4441,906,769,20,20,0,117,0.204008106282369
"Clay",2021-02-15,"Clay",7628,1809,1643,25,20,5,141,0.237152595700052
"Clayton",2021-02-15,"Clayton",6359,1577,1479,53,45,8,45,0.247994967762227
