"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1393","56","39","1","16","0.0402010050251256",2020-09-12
"Adams","Adams","556","26","21","0","5","0.0467625899280576",2020-09-12
"Allamakee","Allamakee","2590","214","159","5","50","0.0826254826254826",2020-09-12
"Appanoose","Appanoose","2277","108","90","3","15","0.0474308300395257",2020-09-12
"Audubon","Audubon","941","42","29","1","12","0.0446333687566419",2020-09-12
"Benton","Benton","4453","236","171","1","64","0.0529979788906355",2020-09-12
"Black Hawk","Black Hawk","31550","4149","3244","81","824","0.131505546751189",2020-09-12
"Boone","Boone","5366","402","287","5","110","0.0749161386507641",2020-09-12
"Bremer","Bremer","4653","418","239","7","172","0.0898345153664303",2020-09-12
"Buchanan","Buchanan","3835","203","147","1","55","0.0529335071707953",2020-09-12
"Buena Vista","Buena Vista","8733","1890","1790","12","88","0.216420474063896",2020-09-12
"Butler","Butler","2941","238","212","2","24","0.0809248554913295",2020-09-12
"Calhoun","Calhoun","2168","147","101","2","44","0.0678044280442804",2020-09-12
"Carroll","Carroll","4919","524","239","5","280","0.106525716609067",2020-09-12
"Cass","Cass","2244","121","113","2","6","0.053921568627451",2020-09-12
"Cedar","Cedar","3319","197","136","1","60","0.0593552274781561",2020-09-12
"Cerro Gordo","Cerro Gordo","10379","928","651","21","256","0.0894113113016668",2020-09-12
"Cherokee","Cherokee","2251","156","131","2","23","0.0693025322079076",2020-09-12
"Chickasaw","Chickasaw","2261","176","88","0","88","0.0778416629809819",2020-09-12
"Clarke","Clarke","2017","249","209","3","37","0.123450669310858",2020-09-12
"Clay","Clay","3274","251","217","3","31","0.0766646304215027",2020-09-12
"Clayton","Clayton","2929","213","178","3","32","0.0727210652099693",2020-09-12
"Clinton","Clinton","8648","973","516","16","441","0.112511563367253",2020-09-12
"Crawford","Crawford","4514","893","752","4","137","0.197828976517501",2020-09-12
"Dallas","Dallas","23026","2558","1978","38","542","0.111091809259098",2020-09-12
"Davis","Davis","1118","106","66","4","36","0.0948121645796064",2020-09-12
"Decatur","Decatur","1297","53","29","0","24","0.0408635312259059",2020-09-12
"Delaware","Delaware","3422","275","242","3","30","0.0803623611922852",2020-09-12
"Des Moines","Des Moines","7768","678","272","6","400","0.0872811534500515",2020-09-12
"Dickinson","Dickinson","4702","448","385","6","57","0.0952786048490004",2020-09-12
"Dubuque","Dubuque","26381","2346","1784","37","525","0.0889276373147341",2020-09-12
"Emmet","Emmet","1965","235","195","9","31","0.119592875318066",2020-09-12
"Fayette","Fayette","3531","166","102","1","63","0.0470121778532994",2020-09-12
"Floyd","Floyd","3492","259","205","3","51","0.0741695303550974",2020-09-12
"Franklin","Franklin","2317","320","269","17","34","0.138109624514458",2020-09-12
"Fremont","Fremont","940","65","45","0","20","0.0691489361702128",2020-09-12
"Greene","Greene","1625","69","42","0","27","0.0424615384615385",2020-09-12
"Grundy","Grundy","2459","167","90","2","75","0.0679137860919073",2020-09-12
"Guthrie","Guthrie","2357","196","147","5","44","0.0831565549427238",2020-09-12
"Hamilton","Hamilton","3365","304","244","3","57","0.0903417533432392",2020-09-12
"Hancock","Hancock","2334","168","148","2","18","0.0719794344473008",2020-09-12
