"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1121","38","20","0","0.0338983050847458",2020-08-16
"Adams","Adams","443","17","16","0","0.0383747178329571",2020-08-16
"Allamakee","Allamakee","2181","163","139","4","0.0747363594681339",2020-08-16
"Appanoose","Appanoose","1650","56","44","3","0.0339393939393939",2020-08-16
"Audubon","Audubon","761","30","21","1","0.0394218134034166",2020-08-16
"Benton","Benton","3663","171","108","1","0.0466830466830467",2020-08-16
"Black Hawk","Black Hawk","26074","3285","2651","66","0.125987573828335",2020-08-16
"Boone","Boone","4342","290","189","3","0.0667894979272225",2020-08-16
"Bremer","Bremer","3827","243","133","7","0.0634962111314345",2020-08-16
"Buchanan","Buchanan","3134","146","72","1","0.0465858328015316",2020-08-16
"Buena Vista","Buena Vista","8078","1803","1744","12","0.223198811587026",2020-08-16
"Butler","Butler","2397","138","116","2","0.0575719649561952",2020-08-16
"Calhoun","Calhoun","1666","95","78","2","0.0570228091236495",2020-08-16
"Carroll","Carroll","3615","223","166","2","0.0616874135546335",2020-08-16
"Cass","Cass","1837","94","58","2","0.0511703864997278",2020-08-16
"Cedar","Cedar","2611","137","102","1","0.0524703178858675",2020-08-16
"Cerro Gordo","Cerro Gordo","8543","682","444","19","0.0798314409458036",2020-08-16
"Cherokee","Cherokee","1815","112","101","1","0.0617079889807163",2020-08-16
"Chickasaw","Chickasaw","1738","66","53","0","0.0379746835443038",2020-08-16
"Clarke","Clarke","1609","212","149","3","0.131758856432567",2020-08-16
"Clay","Clay","2763","213","161","1","0.0770901194353963",2020-08-16
"Clayton","Clayton","2382","119","93","3","0.0499580184718724",2020-08-16
"Clinton","Clinton","6452","491","184","4","0.0761004339739616",2020-08-16
"Crawford","Crawford","3827","753","687","3","0.196759864123334",2020-08-16
"Dallas","Dallas","18664","1988","1537","35","0.106515216459494",2020-08-16
"Davis","Davis","888","63","45","2","0.0709459459459459",2020-08-16
"Decatur","Decatur","639","29","23","0","0.0453834115805947",2020-08-16
"Delaware","Delaware","2587","133","102","1","0.0514109006571318",2020-08-16
"Des Moines","Des Moines","4996","246","113","2","0.0492393915132106",2020-08-16
"Dickinson","Dickinson","4088","389","336","4","0.0951565557729941",2020-08-16
"Dubuque","Dubuque","21871","1796","1202","31","0.0821178729824882",2020-08-16
"Emmet","Emmet","1626","198","142","4","0.121771217712177",2020-08-16
"Fayette","Fayette","2838","99","65","0","0.0348837209302326",2020-08-16
"Floyd","Floyd","2840","178","137","3","0.0626760563380282",2020-08-16
"Franklin","Franklin","1897","265","211","13","0.139694254085398",2020-08-16
"Fremont","Fremont","752","45","19","0","0.0598404255319149",2020-08-16
"Greene","Greene","1317","42","38","0","0.0318906605922551",2020-08-16
"Grundy","Grundy","1944","89","56","1","0.0457818930041152",2020-08-16
"Guthrie","Guthrie","1900","146","110","5","0.0768421052631579",2020-08-16
"Hamilton","Hamilton","2699","258","242","1","0.0955909596146721",2020-08-16
"Hancock","Hancock","1924","126","116","2","0.0654885654885655",2020-08-16
"Hardin","Hardin","2742","193","125","0","0.0703865791393144",2020-08-16
"Harrison","Harrison","1719","117","94","1","0.0680628272251309",2020-08-16
"Henry","Henry","2892","156","97","4","0.0539419087136929",2020-08-16
"Howard","Howard","1356","57","42","0","0.0420353982300885",2020-08-16
"Humboldt","Humboldt","1397","133","90","1","0.0952040085898354",2020-08-16
"Ida","Ida","982","34","25","0","0.0346232179226069",2020-08-16
"Iowa","Iowa","2829","99","66","1","0.0349946977730647",2020-08-16
"Jackson","Jackson","2830","169","100","1","0.0597173144876325",2020-08-16
"Jasper","Jasper","5248","496","395","28","0.0945121951219512",2020-08-16
"Jefferson","Jefferson","2091","91","67","0","0.0435198469631755",2020-08-16
"Johnson","Johnson","26603","2186","1664","21","0.0821711837010864",2020-08-16
"Jones","Jones","2742","137","100","2","0.049963530269876",2020-08-16
"Keokuk","Keokuk","1158","43","23","1","0.03713298791019",2020-08-16
"Kossuth","Kossuth","2247","105","69","0","0.0467289719626168",2020-08-16
"Lee","Lee","3404","151","63","5","0.0443595769682726",2020-08-16
"Linn","Linn","36651","2534","2035","89","0.0691386319609288",2020-08-16
"Louisa","Louisa","1932","378","357","14","0.195652173913043",2020-08-16
"Lucas","Lucas","931","75","34","4","0.0805585392051558",2020-08-16
"Lyon","Lyon","1174","128","108","2","0.109028960817717",2020-08-16
"Madison","Madison","2486","133","82","2","0.0534995977473854",2020-08-16
"Mahaska","Mahaska","2237","145","117","17","0.0648189539561913",2020-08-16
"Marion","Marion","3869","203","156","0","0.0524683380718532",2020-08-16
"Marshall","Marshall","8893","1498","1179","27","0.168447093219386",2020-08-16
"Mills","Mills","2859","98","58","1","0.0342777194823365",2020-08-16
"Mitchell","Mitchell","2006","83","69","0","0.0413758723828514",2020-08-16
"Monona","Monona","1222","93","81","1","0.0761047463175123",2020-08-16
"Monroe","Monroe","885","77","54","8","0.0870056497175141",2020-08-16
"Montgomery","Montgomery","1444","64","47","4","0.0443213296398892",2020-08-16
"Muscatine","Muscatine","7222","887","741","48","0.122819163666574",2020-08-16
"O'Brien","O'Brien","2068","147","111","5","0.0710831721470019",2020-08-16
"Osceola","Osceola","683","89","73","0","0.130307467057101",2020-08-16
"Page","Page","2097","101","82","0","0.0481640438721984",2020-08-16
"Palo Alto","Palo Alto","1561","102","63","0","0.0653427290198591",2020-08-16
"Pending Investigation","Pending Investigation","6550","12","0","0","0.00183206106870229",2020-08-16
"Plymouth","Plymouth","4314","505","383","12","0.117060732498841",2020-08-16
"Pocahontas","Pocahontas","1258","122","108","2","0.0969793322734499",2020-08-16
"Polk","Polk","94947","10936","8350","211","0.11518004781615",2020-08-16
"Pottawattamie","Pottawattamie","16263","1420","1054","29","0.0873147635737564",2020-08-16
"Poweshiek","Poweshiek","2269","162","119","8","0.0713970912296166",2020-08-16
"Ringgold","Ringgold","748","24","20","1","0.0320855614973262",2020-08-16
"Sac","Sac","1804","89","74","0","0.0493348115299335",2020-08-16
"Scott","Scott","26849","1847","1341","15","0.0687921337852434",2020-08-16
"Shelby","Shelby","1736","194","176","1","0.111751152073733",2020-08-16
"Sioux","Sioux","4804","693","535","3","0.144254787676936",2020-08-16
"Story","Story","21037","1393","979","15","0.0662166658744117",2020-08-16
"Tama","Tama","3465","562","483","29","0.162193362193362",2020-08-16
"Taylor","Taylor","940","104","90","0","0.11063829787234",2020-08-16
"Union","Union","2311","88","54","2","0.0380787537862397",2020-08-16
"Van Buren","Van Buren","796","40","22","1","0.050251256281407",2020-08-16
"Wapello","Wapello","6169","951","817","37","0.15415788620522",2020-08-16
"Warren","Warren","8830","603","421","2","0.0682899207248018",2020-08-16
"Washington","Washington","3308","308","275","10","0.0931076178960097",2020-08-16
"Wayne","Wayne","541","24","14","1","0.044362292051756",2020-08-16
"Webster","Webster","7469","880","638","8","0.117820324005891",2020-08-16
"Winnebago","Winnebago","1960","115","61","0","0.0586734693877551",2020-08-16
"Winneshiek","Winneshiek","2561","109","81","1","0.0425614994142913",2020-08-16
"Woodbury","Woodbury","22645","3805","3438","54","0.168028262309561",2020-08-16
"Worth","Worth","1188","71","46","0","0.0597643097643098",2020-08-16
"Wright","Wright","3453","495","420","1","0.143353605560382",2020-08-16
"Total","Totals","558674","52221","40489","975",NA,2020-08-16
