"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-02,"Adair",3214,707,617,24,19,5,66,0.219975108898569
"Adams",2021-02-02,"Adams",1410,309,274,3,3,0,32,0.219148936170213
"Allamakee",2021-02-02,"Allamakee",5343,1329,1182,37,32,5,110,0.248736664795059
"Appanoose",2021-02-02,"Appanoose",5302,1146,978,43,41,2,125,0.216144850999623
"Audubon",2021-02-02,"Audubon",2289,433,382,8,8,0,43,0.189165574486675
"Benton",2021-02-02,"Benton",11148,2181,1970,51,41,10,160,0.195640473627557
"Black Hawk",2021-02-02,"Black Hawk",63330,14389,12998,261,246,15,1130,0.227206695089215
"Boone",2021-02-02,"Boone",12108,2290,2001,24,22,2,265,0.189131152956723
"Bremer",2021-02-02,"Bremer",10856,2544,2300,51,45,6,193,0.234340456890199
"Buchanan",2021-02-02,"Buchanan",8371,1664,1479,24,22,2,161,0.198781507585713
"Buena Vista",2021-02-02,"Buena Vista",13625,4008,3772,35,32,3,201,0.294165137614679
"Butler",2021-02-02,"Butler",6276,1538,1325,29,26,3,184,0.245060548119822
"Calhoun",2021-02-02,"Calhoun",4819,1251,1188,9,9,0,54,0.259597426852044
"Carroll",2021-02-02,"Carroll",10302,2597,2403,43,37,6,151,0.252086973403223
"Cass",2021-02-02,"Cass",5634,1182,1035,45,43,2,102,0.209797657082002
"Cedar",2021-02-02,"Cedar",8019,1595,1408,20,19,1,167,0.198902606310014
"Cerro Gordo",2021-02-02,"Cerro Gordo",21488,4822,4366,74,62,12,382,0.224404318689501
"Cherokee",2021-02-02,"Cherokee",5361,1410,1267,31,26,5,112,0.263010632344712
"Chickasaw",2021-02-02,"Chickasaw",4784,1151,1076,12,11,1,63,0.24059364548495
"Clarke",2021-02-02,"Clarke",4257,857,709,13,13,0,135,0.201315480385248
"Clay",2021-02-02,"Clay",7439,1761,1565,23,18,5,173,0.236725366312676
"Clayton",2021-02-02,"Clayton",6215,1560,1418,51,43,8,91,0.251005631536605
"Clinton",2021-02-02,"Clinton",19572,4717,4200,72,65,7,445,0.241007561823012
"Crawford",2021-02-02,"Crawford",7960,2392,2158,31,28,3,203,0.300502512562814
"Dallas",2021-02-02,"Dallas",47492,9378,8167,78,67,11,1133,0.197464836182936
"Davis",2021-02-02,"Davis",2866,716,647,23,22,1,46,0.249825540823447
"Decatur",2021-02-02,"Decatur",3057,514,456,5,5,0,53,0.168138698070003
"Delaware",2021-02-02,"Delaware",7076,1800,1624,37,33,4,139,0.254381006218202
"Des Moines",2021-02-02,"Des Moines",18861,4043,3594,53,46,7,396,0.21435766926462
"Dickinson",2021-02-02,"Dickinson",9281,1913,1731,32,29,3,150,0.206120030169163
