"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1206","43","20","1","22","0.0356550580431177",2020-08-27
"Adams","Adams","475","20","17","0","3","0.0421052631578947",2020-08-27
"Allamakee","Allamakee","2322","170","142","4","24","0.0732127476313523",2020-08-27
"Appanoose","Appanoose","1833","71","56","3","12","0.03873431533006",2020-08-27
"Audubon","Audubon","822","36","27","1","8","0.0437956204379562",2020-08-27
"Benton","Benton","3947","185","132","1","52","0.0468710412971877",2020-08-27
"Black Hawk","Black Hawk","28142","3589","2896","72","621","0.127531802999076",2020-08-27
"Boone","Boone","4689","327","229","4","94","0.0697376839411388",2020-08-27
"Bremer","Bremer","4093","276","176","7","93","0.0674322013193257",2020-08-27
"Buchanan","Buchanan","3405","168","103","1","64","0.0493392070484582",2020-08-27
"Buena Vista","Buena Vista","8288","1822","1770","12","40","0.219835907335907",2020-08-27
"Butler","Butler","2575","172","140","2","30","0.0667961165048544",2020-08-27
"Calhoun","Calhoun","1893","104","82","2","20","0.0549392498679345",2020-08-27
"Carroll","Carroll","4091","324","192","2","130","0.0791982400391102",2020-08-27
"Cass","Cass","2001","110","98","2","10","0.0549725137431284",2020-08-27
"Cedar","Cedar","2817","146","117","1","28","0.0518281860134895",2020-08-27
"Cerro Gordo","Cerro Gordo","9288","728","548","20","160","0.078380706287683",2020-08-27
"Cherokee","Cherokee","1943","131","118","1","12","0.067421513124035",2020-08-27
"Chickasaw","Chickasaw","1904","95","75","0","20","0.0498949579831933",2020-08-27
"Clarke","Clarke","1782","224","175","3","46","0.125701459034792",2020-08-27
"Clay","Clay","2957","236","168","2","66","0.0798106188704768",2020-08-27
"Clayton","Clayton","2635","172","120","3","49","0.0652751423149905",2020-08-27
"Clinton","Clinton","7382","733","298","9","426","0.0992955838526145",2020-08-27
"Crawford","Crawford","4058","806","707","3","96","0.198620009857072",2020-08-27
"Dallas","Dallas","20429","2178","1740","37","401","0.106613147975917",2020-08-27
"Davis","Davis","976","78","48","2","28","0.0799180327868853",2020-08-27
"Decatur","Decatur","1101","38","24","0","14","0.0345140781108084",2020-08-27
"Delaware","Delaware","2906","186","139","3","44","0.0640055058499656",2020-08-27
"Des Moines","Des Moines","6170","482","134","4","344","0.0781199351701783",2020-08-27
"Dickinson","Dickinson","4310","409","364","5","40","0.0948955916473318",2020-08-27
"Dubuque","Dubuque","23476","1944","1456","36","452","0.0828079741012097",2020-08-27
"Emmet","Emmet","1748","217","180","7","30","0.124141876430206",2020-08-27
"Fayette","Fayette","3155","131","77","1","53","0.0415213946117274",2020-08-27
"Floyd","Floyd","3129","191","166","3","22","0.0610418664109939",2020-08-27
"Franklin","Franklin","2093","280","244","16","20","0.133779264214047",2020-08-27
"Fremont","Fremont","828","55","32","0","23","0.0664251207729469",2020-08-27
"Greene","Greene","1445","52","38","0","14","0.0359861591695502",2020-08-27
"Grundy","Grundy","2162","117","72","1","44","0.0541165587419056",2020-08-27
"Guthrie","Guthrie","2059","160","124","5","31","0.0777076250607091",2020-08-27
"Hamilton","Hamilton","3047","249","231","2","16","0.0817197243190023",2020-08-27
"Hancock","Hancock","2065","139","124","2","13","0.0673123486682809",2020-08-27
"Hardin","Hardin","2953","215","158","1","56","0.0728073145953268",2020-08-27
