"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-15,"Adair",12779,993,838,32,22,10,3822,873,3,2021-06-15
"Adams",2021-06-15,"Adams",6166,354,338,4,4,0,1688,344,2,2021-06-15
"Allamakee",2021-06-15,"Allamakee",22714,1585,1466,52,42,10,6580,1526,8,2021-06-15
"Appanoose",2021-06-15,"Appanoose",19177,1468,1234,49,44,5,6436,1290,7,2021-06-15
"Audubon",2021-06-15,"Audubon",13610,553,499,10,9,1,2878,529,20,2021-06-15
"Benton",2021-06-15,"Benton",39928,2757,2514,55,44,11,13655,2589,20,2021-06-15
"Black Hawk",2021-06-15,"Black Hawk",227078,17572,15547,312,288,24,74652,16075,216,2021-06-15
"Boone",2021-06-15,"Boone",46586,2871,2629,34,31,3,14756,2683,20,2021-06-15
"Bremer",2021-06-15,"Bremer",42066,3010,2797,60,51,9,13025,2877,20,2021-06-15
"Buchanan",2021-06-15,"Buchanan",33536,2047,1882,33,27,6,10081,1931,16,2021-06-15
"Buena Vista",2021-06-15,"Buena Vista",47024,4970,4216,40,36,4,15460,4260,4,2021-06-15
"Butler",2021-06-15,"Butler",31059,1754,1615,35,31,4,7468,1660,10,2021-06-15
"Calhoun",2021-06-15,"Calhoun",19654,1441,1374,13,12,1,5609,1389,2,2021-06-15
"Carroll",2021-06-15,"Carroll",38843,3081,2815,52,43,9,11945,2866,-1,2021-06-15
"Cass",2021-06-15,"Cass",21763,1477,1340,55,49,6,6723,1392,-3,2021-06-15
"Cedar",2021-06-15,"Cedar",33478,2013,1878,23,21,2,9737,1921,20,2021-06-15
"Cerro Gordo",2021-06-15,"Cerro Gordo",83044,5976,5341,93,78,15,26835,5532,98,2021-06-15
"Cherokee",2021-06-15,"Cherokee",22132,1696,1552,38,30,8,6290,1593,3,2021-06-15
"Chickasaw",2021-06-15,"Chickasaw",18686,1314,1230,17,14,3,5804,1245,-2,2021-06-15
"Clarke",2021-06-15,"Clarke",14312,1069,980,24,22,2,5211,1009,5,2021-06-15
"Clay",2021-06-15,"Clay",32615,2278,2132,27,22,5,8931,2165,6,2021-06-15
"Clayton",2021-06-15,"Clayton",27063,1798,1649,57,48,9,7650,1710,4,2021-06-15
"Clinton",2021-06-15,"Clinton",68976,6094,5482,93,79,14,24867,5613,38,2021-06-15
"Crawford",2021-06-15,"Crawford",29795,2930,2633,40,35,5,9255,2680,7,2021-06-15
"Dallas",2021-06-15,"Dallas",135915,12625,11111,99,85,14,57800,11285,75,2021-06-15
"Davis",2021-06-15,"Davis",11968,924,812,25,23,2,3758,852,15,2021-06-15
"Decatur",2021-06-15,"Decatur",10966,631,605,9,9,0,3763,615,1,2021-06-15
"Delaware",2021-06-15,"Delaware",31055,2156,2057,43,38,5,8573,2109,9,2021-06-15
"Des Moines",2021-06-15,"Des Moines",61027,5038,4551,70,58,12,22689,4668,47,2021-06-15
"Dickinson",2021-06-15,"Dickinson",29040,2686,2445,44,38,6,11052,2494,5,2021-06-15
"Dubuque",2021-06-15,"Dubuque",204696,14818,13184,211,195,16,60567,13498,103,2021-06-15
"Emmet",2021-06-15,"Emmet",18089,1437,1298,41,39,2,5498,1357,18,2021-06-15
"Fayette",2021-06-15,"Fayette",38331,1949,1815,43,38,5,9866,1864,6,2021-06-15
"Floyd",2021-06-15,"Floyd",27362,1811,1573,42,32,10,8261,1630,15,2021-06-15
"Franklin",2021-06-15,"Franklin",21534,1342,1187,23,21,2,5820,1233,23,2021-06-15
"Fremont",2021-06-15,"Fremont",8010,662,618,9,7,2,2839,626,-1,2021-06-15
"Greene",2021-06-15,"Greene",15704,829,766,11,10,1,4373,780,3,2021-06-15
"Grundy",2021-06-15,"Grundy",20238,1451,1335,33,27,6,6101,1371,3,2021-06-15
"Guthrie",2021-06-15,"Guthrie",19927,1315,1195,32,26,6,6126,1230,3,2021-06-15
"Hamilton",2021-06-15,"Hamilton",24546,2008,1758,51,46,5,8034,1817,8,2021-06-15
"Hancock",2021-06-15,"Hancock",23139,1600,1454,34,27,7,6503,1500,12,2021-06-15
"Hardin",2021-06-15,"Hardin",37528,2006,1818,44,34,10,9066,1873,11,2021-06-15
"Harrison",2021-06-15,"Harrison",22429,1934,1724,73,69,4,6784,1799,2,2021-06-15
"Henry",2021-06-15,"Henry",38671,3097,2893,37,36,1,11667,2941,11,2021-06-15
"Howard",2021-06-15,"Howard",17775,1097,1022,22,18,4,4874,1050,6,2021-06-15
"Humboldt",2021-06-15,"Humboldt",16143,1245,1167,26,23,3,4960,1195,2,2021-06-15
"Ida",2021-06-15,"Ida",13176,1028,867,35,32,3,3537,916,14,2021-06-15
