"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-21,"Adair",11408,952,771,31,22,9,3509,834,32,2021-03-21
"Adams",2021-03-21,"Adams",4953,327,315,4,4,0,1540,319,0,2021-03-21
"Allamakee",2021-03-21,"Allamakee",19400,1525,1342,48,38,10,6021,1474,84,2021-03-21
"Appanoose",2021-03-21,"Appanoose",16290,1410,1173,47,43,4,5840,1245,25,2021-03-21
"Audubon",2021-03-21,"Audubon",10901,495,454,9,8,1,2529,479,16,2021-03-21
"Benton",2021-03-21,"Benton",33743,2608,2273,54,44,10,12373,2450,123,2021-03-21
"Black Hawk",2021-03-21,"Black Hawk",195403,16521,14508,298,277,21,68146,15137,331,2021-03-21
"Boone",2021-03-21,"Boone",40479,2668,2365,30,28,2,13358,2484,89,2021-03-21
"Bremer",2021-03-21,"Bremer",35146,2874,2575,57,48,9,11897,2740,108,2021-03-21
"Buchanan",2021-03-21,"Buchanan",27714,1911,1706,30,26,4,9137,1815,79,2021-03-21
"Buena Vista",2021-03-21,"Buena Vista",41605,4797,4020,38,35,3,14432,4162,104,2021-03-21
"Butler",2021-03-21,"Butler",26958,1691,1536,32,28,4,6843,1605,37,2021-03-21
"Calhoun",2021-03-21,"Calhoun",16853,1365,1268,11,11,0,5161,1315,36,2021-03-21
"Carroll",2021-03-21,"Carroll",33045,2911,2599,49,42,7,11020,2710,62,2021-03-21
"Cass",2021-03-21,"Cass",19082,1390,1201,52,47,5,6152,1320,67,2021-03-21
"Cedar",2021-03-21,"Cedar",27740,1839,1640,23,21,2,8864,1760,97,2021-03-21
"Cerro Gordo",2021-03-21,"Cerro Gordo",69986,5428,4863,85,71,14,24112,5060,112,2021-03-21
"Cherokee",2021-03-21,"Cherokee",18844,1611,1398,37,29,8,5852,1513,78,2021-03-21
"Chickasaw",2021-03-21,"Chickasaw",15945,1273,1174,15,13,2,5270,1207,18,2021-03-21
"Clarke",2021-03-21,"Clarke",12285,1026,908,21,21,0,4738,966,37,2021-03-21
"Clay",2021-03-21,"Clay",26751,2036,1802,25,20,5,8051,1925,98,2021-03-21
"Clayton",2021-03-21,"Clayton",22546,1698,1546,55,46,9,6804,1617,16,2021-03-21
"Clinton",2021-03-21,"Clinton",56291,5550,4853,87,76,11,21776,5095,155,2021-03-21
"Crawford",2021-03-21,"Crawford",25240,2812,2454,36,31,5,8596,2575,85,2021-03-21
"Dallas",2021-03-21,"Dallas",116450,11745,9875,93,82,11,52364,10450,482,2021-03-21
"Davis",2021-03-21,"Davis",9968,847,727,24,23,1,3308,777,26,2021-03-21
"Decatur",2021-03-21,"Decatur",9438,592,548,9,9,0,3463,577,20,2021-03-21
"Delaware",2021-03-21,"Delaware",24591,1940,1803,39,35,4,7713,1894,52,2021-03-21
"Des Moines",2021-03-21,"Des Moines",51164,4654,4167,63,53,10,20548,4327,97,2021-03-21
"Dickinson",2021-03-21,"Dickinson",23605,2325,1959,41,35,6,9990,2157,157,2021-03-21
"Dubuque",2021-03-21,"Dubuque",169905,13748,12051,200,186,14,55250,12553,302,2021-03-21
"Emmet",2021-03-21,"Emmet",15018,1249,1096,40,38,2,4868,1183,47,2021-03-21
"Fayette",2021-03-21,"Fayette",31807,1883,1727,37,33,4,8961,1807,43,2021-03-21
"Floyd",2021-03-21,"Floyd",23075,1669,1422,41,31,10,7468,1507,44,2021-03-21
"Franklin",2021-03-21,"Franklin",18151,1202,1061,20,19,1,5097,1105,24,2021-03-21
"Fremont",2021-03-21,"Fremont",6654,604,539,10,8,2,2561,568,19,2021-03-21
"Greene",2021-03-21,"Greene",13584,793,713,10,10,0,3977,745,22,2021-03-21
"Grundy",2021-03-21,"Grundy",17694,1402,1272,31,26,5,5611,1330,27,2021-03-21
"Guthrie",2021-03-21,"Guthrie",16574,1193,1058,28,23,5,5463,1112,26,2021-03-21
"Hamilton",2021-03-21,"Hamilton",21739,1936,1685,44,42,2,7314,1751,22,2021-03-21
"Hancock",2021-03-21,"Hancock",19426,1490,1333,33,27,6,5809,1396,30,2021-03-21
"Hardin",2021-03-21,"Hardin",31300,1859,1629,39,33,6,8129,1735,67,2021-03-21
"Harrison",2021-03-21,"Harrison",19279,1826,1589,70,66,4,6246,1697,38,2021-03-21
"Henry",2021-03-21,"Henry",33384,2949,2748,37,36,1,10665,2815,30,2021-03-21
"Howard",2021-03-21,"Howard",15511,1058,957,22,18,4,4468,1015,36,2021-03-21
"Humboldt",2021-03-21,"Humboldt",14179,1206,1095,25,22,3,4601,1156,36,2021-03-21
"Ida",2021-03-21,"Ida",11181,969,768,32,30,2,3234,863,63,2021-03-21
"Iowa",2021-03-21,"Iowa",26914,1487,1347,23,21,2,7858,1427,57,2021-03-21
"Jackson",2021-03-21,"Jackson",23332,2250,2039,40,37,3,8835,2122,43,2021-03-21
"Jasper",2021-03-21,"Jasper",46497,4267,3669,69,64,5,17622,3936,198,2021-03-21
"Jefferson",2021-03-21,"Jefferson",18753,1406,1247,35,29,6,7481,1293,11,2021-03-21
"Johnson",2021-03-21,"Johnson",190401,14110,12860,76,71,5,76967,13313,377,2021-03-21
"Jones",2021-03-21,"Jones",23452,2981,2779,55,51,4,9616,2877,43,2021-03-21
"Keokuk",2021-03-21,"Keokuk",14270,996,881,29,29,0,4069,930,20,2021-03-21
"Kossuth",2021-03-21,"Kossuth",23428,2147,1902,58,51,7,7669,2031,71,2021-03-21
"Lee",2021-03-21,"Lee",49430,3771,3465,54,41,13,15360,3552,33,2021-03-21
"Linn",2021-03-21,"Linn",262878,20973,18938,321,289,32,113031,19697,438,2021-03-21
"Louisa",2021-03-21,"Louisa",15759,1298,1168,48,41,7,5272,1238,22,2021-03-21
"Lucas",2021-03-21,"Lucas",8477,771,676,21,17,4,3690,742,45,2021-03-21
"Lyon",2021-03-21,"Lyon",13938,1489,1408,41,37,4,4457,1481,32,2021-03-21
"Madison",2021-03-21,"Madison",18713,1618,1398,19,15,4,7496,1482,65,2021-03-21
"Mahaska",2021-03-21,"Mahaska",28179,2278,2069,47,42,5,10108,2179,63,2021-03-21
