"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-14,"Adair",2778,509,349,16,12,4,144,0.183225341972642
"Adams",2020-12-14,"Adams",1188,212,142,2,2,0,68,0.178451178451178
"Allamakee",2020-12-14,"Allamakee",4617,1012,617,18,15,3,377,0.219189950184102
"Appanoose",2020-12-14,"Appanoose",4539,873,620,33,33,0,220,0.192333113020489
"Audubon",2020-12-14,"Audubon",1909,327,252,6,6,0,69,0.171293871136721
"Benton",2020-12-14,"Benton",9821,1863,1371,28,25,3,464,0.189695550351288
"Black Hawk",2020-12-14,"Black Hawk",54589,11839,9294,184,172,12,2361,0.216875194636282
"Boone",2020-12-14,"Boone",10105,1628,1120,14,12,2,494,0.161108362196932
"Bremer",2020-12-14,"Bremer",9063,2124,1558,32,29,3,534,0.234359483614697
"Buchanan",2020-12-14,"Buchanan",7286,1324,935,15,14,1,374,0.181718363985726
"Buena Vista",2020-12-14,"Buena Vista",12297,3366,2736,18,15,3,612,0.273725298853379
"Butler",2020-12-14,"Butler",5338,1152,800,12,11,1,340,0.215811165230423
"Calhoun",2020-12-14,"Calhoun",4408,1131,883,8,8,0,240,0.256578947368421
"Carroll",2020-12-14,"Carroll",9103,2156,1709,22,16,6,425,0.236844996155114
"Cass",2020-12-14,"Cass",4836,927,647,35,33,2,245,0.191687344913151
"Cedar",2020-12-14,"Cedar",6920,1242,849,15,14,1,378,0.179479768786127
"Cerro Gordo",2020-12-14,"Cerro Gordo",18764,4004,2744,49,42,7,1211,0.2133873374547
"Cherokee",2020-12-14,"Cherokee",4552,1083,644,14,12,2,425,0.237917398945518
"Chickasaw",2020-12-14,"Chickasaw",4137,960,767,9,8,1,184,0.232052211747643
"Clarke",2020-12-14,"Clarke",3463,550,433,6,6,0,111,0.158821830782558
"Clay",2020-12-14,"Clay",6467,1401,909,10,7,3,482,0.216638317612494
"Clayton",2020-12-14,"Clayton",5354,1256,879,24,20,4,353,0.234590960029884
"Clinton",2020-12-14,"Clinton",16786,3751,2673,48,44,4,1030,0.22346002621232
"Crawford",2020-12-14,"Crawford",7113,1926,1605,16,13,3,305,0.270771826233657
"Dallas",2020-12-14,"Dallas",40766,7136,5339,60,50,10,1737,0.175047833979296
"Davis",2020-12-14,"Davis",2374,572,373,12,11,1,187,0.240943555181129
"Decatur",2020-12-14,"Decatur",2555,373,273,2,2,0,98,0.145988258317025
"Delaware",2020-12-14,"Delaware",6276,1546,1219,26,25,1,301,0.246335245379222
"Des Moines",2020-12-14,"Des Moines",16520,3263,2366,26,23,3,871,0.197518159806295
"Dickinson",2020-12-14,"Dickinson",8230,1567,1109,12,10,2,446,0.190400972053463
"Dubuque",2020-12-14,"Dubuque",45985,9984,7928,123,116,7,1933,0.217114276394476
"Emmet",2020-12-14,"Emmet",3869,881,622,23,22,1,236,0.227707417937452
"Fayette",2020-12-14,"Fayette",6921,1186,818,14,13,1,354,0.171362519867071
"Floyd",2020-12-14,"Floyd",6045,1193,786,23,17,6,384,0.197353184449959
"Franklin",2020-12-14,"Franklin",3913,807,577,17,16,1,213,0.206235624840276
"Fremont",2020-12-14,"Fremont",2088,424,322,5,3,2,97,0.203065134099617
"Greene",2020-12-14,"Greene",3311,582,415,6,6,0,161,0.175777710661432
"Grundy",2020-12-14,"Grundy",4390,946,670,14,12,2,262,0.215489749430524
"Guthrie",2020-12-14,"Guthrie",4363,842,618,22,17,5,202,0.192986477194591
"Hamilton",2020-12-14,"Hamilton",5833,1304,802,21,21,0,481,0.223555631750386
