"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1136","40","20","0","0.0352112676056338",2020-08-18
"Adams","Adams","446","17","16","0","0.0381165919282511",2020-08-18
"Allamakee","Allamakee","2197","163","140","4","0.0741920801092399",2020-08-18
"Appanoose","Appanoose","1675","58","44","3","0.0346268656716418",2020-08-18
"Audubon","Audubon","767","30","21","1","0.0391134289439374",2020-08-18
"Benton","Benton","3694","173","114","1","0.0468327016783974",2020-08-18
"Black Hawk","Black Hawk","26286","3326","2684","67","0.126531233356159",2020-08-18
"Boone","Boone","4386","295","201","3","0.0672594619243046",2020-08-18
"Bremer","Bremer","3867","245","138","7","0.0633566071890354",2020-08-18
"Buchanan","Buchanan","3170","149","78","1","0.0470031545741325",2020-08-18
"Buena Vista","Buena Vista","8100","1806","1749","12","0.222962962962963",2020-08-18
"Butler","Butler","2426","141","118","2","0.0581203627370157",2020-08-18
"Calhoun","Calhoun","1685","97","78","2","0.057566765578635",2020-08-18
"Carroll","Carroll","3639","223","167","2","0.0612805715856004",2020-08-18
"Cass","Cass","1848","95","74","2","0.0514069264069264",2020-08-18
"Cedar","Cedar","2642","137","104","1","0.0518546555639667",2020-08-18
"Cerro Gordo","Cerro Gordo","8629","690","473","19","0.0799629157492178",2020-08-18
"Cherokee","Cherokee","1830","114","102","1","0.0622950819672131",2020-08-18
"Chickasaw","Chickasaw","1756","68","59","0","0.0387243735763098",2020-08-18
"Clarke","Clarke","1645","212","152","3","0.12887537993921",2020-08-18
"Clay","Clay","2795","219","161","1","0.0783542039355993",2020-08-18
"Clayton","Clayton","2429","123","94","3","0.0506381226842322",2020-08-18
"Clinton","Clinton","6567","539","196","4","0.0820770519262982",2020-08-18
"Crawford","Crawford","3847","757","688","3","0.196776709123993",2020-08-18
"Dallas","Dallas","18779","1998","1571","35","0.106395441716811",2020-08-18
"Davis","Davis","900","69","46","2","0.0766666666666667",2020-08-18
"Decatur","Decatur","774","30","24","0","0.0387596899224806",2020-08-18
"Delaware","Delaware","2639","141","111","1","0.0534293292913983",2020-08-18
"Des Moines","Des Moines","5076","274","118","2","0.0539795114263199",2020-08-18
"Dickinson","Dickinson","4105","392","343","4","0.0954933008526188",2020-08-18
"Dubuque","Dubuque","22111","1820","1249","31","0.0823119714169418",2020-08-18
"Emmet","Emmet","1637","200","143","5","0.122174709835064",2020-08-18
"Fayette","Fayette","2877","105","68","0","0.0364963503649635",2020-08-18
"Floyd","Floyd","2875","179","145","3","0.0622608695652174",2020-08-18
"Franklin","Franklin","1920","271","217","15","0.141145833333333",2020-08-18
"Fremont","Fremont","771","46","21","0","0.059662775616083",2020-08-18
"Greene","Greene","1333","42","38","0","0.0315078769692423",2020-08-18
"Grundy","Grundy","1957","92","59","1","0.0470107307102708",2020-08-18
"Guthrie","Guthrie","1918","148","112","5","0.0771637122002086",2020-08-18
"Hamilton","Hamilton","2732","264","249","1","0.0966325036603221",2020-08-18
"Hancock","Hancock","1937","129","118","2","0.0665978316985028",2020-08-18
"Hardin","Hardin","2758","193","130","0","0.0699782451051487",2020-08-18
"Harrison","Harrison","1727","118","98","1","0.068326577880718",2020-08-18
"Henry","Henry","2938","168","98","4","0.0571817562968005",2020-08-18
"Howard","Howard","1369","67","43","0","0.0489408327246165",2020-08-18
"Humboldt","Humboldt","1412","135","96","2","0.0956090651558074",2020-08-18
"Ida","Ida","1026","34","26","0","0.0331384015594542",2020-08-18
"Iowa","Iowa","2842","100","69","1","0.0351864883884588",2020-08-18
"Jackson","Jackson","2863","171","107","1","0.0597275585050646",2020-08-18
"Jasper","Jasper","5298","501","399","28","0.094563986409966",2020-08-18
"Jefferson","Jefferson","2115","95","68","0","0.0449172576832151",2020-08-18
"Johnson","Johnson","26966","2241","1701","21","0.0831046503003783",2020-08-18
"Jones","Jones","2768","138","104","2","0.0498554913294798",2020-08-18
"Keokuk","Keokuk","1173","43","23","1","0.0366581415174766",2020-08-18
"Kossuth","Kossuth","2264","106","72","0","0.0468197879858657",2020-08-18
"Lee","Lee","3599","167","65","5","0.0464017782717421",2020-08-18
"Linn","Linn","36925","2569","2117","89","0.0695734597156398",2020-08-18
"Louisa","Louisa","1946","378","357","14","0.194244604316547",2020-08-18
"Lucas","Lucas","953","78","35","4","0.0818467995802728",2020-08-18
"Lyon","Lyon","1190","130","113","2","0.109243697478992",2020-08-18
"Madison","Madison","2509","136","86","2","0.0542048624950179",2020-08-18
"Mahaska","Mahaska","2278","150","117","17","0.0658472344161545",2020-08-18
"Marion","Marion","3910","211","159","0","0.0539641943734015",2020-08-18
"Marshall","Marshall","8929","1515","1227","27","0.169671855750924",2020-08-18
"Mills","Mills","2864","99","61","1","0.0345670391061453",2020-08-18
"Mitchell","Mitchell","2015","83","69","0","0.0411910669975186",2020-08-18
"Monona","Monona","1231","93","82","1","0.0755483346872461",2020-08-18
"Monroe","Monroe","894","80","55","8","0.0894854586129754",2020-08-18
"Montgomery","Montgomery","1451","64","53","4","0.0441075120606478",2020-08-18
"Muscatine","Muscatine","7285","892","744","48","0.122443376801647",2020-08-18
"O'Brien","O'Brien","2089","150","112","5","0.0718046912398277",2020-08-18
"Osceola","Osceola","690","89","74","0","0.128985507246377",2020-08-18
"Page","Page","2099","102","95","0","0.0485945688423059",2020-08-18
"Palo Alto","Palo Alto","1572","104","63","0","0.0661577608142494",2020-08-18
"Pending Investigation","Pending Investigation","6664","7","0","0","0.00105042016806723",2020-08-18
"Plymouth","Plymouth","4362","523","387","13","0.119899128839982",2020-08-18
"Pocahontas","Pocahontas","1265","122","108","2","0.0964426877470356",2020-08-18
"Polk","Polk","95698","11043","8504","211","0.115394261113085",2020-08-18
"Pottawattamie","Pottawattamie","16309","1428","1091","30","0.0875590164939604",2020-08-18
"Poweshiek","Poweshiek","2288","163","126","8","0.0712412587412587",2020-08-18
"Ringgold","Ringgold","771","25","20","1","0.0324254215304799",2020-08-18
"Sac","Sac","1814","90","74","0","0.0496141124586549",2020-08-18
"Scott","Scott","27042","1865","1394","16","0.0689667923970121",2020-08-18
"Shelby","Shelby","1744","193","178","1","0.110665137614679",2020-08-18
"Sioux","Sioux","4848","700","547","3","0.144389438943894",2020-08-18
"Story","Story","21435","1412","1092","15","0.0658735712619547",2020-08-18
"Tama","Tama","3483","562","485","29","0.161355153603216",2020-08-18
"Taylor","Taylor","942","104","91","0","0.110403397027601",2020-08-18
"Union","Union","2321","88","56","3","0.037914691943128",2020-08-18
"Van Buren","Van Buren","807","42","22","1","0.0520446096654275",2020-08-18
"Wapello","Wapello","6229","963","833","38","0.154599454165998",2020-08-18
"Warren","Warren","8910","606","432","3","0.068013468013468",2020-08-18
"Washington","Washington","3334","311","279","10","0.0932813437312538",2020-08-18
"Wayne","Wayne","558","26","18","2","0.046594982078853",2020-08-18
"Webster","Webster","7695","899","643","8","0.116829109811566",2020-08-18
"Winnebago","Winnebago","1991","118","64","0","0.0592667001506781",2020-08-18
"Winneshiek","Winneshiek","2672","113","84","1","0.0422904191616766",2020-08-18
"Woodbury","Woodbury","22844","3829","3465","54","0.167615128699002",2020-08-18
"Worth","Worth","1197","71","49","0","0.0593149540517962",2020-08-18
"Wright","Wright","3469","498","424","1","0.143557221101182",2020-08-18
"Total","Totals","564443","52918","41487","987",NA,2020-08-18
