"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","positivity"
"Montgomery",2021-02-21,"Montgomery",11935,1034,866,36,34,2,4134,960,58,"0.0866359447004608"
"Muscatine",2021-02-21,"Muscatine",44939,4437,3873,88,79,9,19719,4142,181,"0.0987338392042547"
"O'Brien",2021-02-21,"O'Brien",21214,1914,1663,58,54,4,6185,1774,53,"0.0902234373526916"
"Osceola",2021-02-21,"Osceola",6654,690,636,14,12,2,2250,667,17,"0.103697024346258"
"Page",2021-02-21,"Page",16979,1784,1633,19,18,1,5884,1726,74,"0.105070970021792"
"Palo Alto",2021-02-21,"Palo Alto",15312,1039,911,21,19,2,4168,993,61,"0.067855276907001"
"Pending Investigation",2021-02-21,"Pending Investigation",13221,918,795,0,0,0,6583,895,100,"0.0694349897889721"
"Plymouth",2021-02-21,"Plymouth",32499,3911,3463,77,69,8,12401,3632,92,"0.120342164374288"
"Pocahontas",2021-02-21,"Pocahontas",11169,848,767,19,19,0,3240,804,18,"0.0759244337004208"
"Polk",2021-02-21,"Polk",561013,57162,46499,537,478,59,252085,50635,3599,"0.101890687025078"
"Pottawattamie",2021-02-21,"Pottawattamie",100465,10647,9067,140,125,15,44010,9679,472,"0.105977205992137"
"Poweshiek",2021-02-21,"Poweshiek",33327,1528,1337,29,27,2,8177,1457,91,"0.0458487112551385"
"Ringgold",2021-02-21,"Ringgold",8350,515,455,16,15,1,2218,496,25,"0.0616766467065868"
"Sac",2021-02-21,"Sac",16523,1232,1108,17,17,0,4927,1161,36,"0.0745627307389699"
"Scott",2021-02-21,"Scott",173699,18117,15709,200,187,13,79087,16864,955,"0.104301118601719"
"Shelby",2021-02-21,"Shelby",13619,1193,1040,32,29,3,4949,1137,65,"0.087598208385344"
"Sioux",2021-02-21,"Sioux",36077,4893,4534,67,64,3,14729,4724,123,"0.135626576489176"
"Story",2021-02-21,"Story",135035,10052,8780,45,39,6,52388,9377,552,"0.0744399600103677"
"Tama",2021-02-21,"Tama",27350,2104,1850,64,62,2,7892,1985,71,"0.0769287020109689"
"Taylor",2021-02-21,"Taylor",7047,661,597,11,9,2,2362,636,28,"0.0937987796225344"
"Union",2021-02-21,"Union",14514,1254,1096,31,26,5,6132,1177,50,"0.0863993385696569"
"Van Buren",2021-02-21,"Van Buren",7109,559,490,17,14,3,2540,533,26,"0.0786327190884794"
"Wapello",2021-02-21,"Wapello",38494,4205,3474,105,102,3,16667,3885,306,"0.10923780329402"
"Warren",2021-02-21,"Warren",61661,5467,4555,69,64,5,25656,5009,385,"0.0886622013914792"
"Washington",2021-02-21,"Washington",34443,2530,2202,43,40,3,11015,2374,129,"0.0734546932613303"
"Wayne",2021-02-21,"Wayne",4928,481,401,21,17,4,2047,445,23,"0.0976055194805195"
"Webster",2021-02-21,"Webster",59117,5140,4661,85,71,14,20186,4873,127,"0.0869462252820678"
"Winnebago",2021-02-21,"Winnebago",14686,1363,1195,30,25,5,5719,1277,52,"0.0928094784148168"
"Winneshiek",2021-02-21,"Winneshiek",29704,1852,1586,26,22,4,9352,1786,174,"0.0623485052518179"
"Woodbury",2021-02-21,"Woodbury",120871,14794,12968,210,194,16,54947,13575,397,"0.122394949988004"
"Worth",2021-02-21,"Worth",10567,686,619,4,3,1,3453,650,27,"0.0649190877259392"
"Wright",2021-02-21,"Wright",18345,1784,1652,31,26,5,7491,1717,34,"0.0972472063232488"
"Total",2021-02-21,"Totals",3953107,359397,309168,5336,4803,533,1536912,332182,17678,"0.216135992171315"
