"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-29,"Adair",12296,980,807,32,22,10,3686,858,19,2021-04-29
"Adams",2021-04-29,"Adams",5631,346,318,4,4,0,1625,334,12,2021-04-29
"Allamakee",2021-04-29,"Allamakee",21130,1550,1438,51,41,10,6300,1498,9,2021-04-29
"Appanoose",2021-04-29,"Appanoose",17798,1449,1208,47,43,4,6140,1274,19,2021-04-29
"Audubon",2021-04-29,"Audubon",12213,518,476,9,8,1,2707,497,12,2021-04-29
"Benton",2021-04-29,"Benton",37204,2688,2428,55,44,11,13084,2527,44,2021-04-29
"Black Hawk",2021-04-29,"Black Hawk",213386,17137,15029,307,284,23,71686,15678,342,2021-04-29
"Boone",2021-04-29,"Boone",44393,2792,2495,33,31,2,14173,2606,78,2021-04-29
"Bremer",2021-04-29,"Bremer",39370,2947,2705,60,51,9,12537,2811,46,2021-04-29
"Buchanan",2021-04-29,"Buchanan",31107,2001,1811,31,26,5,9681,1898,56,2021-04-29
"Buena Vista",2021-04-29,"Buena Vista",45085,4889,4151,40,36,4,15001,4237,46,2021-04-29
"Butler",2021-04-29,"Butler",29557,1720,1576,34,30,4,7187,1628,18,2021-04-29
"Calhoun",2021-04-29,"Calhoun",18389,1397,1315,13,12,1,5383,1341,13,2021-04-29
"Carroll",2021-04-29,"Carroll",36508,3040,2712,52,43,9,11581,2830,66,2021-04-29
"Cass",2021-04-29,"Cass",20742,1450,1283,54,48,6,6483,1365,28,2021-04-29
"Cedar",2021-04-29,"Cedar",31186,1960,1771,23,21,2,9381,1874,80,2021-04-29
"Cerro Gordo",2021-04-29,"Cerro Gordo",76406,5730,5032,87,73,14,25506,5313,194,2021-04-29
"Cherokee",2021-04-29,"Cherokee",20906,1683,1507,38,30,8,6130,1581,36,2021-04-29
"Chickasaw",2021-04-29,"Chickasaw",17437,1294,1205,15,13,2,5537,1229,9,2021-04-29
"Clarke",2021-04-29,"Clarke",13399,1047,956,24,22,2,4964,987,7,2021-04-29
"Clay",2021-04-29,"Clay",30614,2246,2010,25,20,5,8610,2139,104,2021-04-29
"Clayton",2021-04-29,"Clayton",25019,1768,1579,56,47,9,7294,1680,45,2021-04-29
"Clinton",2021-04-29,"Clinton",63260,5932,5136,92,79,13,23410,5454,226,2021-04-29
"Crawford",2021-04-29,"Crawford",27680,2872,2562,40,35,5,8955,2629,27,2021-04-29
"Dallas",2021-04-29,"Dallas",127900,12359,10613,97,84,13,55391,11020,310,2021-04-29
"Davis",2021-04-29,"Davis",11041,875,763,24,23,1,3566,804,17,2021-04-29
"Decatur",2021-04-29,"Decatur",10390,610,580,9,9,0,3612,595,6,2021-04-29
"Delaware",2021-04-29,"Delaware",28543,2108,1918,39,35,4,8273,2068,111,2021-04-29
"Des Moines",2021-04-29,"Des Moines",56001,4829,4307,65,54,11,21539,4471,99,2021-04-29
"Dickinson",2021-04-29,"Dickinson",26853,2652,2255,43,37,6,10712,2458,160,2021-04-29
"Dubuque",2021-04-29,"Dubuque",190362,14538,12560,206,190,16,58291,13261,495,2021-04-29
