"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-27,"Adair",2911,581,435,17,13,4,129,0.199587770525593
"Adams",2020-12-27,"Adams",1260,252,170,2,2,0,80,0.2
"Allamakee",2020-12-27,"Allamakee",4885,1142,794,20,16,4,328,0.233776867963153
"Appanoose",2020-12-27,"Appanoose",4743,942,792,34,34,0,116,0.198608475648324
"Audubon",2020-12-27,"Audubon",2036,363,296,7,7,0,60,0.178290766208251
"Benton",2020-12-27,"Benton",10219,1961,1688,36,32,4,237,0.191897445934044
"Black Hawk",2020-12-27,"Black Hawk",56679,12521,10902,215,202,13,1404,0.220910742955945
"Boone",2020-12-27,"Boone",10721,1817,1389,15,13,2,413,0.169480458912415
"Bremer",2020-12-27,"Bremer",9405,2223,1971,41,38,3,211,0.236363636363636
"Buchanan",2020-12-27,"Buchanan",7559,1405,1171,16,15,1,218,0.185871146977113
"Buena Vista",2020-12-27,"Buena Vista",12751,3648,3054,25,22,3,569,0.286095208218963
"Butler",2020-12-27,"Butler",5550,1246,1028,18,17,1,200,0.224504504504505
"Calhoun",2020-12-27,"Calhoun",4541,1165,1060,9,9,0,96,0.256551420391984
"Carroll",2020-12-27,"Carroll",9472,2321,1969,27,21,6,325,0.245038006756757
"Cass",2020-12-27,"Cass",5072,1015,794,38,36,2,183,0.200118296529968
"Cedar",2020-12-27,"Cedar",7245,1348,1069,18,17,1,261,0.186059351276743
"Cerro Gordo",2020-12-27,"Cerro Gordo",19565,4247,3544,59,50,9,644,0.217071300792231
"Cherokee",2020-12-27,"Cherokee",4807,1191,865,20,18,2,306,0.247763677969628
"Chickasaw",2020-12-27,"Chickasaw",4284,1015,861,10,9,1,144,0.236928104575163
"Clarke",2020-12-27,"Clarke",3719,650,486,6,6,0,158,0.174778166173703
"Clay",2020-12-27,"Clay",6816,1514,1182,11,8,3,321,0.22212441314554
"Clayton",2020-12-27,"Clayton",5583,1343,1116,39,35,4,188,0.240551674726849
"Clinton",2020-12-27,"Clinton",17584,4037,3320,53,47,6,664,0.229583712465878
"Crawford",2020-12-27,"Crawford",7325,2069,1761,21,18,3,287,0.282457337883959
"Dallas",2020-12-27,"Dallas",42853,7724,6366,64,54,10,1294,0.180244090262059
"Davis",2020-12-27,"Davis",2564,625,496,18,17,1,111,0.243759750390016
"Decatur",2020-12-27,"Decatur",2711,414,326,3,3,0,85,0.152711176687569
"Delaware",2020-12-27,"Delaware",6520,1602,1430,29,28,1,143,0.245705521472393
"Des Moines",2020-12-27,"Des Moines",17130,3443,2903,32,29,3,508,0.200992410974898
"Dickinson",2020-12-27,"Dickinson",8598,1667,1400,15,13,2,252,0.193882298208886
"Dubuque",2020-12-27,"Dubuque",47492,10441,9186,135,127,8,1120,0.21984755327213
"Emmet",2020-12-27,"Emmet",4093,983,790,23,22,1,170,0.240166137307598
"Fayette",2020-12-27,"Fayette",7244,1331,1038,16,15,1,277,0.183738266151298
"Floyd",2020-12-27,"Floyd",6260,1256,1042,33,25,8,181,0.200638977635783
"Franklin",2020-12-27,"Franklin",4100,870,728,17,16,1,125,0.21219512195122
