"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4645,1219,1058,41,120,0.26243272335845,2021-12-01
"2","Adams",2201,602,542,9,51,0.273512039981826,2021-12-01
"3","Allamakee",8207,2166,1941,56,169,0.263921043012063,2021-12-01
"4","Appanoose",8324,2156,1913,58,185,0.259010091302259,2021-12-01
"5","Audubon",3607,796,708,17,71,0.220682007208206,2021-12-01
"6","Benton",17236,4305,3786,60,459,0.249767927593409,2021-12-01
"7","Black Hawk",94103,22916,20999,387,1530,0.243520397861917,2021-12-01
"8","Boone",18264,4086,3704,43,339,0.223718791064389,2021-12-01
"9","Bremer",16116,4113,3686,74,353,0.255212211466865,2021-12-01
"10","Buchanan",12801,3283,2908,43,332,0.256464338723537,2021-12-01
"11","Buena Vista",18857,5078,4939,49,90,0.269289918863022,2021-12-01
"12","Butler",9332,2441,2169,47,225,0.261573081868838,2021-12-01
"13","Calhoun",6849,2024,1914,19,91,0.295517593809315,2021-12-01
"14","Carroll",14124,3779,3549,56,174,0.267558765222317,2021-12-01
"15","Cass",8410,2396,2199,68,129,0.284898929845422,2021-12-01
"16","Cedar",12194,2768,2578,27,163,0.226996883713302,2021-12-01
"17","Cerro Gordo",33019,8437,7479,128,830,0.255519549350374,2021-12-01
"18","Cherokee",7746,2233,1991,47,195,0.288277820810741,2021-12-01
"19","Chickasaw",7363,1923,1699,23,201,0.261170718457151,2021-12-01
"20","Clarke",6653,1675,1505,29,141,0.251766120547122,2021-12-01
"21","Clay",10792,3012,2871,38,103,0.279095626389918,2021-12-01
"22","Clayton",9913,2605,2276,62,267,0.262786240290528,2021-12-01
"23","Clinton",31407,8421,7334,116,971,0.268124940299933,2021-12-01
"24","Crawford",11011,3605,3438,48,119,0.327399872854418,2021-12-01
"25","Dallas",72807,15941,14729,117,1095,0.218948727457525,2021-12-01
"26","Davis",4750,1286,1185,25,76,0.270736842105263,2021-12-01
"27","Decatur",4742,1085,909,14,162,0.228806410797132,2021-12-01
"28","Delaware",10744,3135,2730,56,349,0.291790766939687,2021-12-01
"29","Des Moines",28040,7223,6894,109,220,0.257596291012839,2021-12-01
"30","Dickinson",12846,3229,3044,56,129,0.251362291763973,2021-12-01
"31","Dubuque",74079,19581,17152,246,2183,0.264325922326165,2021-12-01
"32","Emmet",6591,1850,1695,46,109,0.280685783644364,2021-12-01
"33","Fayette",12399,2977,2690,56,231,0.240100008065167,2021-12-01
"34","Floyd",10523,2678,2392,50,236,0.254490164401787,2021-12-01
"35","Franklin",7359,1926,1705,32,189,0.261720342437831,2021-12-01
"36","Fremont",3814,1009,921,14,74,0.264551651809124,2021-12-01
"37","Greene",5579,1309,1219,18,72,0.234629861982434,2021-12-01
"38","Grundy",7532,1914,1729,37,148,0.254115772703133,2021-12-01
"39","Guthrie",7788,1737,1609,39,89,0.223035439137134,2021-12-01
"40","Hamilton",10207,2656,2463,58,135,0.26021357891643,2021-12-01
"41","Hancock",8012,2302,1990,41,271,0.287319021467798,2021-12-01
