"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-05,"Adair",11803,957,787,32,22,10,3584,838,19,2021-04-05
"Adams",2021-04-05,"Adams",5195,330,316,4,4,0,1570,321,1,2021-04-05
"Allamakee",2021-04-05,"Allamakee",20156,1539,1404,51,41,10,6143,1486,31,2021-04-05
"Appanoose",2021-04-05,"Appanoose",16856,1425,1188,47,43,4,5939,1256,21,2021-04-05
"Audubon",2021-04-05,"Audubon",11362,506,463,9,8,1,2609,490,18,2021-04-05
"Benton",2021-04-05,"Benton",35217,2641,2365,55,44,11,12653,2482,62,2021-04-05
"Black Hawk",2021-04-05,"Black Hawk",202317,16738,14688,306,283,23,69506,15338,344,2021-04-05
"Boone",2021-04-05,"Boone",41874,2720,2424,31,29,2,13699,2532,77,2021-04-05
"Bremer",2021-04-05,"Bremer",36864,2904,2650,59,50,9,12176,2768,59,2021-04-05
"Buchanan",2021-04-05,"Buchanan",28996,1955,1749,31,26,5,9383,1859,79,2021-04-05
"Buena Vista",2021-04-05,"Buena Vista",42848,4827,4094,40,36,4,14656,4194,60,2021-04-05
"Butler",2021-04-05,"Butler",28061,1701,1555,33,29,4,6966,1613,25,2021-04-05
"Calhoun",2021-04-05,"Calhoun",17440,1375,1287,11,11,0,5254,1326,28,2021-04-05
"Carroll",2021-04-05,"Carroll",34286,2944,2626,50,43,7,11242,2743,67,2021-04-05
"Cass",2021-04-05,"Cass",19760,1406,1248,54,48,6,6279,1332,30,2021-04-05
"Cedar",2021-04-05,"Cedar",28879,1892,1708,23,21,2,9064,1810,79,2021-04-05
"Cerro Gordo",2021-04-05,"Cerro Gordo",72184,5510,4935,85,71,14,24583,5131,111,2021-04-05
"Cherokee",2021-04-05,"Cherokee",19862,1647,1422,38,30,8,5972,1548,88,2021-04-05
"Chickasaw",2021-04-05,"Chickasaw",16531,1283,1191,15,13,2,5391,1214,8,2021-04-05
"Clarke",2021-04-05,"Clarke",12658,1039,931,23,22,1,4829,978,24,2021-04-05
"Clay",2021-04-05,"Clay",28040,2148,1826,25,20,5,8300,2040,189,2021-04-05
"Clayton",2021-04-05,"Clayton",23456,1715,1556,55,46,9,6989,1632,21,2021-04-05
"Clinton",2021-04-05,"Clinton",58884,5710,4954,89,77,12,22403,5242,199,2021-04-05
"Crawford",2021-04-05,"Crawford",26153,2836,2511,38,33,5,8730,2602,53,2021-04-05
"Dallas",2021-04-05,"Dallas",120692,12013,10171,96,84,12,53581,10726,459,2021-04-05
"Davis",2021-04-05,"Davis",10468,862,742,24,23,1,3419,791,25,2021-04-05
"Decatur",2021-04-05,"Decatur",9997,599,571,9,9,0,3513,584,4,2021-04-05
"Delaware",2021-04-05,"Delaware",25958,2016,1822,39,35,4,7942,1970,109,2021-04-05
"Des Moines",2021-04-05,"Des Moines",53017,4696,4238,64,53,11,20950,4364,62,2021-04-05
"Dickinson",2021-04-05,"Dickinson",24867,2494,2005,43,37,6,10296,2323,275,2021-04-05
"Dubuque",2021-04-05,"Dubuque",177649,14050,12250,202,188,14,56441,12828,376,2021-04-05
"Emmet",2021-04-05,"Emmet",15894,1318,1111,40,38,2,5028,1249,98,2021-04-05
"Fayette",2021-04-05,"Fayette",33456,1901,1758,41,36,5,9187,1822,23,2021-04-05
"Floyd",2021-04-05,"Floyd",24036,1694,1444,42,32,10,7630,1529,43,2021-04-05
"Franklin",2021-04-05,"Franklin",18623,1218,1073,21,19,2,5225,1119,25,2021-04-05
"Fremont",2021-04-05,"Fremont",6895,623,548,10,8,2,2616,591,33,2021-04-05
"Greene",2021-04-05,"Greene",14109,804,722,10,10,0,4074,756,24,2021-04-05
"Grundy",2021-04-05,"Grundy",18395,1414,1293,32,27,5,5716,1340,15,2021-04-05
"Guthrie",2021-04-05,"Guthrie",17321,1242,1080,28,23,5,5591,1161,53,2021-04-05
"Hamilton",2021-04-05,"Hamilton",22353,1949,1695,49,45,4,7461,1764,20,2021-04-05
"Hancock",2021-04-05,"Hancock",19950,1510,1346,34,27,7,5936,1415,35,2021-04-05
"Hardin",2021-04-05,"Hardin",32558,1890,1668,40,33,7,8338,1766,58,2021-04-05
"Harrison",2021-04-05,"Harrison",20135,1854,1604,73,69,4,6364,1724,47,2021-04-05
"Henry",2021-04-05,"Henry",34347,2978,2764,37,36,1,10869,2844,43,2021-04-05
"Howard",2021-04-05,"Howard",15995,1068,976,22,18,4,4570,1023,25,2021-04-05
