"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-17,"Adair",2806,516,378,16,12,4,122,0.183891660727014
"Adams",2020-12-17,"Adams",1199,218,152,2,2,0,64,0.181818181818182
"Allamakee",2020-12-17,"Allamakee",4686,1046,665,18,15,3,363,0.223218096457533
"Appanoose",2020-12-17,"Appanoose",4576,885,666,33,33,0,186,0.19340034965035
"Audubon",2020-12-17,"Audubon",1946,340,272,6,6,0,62,0.174717368961973
"Benton",2020-12-17,"Benton",9910,1892,1479,32,29,3,381,0.190918264379415
"Black Hawk",2020-12-17,"Black Hawk",54971,11950,9804,1,1,0,2145,0.217387349693475
"Boone",2020-12-17,"Boone",10277,1673,1201,14,12,2,458,0.162790697674419
"Bremer",2020-12-17,"Bremer",9151,2148,1674,38,35,3,436,0.234728444978691
"Buchanan",2020-12-17,"Buchanan",7353,1340,1018,15,14,1,307,0.182238542091663
"Buena Vista",2020-12-17,"Buena Vista",12382,3435,2819,21,18,3,595,0.277418833790987
"Butler",2020-12-17,"Butler",5379,1168,856,15,14,1,297,0.217140732478156
"Calhoun",2020-12-17,"Calhoun",4448,1146,936,8,8,0,202,0.257643884892086
"Carroll",2020-12-17,"Carroll",9200,2206,1803,26,20,6,377,0.239782608695652
"Cass",2020-12-17,"Cass",4896,952,684,37,35,2,231,0.194444444444444
"Cedar",2020-12-17,"Cedar",6987,1270,924,1,1,0,345,0.181766137111779
"Cerro Gordo",2020-12-17,"Cerro Gordo",18929,4063,2998,52,45,7,1013,0.214644196735168
"Cherokee",2020-12-17,"Cherokee",4598,1111,712,17,15,2,382,0.241626794258373
"Chickasaw",2020-12-17,"Chickasaw",4177,978,786,10,9,1,182,0.234139334450563
"Clarke",2020-12-17,"Clarke",3512,565,445,6,6,0,114,0.160876993166287
"Clay",2020-12-17,"Clay",6573,1442,983,10,7,3,449,0.219382321618743
"Clayton",2020-12-17,"Clayton",5405,1277,953,28,24,4,296,0.236262719703978
"Clinton",2020-12-17,"Clinton",16976,3836,2870,50,45,5,916,0.225966069745523
"Crawford",2020-12-17,"Crawford",7176,1973,1649,16,13,3,308,0.274944258639911
"Dallas",2020-12-17,"Dallas",41236,7285,5670,60,50,10,1555,0.17666601998254
"Davis",2020-12-17,"Davis",2420,584,414,12,11,1,158,0.241322314049587
"Decatur",2020-12-17,"Decatur",2594,388,287,2,2,0,99,0.149575944487278
"Delaware",2020-12-17,"Delaware",6338,1561,1281,27,26,1,253,0.246292205743137
"Des Moines",2020-12-17,"Des Moines",16660,3303,2535,26,23,3,742,0.198259303721489
"Dickinson",2020-12-17,"Dickinson",8306,1602,1187,12,10,2,403,0.192872622200819
"Dubuque",2020-12-17,"Dubuque",46321,10109,8325,126,119,7,1658,0.218237948230824
"Emmet",2020-12-17,"Emmet",3907,894,669,23,22,1,202,0.228820066547223
"Fayette",2020-12-17,"Fayette",6980,1205,890,14,13,1,301,0.172636103151862
"Floyd",2020-12-17,"Floyd",6085,1210,853,26,19,7,331,0.198849630238291
"Franklin",2020-12-17,"Franklin",3967,826,632,17,16,1,177,0.208217796823796
"Fremont",2020-12-17,"Fremont",2109,433,337,5,3,2,91,0.205310573731626
"Greene",2020-12-17,"Greene",3355,601,447,6,6,0,148,0.179135618479881
"Grundy",2020-12-17,"Grundy",4421,965,739,14,12,2,212,0.218276408052477
"Guthrie",2020-12-17,"Guthrie",4402,860,658,22,17,5,180,0.195365742844162
"Hamilton",2020-12-17,"Hamilton",5909,1339,896,21,21,0,422,0.22660348620748
"Hancock",2020-12-17,"Hancock",4599,1064,740,21,18,3,303,0.231354642313546
"Hardin",2020-12-17,"Hardin",6533,1346,992,22,20,2,332,0.206030919944895
"Harrison",2020-12-17,"Harrison",5105,1289,949,50,47,3,290,0.252497551420176
"Henry",2020-12-17,"Henry",8822,2352,1719,20,20,0,613,0.266606211743369
"Howard",2020-12-17,"Howard",3355,639,447,15,11,4,177,0.190461997019374
"Humboldt",2020-12-17,"Humboldt",3765,884,635,16,13,3,233,0.234794156706507
"Ida",2020-12-17,"Ida",2528,647,408,17,16,1,222,0.255933544303797
"Iowa",2020-12-17,"Iowa",6350,1071,802,19,19,0,250,0.168661417322835
"Jackson",2020-12-17,"Jackson",7005,1692,1328,23,22,1,341,0.241541755888651
"Jasper",2020-12-17,"Jasper",13762,2611,1935,48,46,2,628,0.189725330620549
"Jefferson",2020-12-17,"Jefferson",5716,864,564,16,15,1,284,0.151154653603919
"Johnson",2020-12-17,"Johnson",62095,10440,8541,43,39,4,1856,0.168129479024076
"Jones",2020-12-17,"Jones",7959,2495,2111,34,33,1,350,0.31348159316497
"Keokuk",2020-12-17,"Keokuk",3184,740,487,18,18,0,235,0.232412060301508
"Kossuth",2020-12-17,"Kossuth",6050,1402,866,23,22,1,513,0.231735537190083
"Lee",2020-12-17,"Lee",12247,2621,1799,21,17,4,801,0.214011594676247
"Linn",2020-12-17,"Linn",91414,15634,12401,221,208,13,3012,0.171024131971033
"Louisa",2020-12-17,"Louisa",4313,975,750,23,19,4,202,0.226060746580107
"Lucas",2020-12-17,"Lucas",2793,434,291,6,6,0,137,0.155388471177945
