"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-17,"Adair",12782,993,838,32,22,10,3822,873,3,2021-06-17
"Adams",2021-06-17,"Adams",6184,354,338,4,4,0,1688,344,2,2021-06-17
"Allamakee",2021-06-17,"Allamakee",22733,1586,1466,52,42,10,6580,1526,8,2021-06-17
"Appanoose",2021-06-17,"Appanoose",19196,1468,1234,49,44,5,6436,1290,7,2021-06-17
"Audubon",2021-06-17,"Audubon",13616,553,499,10,9,1,2878,529,20,2021-06-17
"Benton",2021-06-17,"Benton",39964,2761,2512,55,44,11,13655,2589,22,2021-06-17
"Black Hawk",2021-06-17,"Black Hawk",227310,17597,15557,312,288,24,74652,16075,206,2021-06-17
"Boone",2021-06-17,"Boone",46632,2869,2631,34,31,3,14756,2683,18,2021-06-17
"Bremer",2021-06-17,"Bremer",42117,3016,2800,60,51,9,13025,2877,17,2021-06-17
"Buchanan",2021-06-17,"Buchanan",33557,2048,1881,33,27,6,10081,1931,17,2021-06-17
"Buena Vista",2021-06-17,"Buena Vista",47056,4971,4216,40,36,4,15460,4260,4,2021-06-17
"Butler",2021-06-17,"Butler",31089,1755,1615,35,31,4,7468,1660,10,2021-06-17
"Calhoun",2021-06-17,"Calhoun",19694,1442,1375,13,12,1,5609,1389,1,2021-06-17
"Carroll",2021-06-17,"Carroll",38882,3082,2817,52,43,9,11945,2866,-3,2021-06-17
"Cass",2021-06-17,"Cass",21775,1477,1340,55,49,6,6723,1392,-3,2021-06-17
"Cedar",2021-06-17,"Cedar",33576,2015,1879,23,21,2,9737,1921,19,2021-06-17
"Cerro Gordo",2021-06-17,"Cerro Gordo",83074,5976,5347,93,78,15,26835,5532,92,2021-06-17
"Cherokee",2021-06-17,"Cherokee",22177,1696,1552,38,30,8,6290,1593,3,2021-06-17
"Chickasaw",2021-06-17,"Chickasaw",18707,1316,1231,17,14,3,5804,1245,-3,2021-06-17
"Clarke",2021-06-17,"Clarke",14323,1069,980,24,22,2,5211,1009,5,2021-06-17
"Clay",2021-06-17,"Clay",32636,2277,2133,27,22,5,8931,2165,5,2021-06-17
"Clayton",2021-06-17,"Clayton",27084,1798,1652,57,48,9,7650,1710,1,2021-06-17
"Clinton",2021-06-17,"Clinton",69058,6096,5487,93,79,14,24867,5613,33,2021-06-17
"Crawford",2021-06-17,"Crawford",29841,2930,2636,40,35,5,9255,2680,4,2021-06-17
"Dallas",2021-06-17,"Dallas",136059,12631,11119,99,85,14,57800,11285,67,2021-06-17
"Davis",2021-06-17,"Davis",11983,925,813,25,23,2,3758,852,14,2021-06-17
"Decatur",2021-06-17,"Decatur",10974,631,605,9,9,0,3763,615,1,2021-06-17
"Delaware",2021-06-17,"Delaware",31101,2152,2057,43,38,5,8573,2109,9,2021-06-17
"Des Moines",2021-06-17,"Des Moines",61096,5040,4555,70,58,12,22689,4668,43,2021-06-17
"Dickinson",2021-06-17,"Dickinson",29051,2686,2445,44,38,6,11052,2494,5,2021-06-17
"Dubuque",2021-06-17,"Dubuque",204822,14821,13195,211,195,16,60567,13498,92,2021-06-17
