"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","986","30","19","0","0.0304259634888438",2020-08-11
"Adams","Adams","430","16","12","0","0.0372093023255814",2020-08-11
"Allamakee","Allamakee","2087","155","137","4","0.0742692860565405",2020-08-11
"Appanoose","Appanoose","1516","49","38","3","0.0323218997361478",2020-08-11
"Audubon","Audubon","724","28","18","1","0.0386740331491713",2020-08-11
"Benton","Benton","3517","160","101","1","0.0454933181688939",2020-08-11
"Black Hawk","Black Hawk","24882","3134","2533","66","0.12595450526485",2020-08-11
"Boone","Boone","4107","259","176","3","0.0630630630630631",2020-08-11
"Bremer","Bremer","3615","227","116","7","0.0627939142461964",2020-08-11
"Buchanan","Buchanan","2990","129","65","1","0.0431438127090301",2020-08-11
"Buena Vista","Buena Vista","7941","1794","1735","12","0.225916131469588",2020-08-11
"Butler","Butler","2285","121","106","2","0.0529540481400438",2020-08-11
"Calhoun","Calhoun","1583","83","77","2","0.0524320909665193",2020-08-11
"Carroll","Carroll","3407","192","163","2","0.056354564132668",2020-08-11
"Cass","Cass","1655","74","44","1","0.0447129909365559",2020-08-11
"Cedar","Cedar","2513","133","99","1","0.052924791086351",2020-08-11
"Cerro Gordo","Cerro Gordo","8196","634","373","17","0.0773548072230356",2020-08-11
"Cherokee","Cherokee","1726","108","95","1","0.0625724217844728",2020-08-11
"Chickasaw","Chickasaw","1659","54","50","0","0.0325497287522604",2020-08-11
"Clarke","Clarke","1544","202","147","3","0.130829015544041",2020-08-11
"Clay","Clay","2616","196","153","1","0.0749235474006116",2020-08-11
"Clayton","Clayton","2263","104","85","3","0.0459566946531153",2020-08-11
"Clinton","Clinton","6068","410","156","3","0.0675675675675676",2020-08-11
"Crawford","Crawford","3692","730","683","3","0.197724810400867",2020-08-11
"Dallas","Dallas","17494","1888","1454","35","0.107922716359895",2020-08-11
"Davis","Davis","840","60","43","2","0.0714285714285714",2020-08-11
"Decatur","Decatur","616","23","16","0","0.0373376623376623",2020-08-11
"Delaware","Delaware","2446","115","88","1","0.0470155355682747",2020-08-11
"Des Moines","Des Moines","4554","186","106","2","0.0408432147562582",2020-08-11
"Dickinson","Dickinson","3946","382","310","4","0.0968068930562595",2020-08-11
"Dubuque","Dubuque","20887","1686","1073","31","0.0807200651122708",2020-08-11
"Emmet","Emmet","1570","192","125","4","0.122292993630573",2020-08-11
"Fayette","Fayette","2708","84","65","0","0.0310192023633678",2020-08-11
"Floyd","Floyd","2678","157","109","2","0.0586258401792382",2020-08-11
"Franklin","Franklin","1806","241","191","10","0.13344407530454",2020-08-11
"Fremont","Fremont","713","42","18","0","0.05890603085554",2020-08-11
"Greene","Greene","1256","42","36","0","0.0334394904458599",2020-08-11
"Grundy","Grundy","1863","79","51","1","0.0424047235641439",2020-08-11
"Guthrie","Guthrie","1795","132","100","5","0.0735376044568245",2020-08-11
"Hamilton","Hamilton","2620","248","235","1","0.0946564885496183",2020-08-11
"Hancock","Hancock","1845","122","107","2","0.0661246612466125",2020-08-11
"Hardin","Hardin","2640","184","106","0","0.0696969696969697",2020-08-11
"Harrison","Harrison","1629","109","85","1","0.0669122160834868",2020-08-11
"Henry","Henry","2733","127","90","4","0.0464690815953165",2020-08-11
"Howard","Howard","1290","49","37","0","0.037984496124031",2020-08-11
"Humboldt","Humboldt","1320","118","77","1","0.0893939393939394",2020-08-11
"Ida","Ida","910","31","24","0","0.0340659340659341",2020-08-11
"Iowa","Iowa","2724","98","64","1","0.0359765051395007",2020-08-11
"Jackson","Jackson","2718","156","79","1","0.0573951434878587",2020-08-11
"Jasper","Jasper","4950","479","377","26","0.0967676767676768",2020-08-11
"Jefferson","Jefferson","1981","86","64","0","0.0434124179707219",2020-08-11
"Johnson","Johnson","25483","2107","1566","19","0.0826825726955225",2020-08-11
"Jones","Jones","2610","132","85","2","0.0505747126436782",2020-08-11
"Keokuk","Keokuk","1102","37","22","1","0.0335753176043557",2020-08-11
"Kossuth","Kossuth","2064","90","60","0","0.0436046511627907",2020-08-11
"Lee","Lee","3139","117","54","3","0.0372730168843581",2020-08-11
"Linn","Linn","34872","2399","1845","88","0.0687944482679514",2020-08-11
"Louisa","Louisa","1852","378","353","14","0.204103671706264",2020-08-11
"Lucas","Lucas","867","71","33","4","0.0818915801614764",2020-08-11
"Lyon","Lyon","1097","114","99","2","0.103919781221513",2020-08-11
"Madison","Madison","2331","122","67","2","0.0523380523380523",2020-08-11
"Mahaska","Mahaska","2126","140","116","17","0.0658513640639699",2020-08-11
"Marion","Marion","3551","174","148","0","0.0490002816108139",2020-08-11
"Marshall","Marshall","8499","1446","1122","26","0.170137663254501",2020-08-11
"Mills","Mills","2767","89","54","0","0.0321647994217564",2020-08-11
"Mitchell","Mitchell","1916","78","67","0","0.0407098121085595",2020-08-11
"Monona","Monona","1182","91","79","0","0.0769881556683587",2020-08-11
"Monroe","Monroe","849","74","50","7","0.0871613663133098",2020-08-11
"Montgomery","Montgomery","1379","59","37","4","0.0427846265409717",2020-08-11
"Muscatine","Muscatine","6881","848","735","48","0.12323790146781",2020-08-11
"O'Brien","O'Brien","1968","141","104","4","0.0716463414634146",2020-08-11
"Osceola","Osceola","652","83","71","0","0.127300613496933",2020-08-11
"Page","Page","1958","94","70","0","0.0480081716036772",2020-08-11
"Palo Alto","Palo Alto","1472","86","57","0","0.0584239130434783",2020-08-11
"Pending Investigation","Pending Investigation","6044","3","0","0","0.000496360026472535",2020-08-11
"Plymouth","Plymouth","4123","463","365","9","0.112296871210284",2020-08-11
"Pocahontas","Pocahontas","1204","116","106","2","0.0963455149501661",2020-08-11
"Polk","Polk","88965","10351","7817","207","0.11634912606081",2020-08-11
"Pottawattamie","Pottawattamie","15415","1325","981","26","0.0859552384041518",2020-08-11
"Poweshiek","Poweshiek","2130","159","112","8","0.0746478873239437",2020-08-11
"Ringgold","Ringgold","732","22","20","1","0.0300546448087432",2020-08-11
"Sac","Sac","1730","85","71","0","0.0491329479768786",2020-08-11
"Scott","Scott","25498","1727","1244","14","0.0677308024158758",2020-08-11
"Shelby","Shelby","1644","184","158","1","0.111922141119221",2020-08-11
"Sioux","Sioux","4329","637","522","3","0.147147147147147",2020-08-11
"Story","Story","16485","1167","902","14","0.0707916287534122",2020-08-11
"Tama","Tama","3295","553","469","29","0.16783004552352",2020-08-11
"Taylor","Taylor","899","98","88","0","0.109010011123471",2020-08-11
"Union","Union","2197","77","48","1","0.0350477924442422",2020-08-11
"Van Buren","Van Buren","747","36","22","1","0.0481927710843374",2020-08-11
"Wapello","Wapello","5944","904","773","33","0.152086137281292",2020-08-11
"Warren","Warren","8187","569","360","1","0.0695004275070233",2020-08-11
"Washington","Washington","3173","300","272","10","0.0945477466120391",2020-08-11
"Wayne","Wayne","501","20","14","1","0.0399201596806387",2020-08-11
"Webster","Webster","6941","813","498","8","0.117130096527878",2020-08-11
"Winnebago","Winnebago","1660","84","51","0","0.0506024096385542",2020-08-11
"Winneshiek","Winneshiek","2361","97","60","1","0.0410842863193562",2020-08-11
"Woodbury","Woodbury","21800","3727","3373","52","0.170963302752294",2020-08-11
"Worth","Worth","1137","66","34","0","0.0580474934036939",2020-08-11
"Wright","Wright","3301","473","414","1","0.143289912147834",2020-08-11
"Total","Totals","525593","49164","37979","935",NA,2020-08-11
