"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-17,"Adair",3321,782,671,25,19,6,86,0.235471243601325
"Adams",2021-02-17,"Adams",1457,317,295,3,3,0,19,0.217570350034317
"Allamakee",2021-02-17,"Allamakee",5556,1382,1262,41,35,6,79,0.248740100791937
"Appanoose",2021-02-17,"Appanoose",5541,1198,1073,46,43,3,79,0.21620646092763
"Audubon",2021-02-17,"Audubon",2404,463,406,9,8,1,48,0.192595673876872
"Benton",2021-02-17,"Benton",11587,2304,2051,53,43,10,200,0.198843531543972
"Black Hawk",2021-02-17,"Black Hawk",65233,14722,13672,277,261,16,773,0.22568331979213
"Boone",2021-02-17,"Boone",12624,2368,2183,28,26,2,157,0.187579214195184
"Bremer",2021-02-17,"Bremer",11216,2622,2426,53,47,6,143,0.233773181169757
"Buchanan",2021-02-17,"Buchanan",8634,1726,1586,26,24,2,114,0.199907343062312
"Buena Vista",2021-02-17,"Buena Vista",13907,4047,3922,36,33,3,89,0.291004530092759
"Butler",2021-02-17,"Butler",6513,1565,1470,30,27,3,65,0.240288653462306
"Calhoun",2021-02-17,"Calhoun",4932,1270,1222,9,9,0,39,0.25750202757502
"Carroll",2021-02-17,"Carroll",10582,2632,2527,47,39,8,58,0.248724248724249
"Cass",2021-02-17,"Cass",5832,1239,1099,47,45,2,93,0.212448559670782
"Cedar",2021-02-17,"Cedar",8315,1639,1523,21,20,1,95,0.197113650030066
"Cerro Gordo",2021-02-17,"Cerro Gordo",22794,4933,4629,79,67,12,225,0.216416600859875
"Cherokee",2021-02-17,"Cherokee",5571,1430,1360,35,29,6,35,0.256686411775265
"Chickasaw",2021-02-17,"Chickasaw",5047,1177,1129,13,12,1,35,0.233207846245294
"Clarke",2021-02-17,"Clarke",4470,913,783,20,20,0,110,0.204250559284116
"Clay",2021-02-17,"Clay",7684,1816,1677,25,20,5,114,0.236335242061426
"Clayton",2021-02-17,"Clayton",6431,1587,1488,53,45,8,46,0.246773441144457
"Clinton",2021-02-17,"Clinton",20393,4885,4469,80,72,8,336,0.239542980434463
"Crawford",2021-02-17,"Crawford",8209,2460,2293,35,31,4,132,0.299671092703131
"Dallas",2021-02-17,"Dallas",49311,9857,8919,86,75,11,852,0.199894546855671
"Davis",2021-02-17,"Davis",3107,746,679,23,22,1,44,0.240102993241069
"Decatur",2021-02-17,"Decatur",3252,544,497,8,8,0,39,0.167281672816728
