"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-14,"Adair",11209,940,744,31,22,9,3475,824,49,2021-03-14
"Adams",2021-03-14,"Adams",4868,327,315,4,4,0,1522,319,0,2021-03-14
"Allamakee",2021-03-14,"Allamakee",19012,1515,1329,48,38,10,5938,1464,87,2021-03-14
"Appanoose",2021-03-14,"Appanoose",15991,1400,1148,47,43,4,5781,1235,40,2021-03-14
"Audubon",2021-03-14,"Audubon",10715,495,444,9,8,1,2498,477,24,2021-03-14
"Benton",2021-03-14,"Benton",32954,2594,2237,54,44,10,12171,2440,149,2021-03-14
"Black Hawk",2021-03-14,"Black Hawk",192383,16448,14413,295,275,20,67616,15066,358,2021-03-14
"Boone",2021-03-14,"Boone",39745,2647,2338,30,28,2,13241,2469,101,2021-03-14
"Bremer",2021-03-14,"Bremer",34376,2861,2551,56,48,8,11770,2729,122,2021-03-14
"Buchanan",2021-03-14,"Buchanan",27133,1890,1690,30,26,4,9032,1796,76,2021-03-14
"Buena Vista",2021-03-14,"Buena Vista",40987,4776,4004,37,34,3,14331,4144,103,2021-03-14
"Butler",2021-03-14,"Butler",26417,1685,1529,32,28,4,6785,1598,37,2021-03-14
"Calhoun",2021-03-14,"Calhoun",16506,1352,1258,11,11,0,5098,1303,34,2021-03-14
"Carroll",2021-03-14,"Carroll",32546,2894,2584,49,42,7,10916,2693,60,2021-03-14
"Cass",2021-03-14,"Cass",18750,1379,1184,52,47,5,6091,1309,73,2021-03-14
"Cedar",2021-03-14,"Cedar",27274,1827,1607,23,21,2,8797,1751,121,2021-03-14
"Cerro Gordo",2021-03-14,"Cerro Gordo",69137,5405,4840,85,71,14,23888,5043,118,2021-03-14
"Cherokee",2021-03-14,"Cherokee",18387,1594,1388,37,29,8,5787,1495,70,2021-03-14
"Chickasaw",2021-03-14,"Chickasaw",15690,1266,1166,15,13,2,5223,1202,21,2021-03-14
"Clarke",2021-03-14,"Clarke",12136,1021,889,21,21,0,4693,962,52,2021-03-14
"Clay",2021-03-14,"Clay",26241,1996,1791,25,20,5,7971,1893,77,2021-03-14
"Clayton",2021-03-14,"Clayton",22077,1691,1536,54,46,8,6723,1606,16,2021-03-14
"Clinton",2021-03-14,"Clinton",55249,5502,4786,87,76,11,21517,5056,183,2021-03-14
"Crawford",2021-03-14,"Crawford",24717,2797,2423,36,31,5,8516,2562,103,2021-03-14
"Dallas",2021-03-14,"Dallas",114418,11621,9715,93,82,11,51871,10349,541,2021-03-14
"Davis",2021-03-14,"Davis",9747,842,723,23,22,1,3272,772,26,2021-03-14
"Decatur",2021-03-14,"Decatur",9258,590,538,9,9,0,3437,576,29,2021-03-14
"Delaware",2021-03-14,"Delaware",24112,1914,1796,40,35,5,7613,1876,40,2021-03-14
"Des Moines",2021-03-14,"Des Moines",50246,4639,4116,61,53,8,20372,4310,133,2021-03-14
"Dickinson",2021-03-14,"Dickinson",23053,2258,1932,40,34,6,9863,2094,122,2021-03-14
"Dubuque",2021-03-14,"Dubuque",166632,13693,11941,199,186,13,54813,12501,361,2021-03-14
"Emmet",2021-03-14,"Emmet",14722,1232,1093,40,38,2,4810,1164,31,2021-03-14
"Fayette",2021-03-14,"Fayette",31170,1873,1717,36,33,3,8856,1799,46,2021-03-14
"Floyd",2021-03-14,"Floyd",22695,1655,1419,41,31,10,7410,1495,35,2021-03-14
"Franklin",2021-03-14,"Franklin",17947,1197,1057,20,19,1,5028,1100,23,2021-03-14
"Fremont",2021-03-14,"Fremont",6544,592,536,9,7,2,2533,560,15,2021-03-14
"Greene",2021-03-14,"Greene",13372,785,711,10,10,0,3950,739,18,2021-03-14
"Grundy",2021-03-14,"Grundy",17362,1402,1256,31,26,5,5565,1328,41,2021-03-14
"Guthrie",2021-03-14,"Guthrie",16171,1184,1050,28,23,5,5411,1105,27,2021-03-14
"Hamilton",2021-03-14,"Hamilton",21418,1929,1668,42,41,1,7265,1744,34,2021-03-14
"Hancock",2021-03-14,"Hancock",19023,1484,1327,33,27,6,5747,1388,28,2021-03-14
"Hardin",2021-03-14,"Hardin",30491,1839,1616,39,33,6,8039,1716,61,2021-03-14
"Harrison",2021-03-14,"Harrison",18746,1812,1577,70,66,4,6184,1684,37,2021-03-14
"Henry",2021-03-14,"Henry",32722,2945,2731,37,36,1,10561,2806,38,2021-03-14
"Howard",2021-03-14,"Howard",15200,1048,942,22,18,4,4405,1008,44,2021-03-14
"Humboldt",2021-03-14,"Humboldt",13931,1191,1087,25,22,3,4552,1144,32,2021-03-14
"Ida",2021-03-14,"Ida",10886,957,766,32,30,2,3188,849,51,2021-03-14
"Iowa",2021-03-14,"Iowa",26366,1475,1332,23,21,2,7785,1414,59,2021-03-14
"Jackson",2021-03-14,"Jackson",22928,2237,2027,39,36,3,8721,2110,44,2021-03-14
"Jasper",2021-03-14,"Jasper",45542,4241,3574,68,63,5,17438,3916,274,2021-03-14
"Jefferson",2021-03-14,"Jefferson",18282,1399,1246,34,28,6,7407,1289,9,2021-03-14
"Johnson",2021-03-14,"Johnson",187730,14009,12731,76,71,5,76258,13239,432,2021-03-14
"Jones",2021-03-14,"Jones",23034,2967,2775,55,51,4,9522,2864,34,2021-03-14
"Keokuk",2021-03-14,"Keokuk",14021,993,877,29,29,0,4019,926,20,2021-03-14
"Kossuth",2021-03-14,"Kossuth",22937,2119,1873,57,51,6,7573,1999,69,2021-03-14
"Lee",2021-03-14,"Lee",48559,3773,3429,54,41,13,15218,3549,66,2021-03-14
"Linn",2021-03-14,"Linn",258787,20848,18783,320,288,32,111934,19591,488,2021-03-14
"Louisa",2021-03-14,"Louisa",15497,1294,1155,48,41,7,5234,1232,29,2021-03-14
"Lucas",2021-03-14,"Lucas",8336,765,669,21,17,4,3652,733,43,2021-03-14
"Lyon",2021-03-14,"Lyon",13582,1478,1393,41,37,4,4416,1474,40,2021-03-14
"Madison",2021-03-14,"Madison",18445,1605,1376,18,14,4,7424,1469,75,2021-03-14
"Mahaska",2021-03-14,"Mahaska",27450,2274,2056,47,42,5,10021,2171,68,2021-03-14
"Marion",2021-03-14,"Marion",36985,3653,3264,74,64,10,15337,3453,115,2021-03-14
"Marshall",2021-03-14,"Marshall",73330,5035,4474,74,66,8,20482,4678,130,2021-03-14
"Mills",2021-03-14,"Mills",19500,1658,1438,20,17,3,7381,1502,44,2021-03-14
"Mitchell",2021-03-14,"Mitchell",15789,1334,1156,40,38,2,5282,1221,25,2021-03-14
"Monona",2021-03-14,"Monona",16274,830,731,29,27,2,3606,775,15,2021-03-14
"Monroe",2021-03-14,"Monroe",8707,946,843,28,21,7,3322,905,34,2021-03-14
"Montgomery",2021-03-14,"Montgomery",12877,1047,924,36,34,2,4244,969,9,2021-03-14
"Muscatine",2021-03-14,"Muscatine",47851,4609,4008,93,84,9,20462,4300,199,2021-03-14
"O'Brien",2021-03-14,"O'Brien",22843,2002,1710,58,54,4,6412,1854,86,2021-03-14
"Osceola",2021-03-14,"Osceola",7369,711,649,15,13,2,2345,686,22,2021-03-14
"Page",2021-03-14,"Page",19070,1877,1755,19,18,1,6140,1816,42,2021-03-14
"Palo Alto",2021-03-14,"Palo Alto",16160,1071,959,22,20,2,4292,1027,46,2021-03-14
"Pending Investigation",2021-03-14,"Pending Investigation",12592,1022,863,0,0,0,6376,1000,137,2021-03-14
"Plymouth",2021-03-14,"Plymouth",34008,4018,3539,79,71,8,12746,3730,112,2021-03-14
"Pocahontas",2021-03-14,"Pocahontas",11781,862,788,19,19,0,3344,814,7,2021-03-14
"Polk",2021-03-14,"Polk",605916,59446,49574,572,509,63,262855,52686,2540,2021-03-14
"Pottawattamie",2021-03-14,"Pottawattamie",106249,10977,9467,149,132,17,45432,9969,353,2021-03-14
"Poweshiek",2021-03-14,"Poweshiek",36631,1568,1430,30,28,2,8429,1494,34,2021-03-14
"Ringgold",2021-03-14,"Ringgold",8863,529,475,22,18,4,2288,513,16,2021-03-14
"Sac",2021-03-14,"Sac",17654,1280,1144,18,18,0,5136,1204,42,2021-03-14
"Scott",2021-03-14,"Scott",184881,18597,16563,216,199,17,81938,17312,533,2021-03-14
"Shelby",2021-03-14,"Shelby",14772,1250,1097,34,31,3,5159,1194,63,2021-03-14
"Sioux",2021-03-14,"Sioux",38620,5002,4627,69,66,3,15280,4830,134,2021-03-14
"Story",2021-03-14,"Story",144826,10437,9234,46,40,6,54112,9747,467,2021-03-14
"Tama",2021-03-14,"Tama",29356,2158,1906,68,65,3,8129,2037,63,2021-03-14
"Taylor",2021-03-14,"Taylor",7665,666,618,12,10,2,2430,641,11,2021-03-14
"Union",2021-03-14,"Union",15413,1275,1147,31,26,5,6313,1199,21,2021-03-14
"Van Buren",2021-03-14,"Van Buren",7592,561,519,18,15,3,2633,538,1,2021-03-14
"Wapello",2021-03-14,"Wapello",41487,4456,3726,112,108,4,17593,4116,278,2021-03-14
"Warren",2021-03-14,"Warren",66998,5693,4886,79,71,8,26687,5218,253,2021-03-14
"Washington",2021-03-14,"Washington",36707,2570,2320,48,44,4,11394,2409,41,2021-03-14
"Wayne",2021-03-14,"Wayne",5526,527,417,21,17,4,2237,489,51,2021-03-14
