"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Marshall",2021-06-11,"Marshall",86505,5235,4762,76,68,8,22787,4862,24,2021-06-11
"Mills",2021-06-11,"Mills",22189,1797,1601,24,21,3,7963,1629,4,2021-06-11
"Mitchell",2021-06-11,"Mitchell",19020,1377,1233,42,39,3,5717,1265,-10,2021-06-11
"Monona",2021-06-11,"Monona",18853,890,800,31,29,2,3967,829,-2,2021-06-11
"Monroe",2021-06-11,"Monroe",10311,1007,923,30,22,8,3748,960,7,2021-06-11
"Montgomery",2021-06-11,"Montgomery",15012,1115,997,38,36,2,4502,1036,1,2021-06-11
"Muscatine",2021-06-11,"Muscatine",59834,5213,4712,106,97,9,22996,4873,55,2021-06-11
"O'Brien",2021-06-11,"O'Brien",27464,2153,1935,61,56,5,6981,1997,1,2021-06-11
"Osceola",2021-06-11,"Osceola",9706,817,775,16,13,3,2683,790,-1,2021-06-11
"Page",2021-06-11,"Page",22691,2012,1909,22,20,2,6649,1945,14,2021-06-11
"Palo Alto",2021-06-11,"Palo Alto",19898,1194,1104,23,22,1,4732,1135,8,2021-06-11
"Pending Investigation",2021-06-11,"Pending Investigation",8116,981,942,0,0,0,4329,956,14,2021-06-11
"Plymouth",2021-06-11,"Plymouth",40369,4337,3932,81,73,8,13895,4028,15,2021-06-11
"Pocahontas",2021-06-11,"Pocahontas",14331,903,837,22,22,0,3619,858,-1,2021-06-11
"Polk",2021-06-11,"Polk",740244,65520,57074,638,560,78,295017,58149,437,2021-06-11
"Pottawattamie",2021-06-11,"Pottawattamie",126304,12340,10973,173,150,23,50109,11207,61,2021-06-11
"Poweshiek",2021-06-11,"Poweshiek",47810,1648,1521,36,33,3,9389,1569,12,2021-06-11
"Ringgold",2021-06-11,"Ringgold",10568,581,539,24,18,6,2520,561,-2,2021-06-11
