"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4469,1089,1006,37,46,0.243678675318863,2021-11-10
"2","Adams",2093,546,497,8,41,0.260869565217391,2021-11-10
"3","Allamakee",7904,1993,1883,55,55,0.252150809716599,2021-11-10
"4","Appanoose",8024,1966,1708,54,204,0.245014955134596,2021-11-10
"5","Audubon",3475,724,632,14,78,0.208345323741007,2021-11-10
"6","Benton",16582,3835,3477,58,300,0.23127487637197,2021-11-10
"7","Black Hawk",91055,21295,20086,368,841,0.233869639229037,2021-11-10
"8","Boone",17658,3725,3419,38,268,0.210952542756824,2021-11-10
"9","Bremer",15516,3736,3481,71,184,0.240783707141016,2021-11-10
"10","Buchanan",12312,2945,2742,39,164,0.239197530864198,2021-11-10
"11","Buena Vista",18557,4983,4859,48,76,0.268524007113219,2021-11-10
"12","Butler",8931,2198,1997,41,160,0.246109058336133,2021-11-10
"13","Calhoun",6649,1932,1828,18,86,0.290570010527899,2021-11-10
"14","Carroll",13719,3597,3373,54,170,0.262191121801881,2021-11-10
"15","Cass",8136,2256,1869,63,324,0.277286135693215,2021-11-10
"16","Cedar",11707,2599,2447,27,125,0.222003929273084,2021-11-10
"17","Cerro Gordo",31663,7511,6803,118,590,0.237216940908947,2021-11-10
"18","Cherokee",7409,2044,1874,45,125,0.275880685652585,2021-11-10
"19","Chickasaw",7039,1696,1564,19,113,0.240943315811905,2021-11-10
"20","Clarke",6411,1528,1376,29,123,0.238340352519108,2021-11-10
"21","Clay",10551,2899,2717,35,147,0.274760686190882,2021-11-10
"22","Clayton",9445,2311,2068,59,184,0.244679724722075,2021-11-10
"23","Clinton",30015,7410,6746,107,557,0.24687656171914,2021-11-10
"24","Crawford",10777,3474,3336,47,91,0.322353159506356,2021-11-10
"25","Dallas",69976,14750,13833,109,808,0.21078655539042,2021-11-10
"26","Davis",4598,1208,1114,25,69,0.262722923010004,2021-11-10
"27","Decatur",4478,910,809,13,88,0.203215721304154,2021-11-10
"28","Delaware",10236,2779,2489,53,237,0.271492770613521,2021-11-10
"29","Des Moines",27382,6966,6530,100,336,0.254400701190563,2021-11-10
"30","Dickinson",12547,3084,2940,53,91,0.245795807762812,2021-11-10
"31","Dubuque",71133,17232,15406,238,1588,0.242250432288811,2021-11-10
"32","Emmet",6402,1740,1600,46,94,0.271790065604499,2021-11-10
"33","Fayette",12018,2744,2506,52,186,0.228324180396073,2021-11-10
"34","Floyd",10019,2422,2153,47,222,0.241740692683901,2021-11-10
"35","Franklin",7082,1721,1609,29,83,0.243010449025699,2021-11-10
"36","Fremont",3669,920,834,12,74,0.250749523030799,2021-11-10
"37","Greene",5385,1231,1125,17,89,0.228597957288765,2021-11-10
"38","Grundy",7275,1760,1649,37,74,0.24192439862543,2021-11-10
"39","Guthrie",7551,1635,1515,36,84,0.21652761223679,2021-11-10
